n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.avg.max
1.000e+02	8.182e-01	8.182e-01	8.182e-01	5.707e-01	5.606e-01	5.758e-01	3.636e-01	3.550e-01	3.810e-01	2.242e-01	2.121e-01	2.364e-01	1.212e-01	1.111e-01	1.313e-01	8.185e-01	8.182e-01	8.188e-01	5.727e-01	5.715e-01	5.752e-01	3.700e-01	3.661e-01	3.724e-01	2.139e-01	2.106e-01	2.176e-01	9.121e-02	8.758e-02	9.242e-02	8.182e-01	8.182e-01	8.182e-01	5.657e-01	5.556e-01	5.758e-01	3.680e-01	3.535e-01	3.766e-01	2.323e-01	2.172e-01	2.511e-01	1.212e-01	1.111e-01	1.313e-01	8.185e-01	8.182e-01	8.188e-01	5.727e-01	5.715e-01	5.752e-01	3.700e-01	3.661e-01	3.724e-01	2.139e-01	2.106e-01	2.176e-01	9.121e-02	8.758e-02	9.242e-02
2.000e+02	8.182e-01	8.182e-01	8.182e-01	5.758e-01	5.628e-01	5.909e-01	3.704e-01	3.593e-01	3.889e-01	2.424e-01	2.294e-01	2.525e-01	1.333e-01	1.288e-01	1.439e-01	8.185e-01	8.185e-01	8.188e-01	5.736e-01	5.691e-01	5.755e-01	3.712e-01	3.658e-01	3.764e-01	2.133e-01	2.100e-01	2.191e-01	9.364e-02	8.939e-02	9.697e-02	8.182e-01	8.182e-01	8.182e-01	5.795e-01	5.720e-01	5.859e-01	3.766e-01	3.680e-01	3.826e-01	2.424e-01	2.273e-01	2.511e-01	1.313e-01	1.212e-01	1.439e-01	8.188e-01	8.185e-01	8.188e-01	5.739e-01	5.727e-01	5.770e-01	3.727e-01	3.673e-01	3.752e-01	2.139e-01	2.097e-01	2.179e-01	9.182e-02	8.879e-02	9.545e-02
3.000e+02	8.182e-01	8.182e-01	8.182e-01	5.758e-01	5.671e-01	5.909e-01	3.788e-01	3.636e-01	3.906e-01	2.424e-01	2.294e-01	2.511e-01	1.439e-01	1.288e-01	1.591e-01	8.185e-01	8.185e-01	8.188e-01	5.739e-01	5.706e-01	5.764e-01	3.703e-01	3.667e-01	3.752e-01	2.148e-01	2.100e-01	2.209e-01	9.394e-02	9.091e-02	9.636e-02	8.182e-01	8.182e-01	8.182e-01	5.801e-01	5.690e-01	5.909e-01	3.766e-01	3.712e-01	3.864e-01	2.511e-01	2.374e-01	2.689e-01	1.414e-01	1.288e-01	1.616e-01	8.188e-01	8.185e-01	8.188e-01	5.733e-01	5.715e-01	5.767e-01	3.694e-01	3.673e-01	3.730e-01	2.130e-01	2.082e-01	2.173e-01	9.364e-02	9.121e-02	9.606e-02
4.000e+02	8.182e-01	8.182e-01	8.182e-01	5.808e-01	5.714e-01	5.909e-01	3.805e-01	3.680e-01	3.939e-01	2.500e-01	2.338e-01	2.593e-01	1.576e-01	1.364e-01	1.667e-01	8.185e-01	8.182e-01	8.188e-01	5.745e-01	5.718e-01	5.761e-01	3.733e-01	3.676e-01	3.770e-01	2.158e-01	2.106e-01	2.188e-01	9.455e-02	9.121e-02	9.939e-02	8.182e-01	8.182e-01	8.182e-01	5.801e-01	5.714e-01	5.926e-01	3.838e-01	3.674e-01	3.939e-01	2.614e-01	2.374e-01	2.765e-01	1.465e-01	1.364e-01	1.591e-01	8.188e-01	8.185e-01	8.191e-01	5.739e-01	5.715e-01	5.773e-01	3.718e-01	3.673e-01	3.761e-01	2.127e-01	2.091e-01	2.173e-01	9.424e-02	9.121e-02	9.636e-02
5.000e+02	8.182e-01	8.182e-01	8.182e-01	5.833e-01	5.758e-01	5.909e-01	3.805e-01	3.712e-01	3.973e-01	2.525e-01	2.424e-01	2.652e-01	1.645e-01	1.515e-01	1.818e-01	8.185e-01	8.182e-01	8.188e-01	5.752e-01	5.727e-01	5.764e-01	3.721e-01	3.694e-01	3.770e-01	2.145e-01	2.118e-01	2.179e-01	9.636e-02	9.242e-02	9.970e-02	8.182e-01	8.182e-01	8.182e-01	5.871e-01	5.788e-01	5.947e-01	3.848e-01	3.723e-01	4.015e-01	2.593e-01	2.391e-01	2.803e-01	1.515e-01	1.414e-01	1.758e-01	8.188e-01	8.185e-01	8.188e-01	5.733e-01	5.709e-01	5.770e-01	3.739e-01	3.670e-01	3.752e-01	2.133e-01	2.091e-01	2.185e-01	9.424e-02	9.152e-02	9.636e-02
6.000e+02	8.182e-01	8.182e-01	8.182e-01	5.871e-01	5.758e-01	5.947e-01	3.805e-01	3.737e-01	4.000e-01	2.554e-01	2.462e-01	2.636e-01	1.758e-01	1.566e-01	1.939e-01	8.185e-01	8.182e-01	8.191e-01	5.742e-01	5.730e-01	5.773e-01	3.739e-01	3.703e-01	3.779e-01	2.142e-01	2.100e-01	2.188e-01	9.606e-02	9.212e-02	1.003e-01	8.182e-01	8.182e-01	8.182e-01	5.871e-01	5.795e-01	5.950e-01	3.879e-01	3.771e-01	4.030e-01	2.593e-01	2.424e-01	2.803e-01	1.616e-01	1.515e-01	1.939e-01	8.188e-01	8.185e-01	8.188e-01	5.752e-01	5.703e-01	5.773e-01	3.715e-01	3.694e-01	3.755e-01	2.145e-01	2.085e-01	2.206e-01	9.606e-02	9.121e-02	9.879e-02
7.000e+02	8.182e-01	8.182e-01	8.182e-01	5.871e-01	5.758e-01	5.985e-01	3.889e-01	3.727e-01	4.074e-01	2.576e-01	2.534e-01	2.761e-01	1.768e-01	1.566e-01	2.008e-01	8.185e-01	8.182e-01	8.191e-01	5.745e-01	5.724e-01	5.773e-01	3.745e-01	3.715e-01	3.764e-01	2.161e-01	2.088e-01	2.203e-01	9.758e-02	9.061e-02	1.012e-01	8.182e-01	8.182e-01	8.182e-01	5.909e-01	5.825e-01	5.985e-01	3.909e-01	3.766e-01	4.121e-01	2.636e-01	2.500e-01	2.837e-01	1.667e-01	1.515e-01	2.045e-01	8.188e-01	8.185e-01	8.191e-01	5.745e-01	5.712e-01	5.776e-01	3.730e-01	3.697e-01	3.767e-01	2.158e-01	2.130e-01	2.203e-01	9.455e-02	9.242e-02	9.818e-02
8.000e+02	8.182e-01	8.182e-01	8.182e-01	5.871e-01	5.758e-01	5.993e-01	3.889e-01	3.737e-01	4.000e-01	2.617e-01	2.545e-01	2.795e-01	1.818e-01	1.667e-01	2.054e-01	8.185e-01	8.182e-01	8.188e-01	5.736e-01	5.709e-01	5.758e-01	3.755e-01	3.712e-01	3.800e-01	2.161e-01	2.121e-01	2.188e-01	9.848e-02	9.242e-02	1.003e-01	8.182e-01	8.182e-01	8.182e-01	5.909e-01	5.833e-01	5.985e-01	4.000e-01	3.805e-01	4.116e-01	2.667e-01	2.559e-01	2.865e-01	1.775e-01	1.566e-01	2.008e-01	8.188e-01	8.185e-01	8.191e-01	5.730e-01	5.712e-01	5.767e-01	3.727e-01	3.685e-01	3.770e-01	2.164e-01	2.124e-01	2.215e-01	9.545e-02	9.242e-02	9.788e-02
9.000e+02	8.182e-01	8.182e-01	8.182e-01	5.871e-01	5.758e-01	5.993e-01	3.902e-01	3.758e-01	4.105e-01	2.645e-01	2.576e-01	2.818e-01	1.919e-01	1.742e-01	2.121e-01	8.185e-01	8.182e-01	8.191e-01	5.742e-01	5.730e-01	5.761e-01	3.748e-01	3.724e-01	3.782e-01	2.179e-01	2.109e-01	2.215e-01	9.758e-02	9.152e-02	1.003e-01	8.182e-01	8.182e-01	8.182e-01	5.923e-01	5.833e-01	6.023e-01	4.000e-01	3.818e-01	4.121e-01	2.694e-01	2.562e-01	2.865e-01	1.818e-01	1.591e-01	2.121e-01	8.185e-01	8.185e-01	8.191e-01	5.733e-01	5.709e-01	5.776e-01	3.727e-01	3.700e-01	3.779e-01	2.161e-01	2.118e-01	2.212e-01	9.576e-02	9.333e-02	1.003e-01
1.000e+03	8.182e-01	8.182e-01	8.182e-01	5.892e-01	5.795e-01	5.985e-01	3.967e-01	3.805e-01	4.040e-01	2.727e-01	2.636e-01	2.854e-01	1.970e-01	1.775e-01	2.121e-01	8.185e-01	8.182e-01	8.191e-01	5.739e-01	5.727e-01	5.761e-01	3.761e-01	3.727e-01	3.782e-01	2.179e-01	2.136e-01	2.245e-01	9.636e-02	9.242e-02	1.015e-01	8.182e-01	8.182e-01	8.182e-01	5.909e-01	5.859e-01	6.023e-01	3.994e-01	3.818e-01	4.141e-01	2.660e-01	2.606e-01	2.904e-01	1.869e-01	1.602e-01	2.121e-01	8.188e-01	8.185e-01	8.191e-01	5.752e-01	5.706e-01	5.773e-01	3.730e-01	3.679e-01	3.776e-01	2.167e-01	2.124e-01	2.203e-01	9.636e-02	9.242e-02	9.939e-02
