_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
3.200e-01	2.917e-01	7.938e-01	2.557e-01	5.776e-01	4.690e-01	7.931e-01	3.276e-01	2.628e-01	4.983e-01	3.841e-01	2.190e-01	7.934e-01	2.785e-01	5.776e-01	2.969e-01	7.931e-01	3.224e-01	2.076e-01	5.393e-01
4.397e-01	3.490e-01	7.941e-01	2.586e-01	5.549e-01	3.259e-01	7.931e-01	3.103e-01	3.531e-01	5.917e-01	3.231e-01	2.338e-01	7.931e-01	2.629e-01	6.276e-01	2.565e-01	7.931e-01	3.387e-01	1.193e-01	5.369e-01
4.103e-01	3.824e-01	7.931e-01	4.290e-01	5.690e-01	3.172e-01	7.931e-01	3.777e-01	2.200e-01	5.931e-01	3.666e-01	2.286e-01	8.166e-01	3.306e-01	5.718e-01	3.793e-01	7.931e-01	3.122e-01	1.193e-01	5.428e-01
4.759e-01	2.114e-01	7.931e-01	2.543e-01	5.603e-01	3.511e-01	7.931e-01	3.293e-01	2.931e-01	5.824e-01	3.652e-01	2.528e-01	7.938e-01	3.083e-01	6.092e-01	3.140e-01	7.931e-01	3.744e-01	1.290e-01	5.483e-01
4.741e-01	4.066e-01	7.931e-01	2.500e-01	5.580e-01	3.583e-01	7.931e-01	3.815e-01	2.107e-01	5.197e-01	3.586e-01	1.890e-01	7.931e-01	3.002e-01	5.690e-01	3.190e-01	8.103e-01	3.190e-01	1.617e-01	5.345e-01
4.945e-01	2.745e-01	7.938e-01	2.500e-01	6.092e-01	2.368e-01	7.931e-01	3.793e-01	3.441e-01	6.500e-01	4.007e-01	2.783e-01	7.931e-01	3.002e-01	6.228e-01	2.586e-01	8.103e-01	3.224e-01	1.248e-01	5.479e-01
4.734e-01	3.831e-01	7.938e-01	2.414e-01	5.517e-01	3.013e-01	7.931e-01	4.028e-01	3.462e-01	5.197e-01	3.703e-01	2.483e-01	7.979e-01	3.321e-01	5.862e-01	2.483e-01	7.931e-01	3.027e-01	1.724e-01	5.224e-01
5.276e-01	3.986e-01	7.931e-01	2.435e-01	5.632e-01	2.543e-01	7.931e-01	4.000e-01	2.855e-01	5.552e-01	4.207e-01	2.062e-01	7.931e-01	3.267e-01	5.690e-01	2.391e-01	7.931e-01	3.172e-01	1.145e-01	5.366e-01
4.166e-01	3.490e-01	7.931e-01	3.241e-01	5.661e-01	2.835e-01	7.931e-01	3.267e-01	3.079e-01	5.621e-01	3.572e-01	3.238e-01	7.931e-01	3.155e-01	5.661e-01	2.629e-01	7.931e-01	3.744e-01	1.500e-01	5.190e-01
4.248e-01	2.734e-01	7.934e-01	3.808e-01	5.575e-01	3.345e-01	7.931e-01	4.356e-01	3.138e-01	6.014e-01	4.066e-01	2.472e-01	7.938e-01	3.230e-01	6.207e-01	3.067e-01	8.103e-01	3.063e-01	2.472e-01	5.693e-01
