_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
5.163e-01	2.831e-01	4.466e-01	3.082e-01	2.963e-01	2.959e-01	3.556e-01	2.489e-01	3.072e-01	5.391e-01	3.158e-01	2.631e-01	4.153e-01	1.751e-01	2.726e-01	2.529e-01	3.556e-01	3.058e-01	3.172e-01	4.523e-01
4.196e-01	3.215e-01	3.400e-01	3.023e-01	3.621e-01	2.703e-01	3.556e-01	3.272e-01	3.172e-01	4.338e-01	3.883e-01	2.631e-01	4.068e-01	1.867e-01	2.940e-01	2.400e-01	3.556e-01	2.928e-01	1.451e-01	4.011e-01
1.636e-01	2.944e-01	5.462e-01	2.333e-01	3.082e-01	1.707e-01	3.556e-01	2.716e-01	1.835e-01	4.267e-01	2.802e-01	2.262e-01	2.475e-01	2.510e-01	3.082e-01	2.489e-01	3.556e-01	2.920e-01	1.252e-01	4.438e-01
1.451e-01	2.048e-01	3.030e-01	1.156e-01	3.556e-01	3.103e-01	3.556e-01	2.916e-01	2.774e-01	3.940e-01	3.200e-01	1.252e-01	4.523e-01	1.422e-01	2.560e-01	2.995e-01	3.556e-01	3.150e-01	1.465e-01	4.267e-01
4.253e-01	4.210e-01	2.802e-01	1.778e-01	3.103e-01	3.092e-01	3.556e-01	3.200e-01	2.873e-01	4.281e-01	3.556e-01	2.831e-01	4.125e-01	2.510e-01	3.200e-01	2.063e-01	3.556e-01	2.205e-01	1.593e-01	4.509e-01
4.210e-01	2.546e-01	4.296e-01	2.667e-01	2.940e-01	2.371e-01	3.556e-01	2.466e-01	2.859e-01	4.168e-01	3.656e-01	2.233e-01	4.381e-01	2.845e-01	3.289e-01	1.956e-01	3.200e-01	2.205e-01	1.380e-01	4.381e-01
2.674e-01	2.262e-01	2.873e-01	3.392e-01	3.621e-01	2.770e-01	3.556e-01	3.297e-01	2.347e-01	5.661e-01	3.357e-01	2.432e-01	4.196e-01	1.946e-01	3.200e-01	2.655e-01	3.556e-01	3.319e-01	3.883e-01	5.334e-01
2.959e-01	1.337e-01	4.239e-01	2.934e-01	3.082e-01	3.023e-01	3.556e-01	3.509e-01	2.674e-01	3.883e-01	3.272e-01	2.532e-01	4.452e-01	2.096e-01	2.963e-01	2.845e-01	3.556e-01	2.703e-01	1.451e-01	4.054e-01
3.371e-01	4.452e-01	5.277e-01	2.774e-01	3.200e-01	3.319e-01	3.556e-01	3.069e-01	2.148e-01	4.936e-01	3.072e-01	3.072e-01	4.182e-01	2.703e-01	3.200e-01	2.400e-01	3.556e-01	3.387e-01	1.337e-01	4.779e-01
4.182e-01	1.351e-01	3.101e-01	2.288e-01	3.082e-01	1.849e-01	3.556e-01	3.069e-01	1.792e-01	4.253e-01	3.129e-01	1.963e-01	4.025e-01	2.770e-01	2.667e-01	2.246e-01	2.845e-01	3.431e-01	1.579e-01	4.239e-01
4.381e-01	4.353e-01	5.135e-01	2.347e-01	2.963e-01	3.082e-01	3.556e-01	3.200e-01	1.991e-01	3.400e-01	3.471e-01	2.219e-01	4.225e-01	2.045e-01	3.103e-01	2.181e-01	3.556e-01	3.168e-01	1.095e-01	4.040e-01
3.343e-01	1.721e-01	5.249e-01	2.223e-01	3.861e-01	2.783e-01	3.556e-01	3.129e-01	2.034e-01	4.779e-01	3.144e-01	1.821e-01	4.267e-01	2.388e-01	2.963e-01	2.963e-01	3.556e-01	3.082e-01	1.451e-01	4.694e-01
5.249e-01	2.930e-01	4.281e-01	2.371e-01	3.082e-01	2.396e-01	3.556e-01	3.219e-01	2.916e-01	4.765e-01	2.631e-01	2.191e-01	3.371e-01	2.995e-01	3.491e-01	2.292e-01	3.200e-01	2.770e-01	7.112e-02	3.897e-01
3.869e-01	1.764e-01	2.987e-01	3.180e-01	3.621e-01	2.096e-01	2.845e-01	3.369e-01	3.414e-01	4.395e-01	4.182e-01	2.745e-01	4.580e-01	2.223e-01	3.200e-01	2.902e-01	3.556e-01	2.954e-01	1.451e-01	4.509e-01
3.030e-01	1.878e-01	4.395e-01	3.129e-01	2.608e-01	1.979e-01	3.556e-01	2.489e-01	2.006e-01	4.466e-01	3.456e-01	2.873e-01	3.926e-01	1.739e-01	2.726e-01	2.695e-01	3.556e-01	2.548e-01	6.970e-02	4.609e-01
3.954e-01	2.119e-01	4.082e-01	2.845e-01	3.082e-01	2.311e-01	3.556e-01	2.540e-01	1.778e-01	4.609e-01	3.016e-01	3.115e-01	4.281e-01	1.920e-01	3.082e-01	2.418e-01	3.556e-01	3.180e-01	1.735e-01	4.409e-01
5.234e-01	2.063e-01	4.395e-01	2.780e-01	3.289e-01	2.756e-01	3.556e-01	2.987e-01	1.707e-01	3.286e-01	3.528e-01	2.191e-01	4.253e-01	2.418e-01	3.378e-01	2.371e-01	3.556e-01	3.438e-01	1.181e-01	4.424e-01
3.485e-01	2.489e-01	5.419e-01	2.311e-01	2.963e-01	2.134e-01	3.556e-01	2.995e-01	4.409e-02	3.798e-01	3.115e-01	2.717e-01	4.367e-01	1.580e-01	3.621e-01	2.134e-01	3.556e-01	2.750e-01	1.138e-01	4.225e-01
2.418e-01	2.930e-01	4.751e-01	2.045e-01	3.082e-01	2.774e-01	3.556e-01	3.272e-01	8.961e-02	3.670e-01	4.381e-01	2.304e-01	4.566e-01	2.045e-01	3.082e-01	2.655e-01	3.556e-01	3.144e-01	1.181e-01	3.627e-01
3.499e-01	4.040e-01	5.178e-01	2.438e-01	3.082e-01	2.347e-01	3.556e-01	3.150e-01	1.280e-01	4.666e-01	3.144e-01	2.546e-01	4.495e-01	1.849e-01	2.726e-01	2.845e-01	3.556e-01	2.845e-01	1.821e-01	4.794e-01
2.987e-01	1.849e-01	4.097e-01	1.707e-01	2.845e-01	3.282e-01	3.556e-01	4.078e-01	1.949e-01	4.111e-01	3.841e-01	1.622e-01	4.794e-01	1.778e-01	3.491e-01	2.489e-01	3.200e-01	3.069e-01	1.252e-01	3.556e-01
3.243e-01	3.343e-01	4.552e-01	2.974e-01	3.362e-01	2.574e-01	3.556e-01	3.369e-01	2.717e-01	4.566e-01	3.186e-01	2.191e-01	3.713e-01	2.916e-01	3.200e-01	2.608e-01	3.200e-01	2.631e-01	1.422e-01	4.722e-01
4.751e-01	1.579e-01	4.651e-01	2.134e-01	2.608e-01	2.276e-01	3.556e-01	3.319e-01	1.991e-01	3.016e-01	3.698e-01	1.550e-01	4.395e-01	2.642e-01	3.438e-01	2.134e-01	3.556e-01	2.205e-01	1.181e-01	4.637e-01
3.954e-01	2.617e-01	4.225e-01	1.517e-01	3.082e-01	2.695e-01	3.556e-01	3.272e-01	1.977e-01	3.456e-01	3.841e-01	1.693e-01	3.897e-01	1.343e-01	3.082e-01	1.855e-01	3.556e-01	2.631e-01	1.835e-01	4.040e-01
3.030e-01	4.708e-01	3.328e-01	2.438e-01	3.200e-01	2.545e-01	3.556e-01	2.608e-01	1.707e-01	4.367e-01	3.129e-01	2.717e-01	4.296e-01	2.286e-01	3.319e-01	2.213e-01	3.556e-01	3.219e-01	2.205e-01	5.192e-01
3.243e-01	2.745e-01	5.547e-01	2.545e-01	3.491e-01	2.916e-01	3.556e-01	3.200e-01	1.806e-01	3.343e-01	3.030e-01	1.678e-01	4.466e-01	2.489e-01	3.200e-01	2.845e-01	3.556e-01	2.721e-01	8.677e-02	4.950e-01
4.054e-01	3.499e-01	2.375e-01	2.471e-01	2.845e-01	2.396e-01	3.556e-01	3.103e-01	4.367e-01	4.097e-01	3.343e-01	2.148e-01	5.064e-01	1.946e-01	3.048e-01	2.371e-01	3.556e-01	2.506e-01	1.195e-01	4.523e-01
5.021e-01	2.973e-01	5.491e-01	2.350e-01	3.200e-01	3.200e-01	3.556e-01	2.328e-01	2.888e-01	5.633e-01	3.485e-01	1.963e-01	4.324e-01	1.778e-01	3.082e-01	1.673e-01	3.556e-01	2.920e-01	1.650e-01	4.125e-01
1.906e-01	3.826e-01	3.855e-01	2.205e-01	3.438e-01	2.677e-01	3.556e-01	3.129e-01	2.475e-01	4.779e-01	3.072e-01	2.006e-01	4.594e-01	1.757e-01	2.974e-01	1.739e-01	3.556e-01	3.129e-01	9.246e-02	4.353e-01
5.505e-01	3.044e-01	5.647e-01	1.867e-01	3.362e-01	2.608e-01	3.556e-01	3.030e-01	1.906e-01	4.722e-01	3.144e-01	2.959e-01	5.234e-01	1.849e-01	3.438e-01	1.897e-01	3.556e-01	2.642e-01	9.246e-02	3.926e-01
