_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
3.915e-01	3.252e-01	8.185e-01	3.207e-01	6.162e-01	5.152e-01	8.182e-01	3.864e-01	3.055e-01	5.536e-01	4.070e-01	2.603e-01	8.185e-01	3.170e-01	6.111e-01	3.552e-01	8.182e-01	3.939e-01	2.512e-01	5.833e-01
4.824e-01	3.767e-01	8.182e-01	3.371e-01	6.061e-01	3.894e-01	8.182e-01	3.879e-01	3.785e-01	6.130e-01	3.697e-01	2.624e-01	8.182e-01	3.163e-01	6.566e-01	3.220e-01	8.182e-01	3.975e-01	1.361e-01	5.667e-01
3.958e-01	3.988e-01	8.182e-01	4.667e-01	6.111e-01	3.606e-01	8.182e-01	4.311e-01	2.324e-01	6.418e-01	3.858e-01	2.533e-01	8.182e-01	3.815e-01	6.136e-01	4.318e-01	8.182e-01	3.796e-01	1.639e-01	5.815e-01
4.788e-01	2.573e-01	8.182e-01	2.936e-01	6.136e-01	4.160e-01	8.182e-01	3.970e-01	3.179e-01	6.124e-01	3.942e-01	2.512e-01	8.182e-01	3.387e-01	6.323e-01	3.828e-01	8.182e-01	4.351e-01	1.455e-01	5.833e-01
5.079e-01	4.506e-01	8.182e-01	3.030e-01	5.978e-01	4.282e-01	8.182e-01	4.489e-01	2.470e-01	5.515e-01	3.939e-01	2.291e-01	8.182e-01	3.547e-01	6.136e-01	3.697e-01	8.333e-01	3.727e-01	1.764e-01	5.788e-01
5.252e-01	3.142e-01	8.188e-01	3.220e-01	6.404e-01	3.010e-01	8.182e-01	4.283e-01	3.648e-01	6.658e-01	4.333e-01	2.936e-01	8.182e-01	3.619e-01	6.629e-01	3.144e-01	8.258e-01	3.758e-01	1.391e-01	5.858e-01
4.891e-01	3.879e-01	8.182e-01	3.193e-01	6.033e-01	3.668e-01	8.182e-01	4.656e-01	3.545e-01	5.776e-01	4.003e-01	2.733e-01	8.194e-01	3.764e-01	6.288e-01	3.172e-01	8.182e-01	3.771e-01	2.348e-01	5.755e-01
5.561e-01	3.791e-01	8.182e-01	3.220e-01	6.061e-01	3.333e-01	8.182e-01	4.687e-01	3.321e-01	5.903e-01	4.430e-01	2.355e-01	8.182e-01	3.748e-01	6.086e-01	3.131e-01	8.182e-01	3.818e-01	1.315e-01	5.609e-01
4.485e-01	4.118e-01	8.182e-01	3.894e-01	6.111e-01	3.620e-01	8.182e-01	3.955e-01	3.164e-01	6.003e-01	3.833e-01	3.721e-01	8.182e-01	3.803e-01	6.111e-01	3.277e-01	8.182e-01	4.401e-01	1.621e-01	5.621e-01
4.661e-01	2.703e-01	8.185e-01	4.269e-01	6.010e-01	3.788e-01	8.182e-01	4.912e-01	3.139e-01	6.209e-01	4.297e-01	2.721e-01	8.188e-01	3.860e-01	6.477e-01	3.604e-01	8.182e-01	3.797e-01	2.518e-01	6.009e-01
