_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.ga.single.ds	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.ga.single.ds	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
4.400e-01	4.300e-01	4.300e-01	4.800e-01	4.400e-01	4.600e-01	4.500e-01	4.600e-01	4.400e-01	4.400e-01	4.600e-01	4.100e-01	4.100e-01	4.300e-01	4.600e-01	4.400e-01	4.300e-01	4.300e-01	4.600e-01	4.500e-01	4.300e-01	4.500e-01
4.500e-01	4.500e-01	4.000e-01	4.900e-01	4.700e-01	4.400e-01	4.500e-01	4.700e-01	4.400e-01	4.600e-01	4.600e-01	4.300e-01	4.200e-01	4.500e-01	4.700e-01	4.200e-01	4.300e-01	4.400e-01	4.600e-01	4.300e-01	4.400e-01	4.300e-01
4.300e-01	4.300e-01	4.500e-01	4.700e-01	4.500e-01	4.400e-01	4.400e-01	4.300e-01	4.500e-01	4.700e-01	4.400e-01	4.600e-01	4.500e-01	4.300e-01	4.700e-01	4.300e-01	4.400e-01	4.300e-01	4.500e-01	4.500e-01	4.200e-01	4.100e-01
4.500e-01	4.400e-01	3.900e-01	4.800e-01	4.600e-01	4.200e-01	4.600e-01	4.600e-01	4.500e-01	4.500e-01	4.400e-01	4.500e-01	3.900e-01	4.300e-01	4.700e-01	4.500e-01	4.500e-01	4.400e-01	4.300e-01	4.600e-01	4.400e-01	4.300e-01
4.600e-01	4.400e-01	4.200e-01	4.900e-01	4.300e-01	4.500e-01	4.600e-01	4.600e-01	4.500e-01	4.400e-01	4.300e-01	4.500e-01	4.200e-01	4.200e-01	4.600e-01	4.300e-01	4.600e-01	4.300e-01	4.400e-01	4.400e-01	4.200e-01	4.500e-01
4.600e-01	4.500e-01	4.000e-01	4.700e-01	4.600e-01	4.400e-01	4.500e-01	4.100e-01	4.200e-01	4.400e-01	4.300e-01	4.400e-01	4.100e-01	4.400e-01	4.700e-01	4.400e-01	4.500e-01	4.300e-01	4.400e-01	4.500e-01	4.200e-01	4.300e-01
4.500e-01	4.500e-01	4.300e-01	4.700e-01	4.400e-01	4.500e-01	4.500e-01	4.600e-01	4.700e-01	4.700e-01	4.500e-01	4.300e-01	4.300e-01	4.400e-01	4.500e-01	4.500e-01	4.400e-01	4.400e-01	4.700e-01	4.500e-01	4.400e-01	4.400e-01
4.600e-01	4.400e-01	4.200e-01	4.800e-01	4.500e-01	4.600e-01	4.500e-01	4.700e-01	4.500e-01	4.500e-01	4.700e-01	4.400e-01	4.500e-01	4.300e-01	4.500e-01	4.400e-01	4.600e-01	4.500e-01	4.400e-01	4.400e-01	4.100e-01	4.400e-01
4.500e-01	4.500e-01	4.700e-01	4.800e-01	4.600e-01	4.500e-01	4.600e-01	4.900e-01	4.600e-01	4.400e-01	4.600e-01	4.200e-01	4.400e-01	4.600e-01	4.600e-01	4.400e-01	4.400e-01	4.100e-01	4.400e-01	4.400e-01	4.300e-01	4.700e-01
4.400e-01	4.300e-01	4.500e-01	4.800e-01	4.600e-01	4.600e-01	4.400e-01	4.500e-01	4.500e-01	4.500e-01	4.600e-01	4.500e-01	4.200e-01	4.500e-01	4.400e-01	4.600e-01	4.500e-01	4.400e-01	4.500e-01	4.300e-01	4.300e-01	4.500e-01
4.600e-01	4.600e-01	4.400e-01	4.800e-01	4.500e-01	4.400e-01	4.500e-01	4.600e-01	4.500e-01	4.500e-01	4.400e-01	4.300e-01	4.200e-01	4.500e-01	4.700e-01	4.600e-01	4.300e-01	4.500e-01	4.700e-01	4.500e-01	4.100e-01	4.300e-01
4.500e-01	4.300e-01	4.600e-01	4.800e-01	4.400e-01	4.500e-01	4.300e-01	4.400e-01	4.600e-01	4.500e-01	4.500e-01	4.400e-01	4.300e-01	4.100e-01	4.500e-01	4.200e-01	4.500e-01	4.500e-01	4.300e-01	4.300e-01	4.300e-01	4.600e-01
4.600e-01	4.600e-01	4.700e-01	4.800e-01	4.700e-01	4.500e-01	4.400e-01	4.500e-01	4.500e-01	4.400e-01	4.000e-01	4.300e-01	4.100e-01	4.100e-01	4.500e-01	4.500e-01	4.600e-01	4.700e-01	4.700e-01	4.600e-01	4.600e-01	4.400e-01
4.300e-01	4.400e-01	4.500e-01	4.900e-01	4.500e-01	4.600e-01	4.600e-01	4.600e-01	4.400e-01	4.300e-01	4.400e-01	4.100e-01	4.100e-01	4.600e-01	4.600e-01	4.300e-01	4.500e-01	4.400e-01	4.600e-01	4.400e-01	4.300e-01	4.400e-01
4.400e-01	4.400e-01	4.500e-01	4.900e-01	4.600e-01	4.800e-01	4.600e-01	4.400e-01	4.400e-01	4.200e-01	4.600e-01	4.200e-01	4.100e-01	4.100e-01	4.600e-01	4.600e-01	4.200e-01	4.200e-01	4.700e-01	4.600e-01	4.100e-01	4.300e-01
4.600e-01	4.600e-01	4.200e-01	4.800e-01	4.400e-01	4.600e-01	4.600e-01	4.000e-01	4.500e-01	4.600e-01	4.500e-01	4.400e-01	4.300e-01	4.400e-01	4.500e-01	4.300e-01	4.400e-01	4.500e-01	4.300e-01	4.400e-01	4.200e-01	4.300e-01
4.400e-01	4.100e-01	4.400e-01	4.800e-01	4.500e-01	4.500e-01	4.500e-01	4.300e-01	4.400e-01	4.500e-01	4.400e-01	4.200e-01	4.200e-01	4.100e-01	4.400e-01	4.300e-01	4.300e-01	4.500e-01	4.300e-01	4.200e-01	4.100e-01	4.600e-01
4.300e-01	4.600e-01	4.300e-01	4.800e-01	4.500e-01	4.400e-01	4.400e-01	4.700e-01	4.500e-01	4.600e-01	4.400e-01	4.400e-01	4.600e-01	4.200e-01	4.500e-01	4.300e-01	4.200e-01	4.400e-01	4.300e-01	4.200e-01	4.000e-01	4.300e-01
4.500e-01	4.400e-01	4.400e-01	4.900e-01	4.300e-01	4.500e-01	4.400e-01	4.400e-01	4.400e-01	4.600e-01	4.500e-01	4.300e-01	4.000e-01	4.500e-01	4.500e-01	4.400e-01	4.600e-01	4.600e-01	4.300e-01	4.300e-01	4.100e-01	4.200e-01
4.400e-01	4.400e-01	4.400e-01	4.900e-01	4.500e-01	4.500e-01	4.600e-01	4.300e-01	4.500e-01	4.400e-01	4.400e-01	4.100e-01	4.000e-01	4.500e-01	4.700e-01	4.500e-01	4.500e-01	4.400e-01	4.500e-01	4.500e-01	4.100e-01	4.300e-01
4.400e-01	4.600e-01	4.500e-01	4.800e-01	4.600e-01	4.600e-01	4.400e-01	4.400e-01	4.400e-01	4.600e-01	4.100e-01	4.200e-01	4.300e-01	4.600e-01	4.500e-01	4.200e-01	4.500e-01	4.500e-01	4.500e-01	4.500e-01	4.100e-01	4.400e-01
4.600e-01	4.500e-01	4.400e-01	4.800e-01	4.500e-01	4.200e-01	4.500e-01	4.500e-01	4.500e-01	4.500e-01	4.200e-01	4.200e-01	4.400e-01	4.300e-01	4.600e-01	4.300e-01	4.600e-01	4.200e-01	4.600e-01	4.500e-01	4.000e-01	4.200e-01
4.500e-01	4.500e-01	4.600e-01	4.900e-01	4.500e-01	4.800e-01	4.600e-01	4.300e-01	4.600e-01	4.400e-01	4.500e-01	4.100e-01	4.100e-01	4.400e-01	4.700e-01	4.400e-01	4.300e-01	4.300e-01	4.400e-01	4.400e-01	4.200e-01	4.500e-01
4.300e-01	4.700e-01	4.400e-01	4.900e-01	4.700e-01	4.300e-01	4.400e-01	4.300e-01	4.500e-01	4.000e-01	4.400e-01	4.100e-01	4.300e-01	4.500e-01	4.700e-01	4.600e-01	4.400e-01	4.500e-01	4.400e-01	4.300e-01	4.300e-01	4.400e-01
4.600e-01	4.500e-01	4.400e-01	4.900e-01	4.500e-01	4.600e-01	4.600e-01	4.300e-01	4.500e-01	4.600e-01	4.500e-01	4.000e-01	4.200e-01	4.600e-01	4.200e-01	4.300e-01	4.600e-01	4.400e-01	4.500e-01	4.400e-01	4.100e-01	4.400e-01
4.600e-01	4.500e-01	4.400e-01	4.800e-01	4.300e-01	4.600e-01	4.500e-01	4.300e-01	4.600e-01	4.700e-01	4.700e-01	4.200e-01	4.200e-01	4.500e-01	4.700e-01	4.600e-01	4.400e-01	4.600e-01	4.700e-01	4.400e-01	4.300e-01	4.500e-01
4.400e-01	4.200e-01	3.900e-01	4.800e-01	4.600e-01	4.400e-01	4.600e-01	4.300e-01	4.400e-01	4.500e-01	4.400e-01	4.200e-01	4.000e-01	4.600e-01	4.600e-01	4.400e-01	4.200e-01	4.400e-01	4.500e-01	4.300e-01	4.300e-01	4.500e-01
4.300e-01	4.200e-01	4.600e-01	4.800e-01	4.500e-01	4.500e-01	4.500e-01	4.900e-01	4.500e-01	4.400e-01	4.500e-01	4.200e-01	4.300e-01	4.500e-01	4.600e-01	4.600e-01	4.600e-01	4.600e-01	4.400e-01	4.400e-01	4.200e-01	4.500e-01
4.500e-01	4.600e-01	3.800e-01	4.700e-01	4.600e-01	4.600e-01	4.600e-01	4.200e-01	4.400e-01	4.500e-01	4.500e-01	4.100e-01	4.400e-01	4.300e-01	4.700e-01	4.600e-01	4.200e-01	4.300e-01	4.600e-01	4.400e-01	4.100e-01	4.200e-01
4.400e-01	4.500e-01	4.700e-01	4.900e-01	4.400e-01	4.400e-01	4.400e-01	4.600e-01	4.600e-01	4.700e-01	4.500e-01	4.500e-01	4.000e-01	4.300e-01	4.500e-01	4.500e-01	4.400e-01	4.200e-01	4.600e-01	4.400e-01	4.200e-01	4.100e-01
