_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
3.636e-01	4.242e-01	8.182e-01	3.636e-01	6.667e-01	7.273e-01	8.182e-01	3.636e-01	3.636e-01	5.455e-01	3.939e-01	3.030e-01	8.182e-01	1.515e-01	5.758e-01	4.848e-01	8.182e-01	4.242e-01	2.121e-01	6.061e-01
4.545e-01	3.636e-01	8.182e-01	3.030e-01	6.364e-01	3.333e-01	8.182e-01	6.061e-01	3.939e-01	6.061e-01	2.727e-01	1.818e-01	8.182e-01	9.091e-02	6.061e-01	3.333e-01	8.182e-01	5.455e-01	1.515e-01	5.455e-01
3.939e-01	4.545e-01	8.182e-01	1.818e-01	5.455e-01	1.212e-01	8.182e-01	3.636e-01	2.727e-01	6.667e-01	4.242e-01	2.424e-01	8.182e-01	2.121e-01	6.061e-01	3.030e-01	8.182e-01	3.939e-01	1.818e-01	5.758e-01
4.545e-01	2.727e-01	8.182e-01	3.939e-01	5.758e-01	6.061e-01	8.182e-01	4.242e-01	1.212e-01	6.667e-01	3.636e-01	1.818e-01	8.182e-01	1.515e-01	5.758e-01	5.758e-01	8.182e-01	4.545e-01	9.091e-02	6.061e-01
5.455e-01	4.242e-01	8.182e-01	1.818e-01	6.061e-01	4.242e-01	8.182e-01	3.333e-01	2.727e-01	5.152e-01	3.939e-01	1.818e-01	8.182e-01	3.939e-01	6.364e-01	2.424e-01	8.182e-01	5.152e-01	2.424e-01	5.758e-01
5.152e-01	3.636e-01	8.182e-01	1.515e-01	6.364e-01	2.424e-01	8.182e-01	3.939e-01	3.939e-01	6.667e-01	4.848e-01	3.333e-01	8.182e-01	2.424e-01	6.061e-01	2.727e-01	8.182e-01	6.061e-01	1.212e-01	6.061e-01
5.152e-01	4.545e-01	8.182e-01	2.121e-01	5.758e-01	2.727e-01	8.182e-01	4.848e-01	3.636e-01	5.758e-01	3.636e-01	1.515e-01	8.182e-01	5.455e-01	7.273e-01	2.424e-01	8.182e-01	6.061e-01	2.424e-01	5.758e-01
5.758e-01	3.333e-01	8.182e-01	2.121e-01	5.455e-01	4.242e-01	8.182e-01	4.545e-01	4.545e-01	5.758e-01	4.545e-01	2.424e-01	8.182e-01	2.121e-01	5.758e-01	4.848e-01	8.182e-01	3.333e-01	9.091e-02	5.758e-01
4.242e-01	4.242e-01	8.182e-01	5.152e-01	5.455e-01	3.333e-01	8.182e-01	3.636e-01	3.030e-01	6.061e-01	3.636e-01	4.242e-01	8.182e-01	4.242e-01	5.758e-01	3.030e-01	8.182e-01	6.364e-01	1.515e-01	5.455e-01
4.242e-01	2.727e-01	8.182e-01	5.758e-01	6.061e-01	2.424e-01	8.182e-01	6.970e-01	3.636e-01	6.364e-01	5.455e-01	3.333e-01	8.182e-01	3.333e-01	5.758e-01	6.061e-01	8.182e-01	4.242e-01	2.424e-01	6.061e-01
3.636e-01	3.636e-01	8.182e-01	2.424e-01	6.061e-01	3.333e-01	8.182e-01	5.758e-01	3.333e-01	6.061e-01	3.636e-01	1.515e-01	8.182e-01	4.545e-01	5.455e-01	3.030e-01	8.182e-01	4.848e-01	1.212e-01	5.455e-01
4.545e-01	4.848e-01	8.182e-01	3.636e-01	6.061e-01	2.727e-01	8.182e-01	3.030e-01	3.636e-01	5.758e-01	3.939e-01	4.545e-01	8.182e-01	2.424e-01	6.970e-01	4.848e-01	8.182e-01	3.939e-01	1.818e-01	6.061e-01
5.152e-01	4.242e-01	8.182e-01	3.333e-01	5.455e-01	3.030e-01	8.182e-01	5.455e-01	2.424e-01	5.758e-01	3.636e-01	2.424e-01	8.182e-01	2.424e-01	6.364e-01	2.121e-01	8.182e-01	3.333e-01	1.818e-01	6.061e-01
4.545e-01	2.424e-01	8.182e-01	2.121e-01	6.364e-01	3.939e-01	8.182e-01	4.545e-01	3.333e-01	6.061e-01	4.242e-01	3.636e-01	8.182e-01	4.848e-01	5.758e-01	3.636e-01	8.182e-01	5.758e-01	2.121e-01	5.758e-01
3.636e-01	4.242e-01	8.182e-01	2.424e-01	5.455e-01	2.424e-01	8.182e-01	4.242e-01	1.515e-01	5.152e-01	3.939e-01	2.424e-01	8.182e-01	2.121e-01	5.758e-01	2.424e-01	8.182e-01	4.242e-01	1.515e-01	5.152e-01
4.848e-01	3.333e-01	8.182e-01	5.152e-01	5.455e-01	4.545e-01	8.182e-01	3.333e-01	3.333e-01	6.061e-01	3.939e-01	3.636e-01	8.182e-01	1.515e-01	5.455e-01	3.030e-01	8.182e-01	3.333e-01	1.818e-01	5.455e-01
4.848e-01	2.727e-01	8.182e-01	3.030e-01	5.758e-01	3.333e-01	8.182e-01	3.333e-01	3.636e-01	6.061e-01	4.848e-01	1.818e-01	8.182e-01	3.939e-01	5.758e-01	2.727e-01	8.182e-01	3.636e-01	2.121e-01	6.364e-01
5.758e-01	3.939e-01	8.182e-01	3.333e-01	5.758e-01	2.727e-01	8.182e-01	3.939e-01	3.333e-01	6.061e-01	3.939e-01	1.818e-01	8.182e-01	1.515e-01	5.758e-01	3.030e-01	8.182e-01	5.455e-01	6.061e-02	6.364e-01
4.242e-01	4.545e-01	8.182e-01	4.848e-01	5.455e-01	3.636e-01	8.182e-01	3.636e-01	2.727e-01	5.758e-01	5.152e-01	3.030e-01	8.182e-01	3.939e-01	6.364e-01	3.939e-01	8.182e-01	4.242e-01	1.515e-01	5.758e-01
5.152e-01	4.242e-01	8.182e-01	9.091e-02	5.758e-01	3.030e-01	8.182e-01	7.273e-01	2.121e-01	6.364e-01	3.939e-01	3.333e-01	8.182e-01	5.152e-01	6.667e-01	2.727e-01	8.182e-01	3.333e-01	9.091e-02	6.364e-01
4.545e-01	3.333e-01	8.485e-01	5.758e-01	6.970e-01	3.636e-01	8.182e-01	4.242e-01	3.030e-01	6.364e-01	4.242e-01	3.030e-01	8.182e-01	1.212e-01	5.758e-01	3.939e-01	8.182e-01	4.848e-01	1.818e-01	5.758e-01
4.848e-01	3.636e-01	8.182e-01	1.818e-01	6.364e-01	5.152e-01	8.182e-01	5.758e-01	3.030e-01	6.061e-01	3.333e-01	2.727e-01	8.182e-01	1.515e-01	5.455e-01	2.727e-01	8.182e-01	6.667e-01	1.818e-01	6.061e-01
5.455e-01	3.030e-01	8.182e-01	3.333e-01	6.061e-01	2.424e-01	8.182e-01	3.333e-01	3.030e-01	5.758e-01	4.242e-01	3.636e-01	8.182e-01	2.424e-01	6.061e-01	4.242e-01	8.182e-01	3.939e-01	1.212e-01	6.061e-01
5.152e-01	3.030e-01	8.182e-01	2.727e-01	6.061e-01	5.455e-01	8.182e-01	5.455e-01	9.091e-02	6.364e-01	5.152e-01	3.636e-01	8.182e-01	1.212e-01	5.455e-01	2.424e-01	8.182e-01	2.424e-01	2.121e-01	5.455e-01
4.242e-01	3.636e-01	8.182e-01	3.939e-01	6.061e-01	3.333e-01	8.182e-01	3.636e-01	3.333e-01	5.455e-01	4.242e-01	2.121e-01	8.182e-01	2.424e-01	6.970e-01	1.212e-01	8.182e-01	5.455e-01	1.212e-01	6.061e-01
4.242e-01	3.333e-01	8.182e-01	2.121e-01	5.455e-01	5.455e-01	8.182e-01	4.848e-01	3.636e-01	5.758e-01	3.939e-01	3.030e-01	8.182e-01	3.030e-01	7.273e-01	2.424e-01	8.182e-01	3.333e-01	2.121e-01	5.758e-01
3.636e-01	4.242e-01	8.182e-01	5.758e-01	5.455e-01	5.455e-01	8.182e-01	4.242e-01	2.424e-01	6.970e-01	5.152e-01	1.212e-01	8.182e-01	1.515e-01	6.364e-01	2.424e-01	8.182e-01	5.758e-01	1.212e-01	6.364e-01
4.848e-01	3.636e-01	8.182e-01	3.636e-01	5.758e-01	2.727e-01	8.182e-01	4.242e-01	3.030e-01	5.758e-01	3.333e-01	2.121e-01	8.182e-01	4.242e-01	5.758e-01	5.455e-01	8.182e-01	4.545e-01	2.121e-01	6.061e-01
5.455e-01	3.030e-01	8.182e-01	2.121e-01	6.667e-01	2.727e-01	8.182e-01	5.152e-01	3.636e-01	6.364e-01	3.030e-01	2.424e-01	8.182e-01	1.515e-01	5.758e-01	2.727e-01	8.182e-01	5.455e-01	2.424e-01	5.758e-01
5.758e-01	3.939e-01	8.182e-01	2.727e-01	6.970e-01	1.818e-01	8.182e-01	4.242e-01	2.424e-01	5.758e-01	4.848e-01	3.030e-01	8.182e-01	2.727e-01	5.455e-01	4.848e-01	8.182e-01	5.455e-01	1.212e-01	6.061e-01
