_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
2.487e-02	1.122e-01	1.083e-01	2.041e-01	2.795e-01	2.619e-01	2.795e-01	2.795e-01	1.146e-01	4.265e-02	6.379e-02	1.270e-01	1.259e-01	2.371e-01	2.795e-01	2.635e-01	2.795e-01	2.795e-01	4.899e-02	1.238e-01
1.036e-01	5.449e-02	1.422e-01	2.795e-01	2.670e-01	2.795e-01	2.795e-01	2.795e-01	3.500e-02	3.500e-02	7.500e-02	4.265e-02	1.937e-01	2.795e-01	2.708e-01	2.795e-01	2.795e-01	2.504e-01	2.487e-02	1.308e-01
2.487e-02	0.000e+00	9.823e-02	2.619e-01	2.795e-01	2.795e-01	2.795e-01	2.670e-01	0.000e+00	3.500e-02	8.408e-02	9.367e-02	1.702e-01	2.504e-01	2.795e-01	2.795e-01	2.795e-01	2.728e-01	2.378e-01	1.176e-01
7.890e-02	7.649e-02	9.782e-02	2.795e-01	2.795e-01	2.670e-01	2.795e-01	2.795e-01	4.899e-02	1.244e-01	1.003e-01	6.782e-02	1.369e-01	2.504e-01	2.708e-01	2.728e-01	2.795e-01	2.575e-01	4.265e-02	1.192e-01
3.500e-02	8.124e-02	2.436e-01	2.795e-01	2.670e-01	2.741e-01	2.795e-01	2.795e-01	3.500e-02	8.124e-02	7.500e-02	7.155e-02	1.479e-01	2.504e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.487e-02	1.335e-01
4.265e-02	1.213e-01	3.500e-02	2.795e-01	2.708e-01	2.708e-01	2.795e-01	2.708e-01	5.449e-02	9.808e-02	7.822e-02	5.449e-02	1.400e-01	2.504e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	0.000e+00	1.602e-01
1.248e-01	7.500e-02	6.042e-02	2.371e-01	2.670e-01	2.728e-01	2.795e-01	2.670e-01	2.487e-02	2.487e-02	7.822e-02	7.822e-02	1.293e-01	2.728e-01	2.795e-01	2.708e-01	2.795e-01	2.635e-01	3.500e-02	7.155e-02
5.540e-02	2.487e-02	9.987e-02	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.708e-01	1.173e-01	2.161e-01	8.860e-02	2.487e-02	1.567e-01	2.728e-01	2.795e-01	2.708e-01	2.795e-01	2.795e-01	0.000e+00	8.292e-02
1.244e-01	1.184e-01	1.134e-01	2.795e-01	2.795e-01	2.781e-01	2.795e-01	2.728e-01	0.000e+00	4.899e-02	9.121e-02	1.575e-01	1.050e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.575e-01	5.937e-02	9.367e-02
8.124e-02	4.899e-02	9.605e-02	2.741e-01	2.795e-01	2.795e-01	2.795e-01	2.728e-01	0.000e+00	5.937e-02	9.808e-02	1.469e-01	1.372e-01	2.728e-01	2.795e-01	2.728e-01	2.795e-01	2.504e-01	4.265e-02	1.379e-01
