_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
5.689e-02	8.905e-02	4.828e-03	1.207e-01	7.597e-02	2.324e-01	0.000e+00	1.645e-01	4.797e-02	2.033e-02	5.645e-02	5.568e-02	3.431e-03	1.335e-01	8.461e-02	1.568e-01	0.000e+00	1.512e-01	7.586e-02	3.290e-02
3.321e-02	3.879e-02	5.882e-03	1.225e-01	6.967e-02	1.593e-01	0.000e+00	1.664e-01	4.681e-02	2.375e-02	6.104e-02	7.093e-02	0.000e+00	1.187e-01	1.121e-01	1.110e-01	0.000e+00	1.534e-01	5.307e-02	4.858e-02
5.506e-02	5.834e-02	0.000e+00	2.256e-01	8.848e-02	1.597e-01	0.000e+00	1.969e-01	3.675e-02	3.343e-02	5.986e-02	5.595e-02	1.750e-02	1.714e-01	9.280e-02	2.001e-01	0.000e+00	1.631e-01	5.717e-02	4.156e-02
3.084e-02	3.436e-02	0.000e+00	1.083e-01	7.332e-02	2.023e-01	0.000e+00	1.648e-01	5.983e-02	4.248e-02	4.169e-02	7.758e-02	4.828e-03	1.456e-01	1.005e-01	1.496e-01	0.000e+00	1.105e-01	6.314e-02	3.793e-02
4.687e-02	4.000e-02	0.000e+00	1.198e-01	7.176e-02	2.000e-01	0.000e+00	1.258e-01	5.158e-02	4.423e-02	5.892e-02	6.533e-02	0.000e+00	1.621e-01	8.735e-02	1.724e-01	1.724e-02	1.542e-01	7.062e-02	3.600e-02
3.351e-02	4.675e-02	4.828e-03	1.147e-01	1.081e-01	1.226e-01	0.000e+00	1.296e-01	4.600e-02	3.137e-02	7.080e-02	6.135e-02	0.000e+00	1.672e-01	1.140e-01	1.111e-01	1.724e-02	1.690e-01	6.484e-02	5.788e-02
4.774e-02	2.529e-02	4.828e-03	1.283e-01	7.497e-02	1.562e-01	0.000e+00	1.864e-01	3.775e-02	3.388e-02	6.025e-02	6.931e-02	1.197e-02	1.668e-01	8.563e-02	1.392e-01	0.000e+00	1.587e-01	5.044e-02	3.249e-02
3.216e-02	5.145e-02	0.000e+00	1.120e-01	8.602e-02	1.136e-01	0.000e+00	1.180e-01	8.377e-02	6.330e-02	6.775e-02	4.973e-02	0.000e+00	1.503e-01	8.388e-02	1.211e-01	0.000e+00	1.498e-01	5.890e-02	3.319e-02
2.993e-02	3.208e-02	0.000e+00	1.680e-01	8.383e-02	1.587e-01	0.000e+00	1.515e-01	5.190e-02	2.557e-02	4.889e-02	7.755e-02	0.000e+00	1.739e-01	8.954e-02	1.117e-01	0.000e+00	1.865e-01	6.586e-02	4.453e-02
4.304e-02	5.837e-02	3.431e-03	2.115e-01	7.292e-02	1.621e-01	0.000e+00	1.607e-01	7.420e-02	2.355e-02	8.604e-02	6.359e-02	4.828e-03	1.759e-01	1.157e-01	1.685e-01	1.724e-02	1.491e-01	8.405e-02	5.241e-02
