_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
7.701e-02	1.565e-01	6.368e-02	9.775e-02	1.080e-01	1.058e-01	1.590e-01	1.792e-01	1.580e-01	6.454e-02	9.126e-02	1.052e-01	7.163e-02	1.137e-01	1.786e-01	1.387e-01	1.590e-01	1.442e-01	1.462e-01	8.856e-02
3.696e-02	9.981e-02	8.020e-02	1.110e-01	1.646e-01	1.182e-01	1.590e-01	1.430e-01	7.212e-02	6.479e-02	1.205e-01	8.385e-02	1.102e-01	1.397e-01	1.598e-01	1.092e-01	1.590e-01	1.420e-01	1.303e-01	1.072e-01
1.815e-01	5.031e-02	5.589e-02	1.444e-01	1.277e-01	1.064e-01	1.590e-01	1.417e-01	1.089e-01	2.845e-02	8.642e-02	1.424e-01	1.500e-01	1.339e-01	1.403e-01	1.437e-01	1.590e-01	1.420e-01	1.031e-01	1.011e-01
1.101e-01	9.714e-02	5.566e-02	9.022e-02	1.590e-01	1.463e-01	1.590e-01	1.230e-01	9.515e-02	8.500e-02	1.072e-01	1.107e-01	7.628e-02	1.091e-01	1.293e-01	1.720e-01	1.590e-01	1.223e-01	1.092e-01	1.190e-01
4.715e-02	8.274e-02	1.386e-01	1.705e-01	1.185e-01	1.369e-01	1.590e-01	1.282e-01	1.155e-01	8.414e-02	1.111e-01	1.280e-01	8.415e-02	1.247e-01	1.315e-01	1.052e-01	1.590e-01	1.880e-01	8.833e-02	1.027e-01
6.336e-02	8.120e-02	1.991e-02	1.319e-01	1.214e-01	9.946e-02	1.590e-01	1.419e-01	7.918e-02	6.120e-02	9.907e-02	1.031e-01	7.966e-02	1.464e-01	1.568e-01	1.658e-01	1.848e-01	1.145e-01	1.181e-01	1.267e-01
5.788e-02	9.017e-02	4.013e-02	1.189e-01	1.405e-01	1.262e-01	1.590e-01	1.627e-01	1.294e-01	1.991e-02	1.199e-01	9.709e-02	8.623e-02	1.475e-01	1.315e-01	1.361e-01	1.590e-01	1.161e-01	1.205e-01	7.076e-02
4.794e-02	1.221e-01	5.683e-02	1.374e-01	1.403e-01	1.498e-01	1.590e-01	1.361e-01	9.706e-02	1.377e-01	8.171e-02	1.056e-01	8.918e-02	9.646e-02	1.689e-01	1.272e-01	1.590e-01	1.093e-01	9.851e-02	8.140e-02
9.988e-02	1.019e-01	6.454e-02	1.052e-01	1.315e-01	1.499e-01	1.590e-01	1.743e-01	8.651e-02	7.099e-02	1.059e-01	1.299e-01	5.974e-02	1.677e-01	1.437e-01	1.092e-01	1.590e-01	1.421e-01	1.187e-01	1.055e-01
7.478e-02	1.052e-01	5.465e-02	1.497e-01	1.518e-01	1.111e-01	1.590e-01	1.327e-01	1.217e-01	5.507e-02	1.408e-01	1.331e-01	7.805e-02	1.563e-01	1.658e-01	9.587e-02	1.422e-01	1.468e-01	1.407e-01	1.120e-01
