_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
4.529e-02	7.981e-02	3.015e-03	1.060e-01	7.142e-02	2.136e-01	0.000e+00	1.310e-01	5.792e-02	1.345e-02	4.581e-02	6.271e-02	3.015e-03	1.272e-01	6.757e-02	1.220e-01	0.000e+00	1.328e-01	8.848e-02	2.757e-02
2.335e-02	3.038e-02	0.000e+00	1.092e-01	5.779e-02	1.451e-01	0.000e+00	1.423e-01	4.077e-02	1.476e-02	5.984e-02	6.258e-02	0.000e+00	1.144e-01	9.102e-02	9.870e-02	0.000e+00	1.264e-01	6.218e-02	3.598e-02
3.287e-02	5.399e-02	0.000e+00	1.997e-01	7.405e-02	1.509e-01	0.000e+00	1.657e-01	3.092e-02	3.072e-02	4.995e-02	5.463e-02	0.000e+00	1.657e-01	7.933e-02	1.798e-01	0.000e+00	1.371e-01	4.925e-02	3.198e-02
3.149e-02	2.922e-02	0.000e+00	9.685e-02	6.443e-02	1.645e-01	0.000e+00	1.372e-01	6.769e-02	2.852e-02	3.306e-02	5.786e-02	0.000e+00	1.253e-01	8.773e-02	1.495e-01	0.000e+00	9.063e-02	5.892e-02	3.302e-02
3.931e-02	3.499e-02	0.000e+00	1.364e-01	5.020e-02	1.722e-01	0.000e+00	1.130e-01	5.610e-02	3.235e-02	6.356e-02	6.630e-02	0.000e+00	1.498e-01	7.227e-02	1.645e-01	1.515e-02	1.193e-01	6.575e-02	3.075e-02
2.501e-02	4.569e-02	4.242e-03	1.158e-01	8.271e-02	9.354e-02	0.000e+00	9.638e-02	4.978e-02	2.365e-02	7.228e-02	5.615e-02	0.000e+00	1.684e-01	9.986e-02	1.038e-01	1.312e-02	1.435e-01	6.682e-02	4.868e-02
5.455e-02	3.149e-02	0.000e+00	1.250e-01	6.123e-02	1.293e-01	0.000e+00	1.522e-01	2.891e-02	2.994e-02	5.896e-02	6.653e-02	5.938e-03	1.678e-01	8.218e-02	1.160e-01	0.000e+00	1.364e-01	5.835e-02	2.553e-02
2.757e-02	3.361e-02	0.000e+00	1.004e-01	7.319e-02	1.033e-01	0.000e+00	1.025e-01	8.527e-02	5.025e-02	5.366e-02	5.158e-02	0.000e+00	1.469e-01	6.600e-02	1.088e-01	0.000e+00	1.244e-01	5.657e-02	2.891e-02
2.710e-02	2.312e-02	0.000e+00	1.528e-01	7.089e-02	1.364e-01	0.000e+00	1.178e-01	4.542e-02	1.466e-02	4.523e-02	9.051e-02	0.000e+00	1.599e-01	7.301e-02	9.292e-02	0.000e+00	1.561e-01	7.176e-02	3.189e-02
3.992e-02	5.728e-02	3.015e-03	1.972e-01	5.224e-02	1.343e-01	0.000e+00	1.460e-01	6.810e-02	2.164e-02	7.328e-02	6.910e-02	4.242e-03	1.722e-01	8.427e-02	1.468e-01	0.000e+00	1.323e-01	7.468e-02	4.413e-02
2.732e-02	3.892e-02	6.604e-03	1.471e-01	6.061e-02	1.342e-01	0.000e+00	1.338e-01	5.534e-02	1.983e-02	4.451e-02	6.328e-02	4.242e-03	1.195e-01	6.209e-02	1.072e-01	0.000e+00	1.616e-01	6.873e-02	2.719e-02
3.317e-02	5.528e-02	0.000e+00	1.267e-01	9.968e-02	1.771e-01	0.000e+00	1.258e-01	5.034e-02	1.688e-02	4.454e-02	8.961e-02	9.482e-03	2.117e-01	7.048e-02	1.957e-01	0.000e+00	1.154e-01	5.395e-02	4.397e-02
1.734e-02	3.671e-02	0.000e+00	7.262e-02	6.676e-02	1.361e-01	0.000e+00	1.411e-01	6.876e-02	2.492e-02	5.951e-02	5.077e-02	3.015e-03	1.355e-01	5.454e-02	1.170e-01	0.000e+00	1.298e-01	4.390e-02	2.747e-02
