x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.0.10.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.0.25.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.0.50.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.1.00.quality.behavior.quality.arena.coverage.10x10.
0	0	1.900e-01	3.500e-01	3.900e-01	4.100e-01	4.100e-01
0	1	1.000e-01	3.500e-01	3.600e-01	3.700e-01	4.200e-01
0	2	1.000e-02	3.500e-01	3.500e-01	4.000e-01	4.000e-01
0	3	nan	nan	3.300e-01	3.600e-01	3.800e-01
0	4	nan	nan	2.700e-01	4.100e-01	4.100e-01
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	1.000e-02	2.400e-01	3.700e-01	3.700e-01	3.800e-01
1	1	1.500e-01	3.500e-01	3.600e-01	3.900e-01	4.000e-01
1	2	nan	2.200e-01	2.400e-01	3.300e-01	3.900e-01
1	3	nan	nan	2.700e-01	2.700e-01	3.800e-01
1	4	nan	nan	2.500e-01	4.200e-01	4.200e-01
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	2.000e-01	2.800e-01	3.900e-01	3.900e-01
2	1	nan	3.000e-01	3.000e-01	3.000e-01	4.400e-01
2	2	nan	7.000e-02	2.100e-01	2.100e-01	2.900e-01
2	3	nan	nan	2.900e-01	3.100e-01	3.600e-01
2	4	nan	nan	3.600e-01	3.700e-01	3.700e-01
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	2.000e-01	2.300e-01	2.300e-01
3	1	nan	nan	2.200e-01	4.100e-01	4.200e-01
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
