n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.max
1.000e+02	0.000e+00	0.000e+00	0.000e+00	5.161e-02	4.021e-02	6.190e-02	7.292e-02	6.603e-02	8.034e-02	8.276e-02	7.449e-02	9.728e-02	4.479e-02	3.448e-02	6.622e-02	5.882e-03	4.828e-03	5.882e-03	4.005e-02	3.758e-02	4.251e-02	5.785e-02	5.433e-02	6.040e-02	5.974e-02	5.743e-02	6.213e-02	4.670e-02	4.397e-02	4.964e-02	0.000e+00	0.000e+00	0.000e+00	4.877e-02	3.095e-02	6.109e-02	6.897e-02	6.425e-02	8.066e-02	8.532e-02	7.555e-02	9.548e-02	5.452e-02	2.859e-02	7.086e-02	5.882e-03	4.828e-03	5.882e-03	4.005e-02	3.758e-02	4.251e-02	5.785e-02	5.433e-02	6.040e-02	5.974e-02	5.743e-02	6.213e-02	4.670e-02	4.397e-02	4.964e-02
2.000e+02	0.000e+00	0.000e+00	0.000e+00	6.385e-02	4.301e-02	7.264e-02	7.711e-02	6.678e-02	8.729e-02	8.773e-02	7.449e-02	1.021e-01	5.100e-02	4.301e-02	6.216e-02	5.882e-03	4.828e-03	6.757e-03	4.044e-02	3.833e-02	4.273e-02	6.000e-02	5.664e-02	6.168e-02	6.159e-02	5.719e-02	6.374e-02	4.690e-02	4.429e-02	4.960e-02	0.000e+00	0.000e+00	0.000e+00	6.033e-02	5.140e-02	7.200e-02	7.302e-02	6.502e-02	8.532e-02	9.561e-02	8.389e-02	1.040e-01	4.479e-02	2.859e-02	7.100e-02	5.882e-03	4.828e-03	6.757e-03	4.103e-02	3.885e-02	4.286e-02	6.005e-02	5.658e-02	6.197e-02	6.101e-02	5.829e-02	6.293e-02	4.597e-02	4.321e-02	4.787e-02
3.000e+02	0.000e+00	0.000e+00	0.000e+00	6.572e-02	4.739e-02	7.711e-02	7.601e-02	6.883e-02	9.190e-02	8.903e-02	7.794e-02	1.102e-01	5.452e-02	3.855e-02	6.622e-02	5.882e-03	4.828e-03	6.757e-03	4.021e-02	3.855e-02	4.312e-02	5.927e-02	5.639e-02	6.182e-02	6.116e-02	5.906e-02	6.373e-02	4.680e-02	4.402e-02	4.892e-02	0.000e+00	0.000e+00	0.000e+00	6.603e-02	5.787e-02	7.200e-02	7.758e-02	6.754e-02	9.163e-02	1.005e-01	7.963e-02	1.101e-01	5.452e-02	3.251e-02	7.854e-02	5.882e-03	4.828e-03	6.757e-03	4.087e-02	3.913e-02	4.226e-02	5.755e-02	5.524e-02	6.120e-02	6.077e-02	5.815e-02	6.364e-02	4.690e-02	4.451e-02	4.901e-02
4.000e+02	0.000e+00	0.000e+00	0.000e+00	6.897e-02	5.831e-02	7.644e-02	7.758e-02	6.774e-02	9.195e-02	9.888e-02	7.817e-02	1.114e-01	5.100e-02	3.855e-02	7.466e-02	4.828e-03	3.431e-03	6.757e-03	4.123e-02	3.822e-02	4.235e-02	5.920e-02	5.713e-02	6.289e-02	6.052e-02	5.904e-02	6.230e-02	4.619e-02	4.383e-02	5.138e-02	0.000e+00	0.000e+00	0.000e+00	6.774e-02	5.889e-02	7.449e-02	8.791e-02	6.603e-02	9.570e-02	1.004e-01	8.903e-02	1.100e-01	5.100e-02	2.859e-02	7.854e-02	5.882e-03	5.882e-03	6.757e-03	4.120e-02	3.802e-02	4.245e-02	5.809e-02	5.590e-02	6.176e-02	6.041e-02	5.847e-02	6.253e-02	4.690e-02	4.461e-02	5.018e-02
5.000e+02	0.000e+00	0.000e+00	0.000e+00	7.056e-02	5.452e-02	7.854e-02	7.871e-02	6.774e-02	9.354e-02	1.012e-01	7.963e-02	1.117e-01	5.718e-02	4.021e-02	6.686e-02	5.882e-03	3.431e-03	7.515e-03	4.138e-02	3.921e-02	4.346e-02	5.876e-02	5.603e-02	6.321e-02	6.098e-02	5.821e-02	6.293e-02	4.688e-02	4.509e-02	5.103e-02	0.000e+00	0.000e+00	0.000e+00	6.897e-02	6.073e-02	7.695e-02	8.821e-02	6.664e-02	9.672e-02	9.880e-02	8.791e-02	1.159e-01	6.156e-02	3.301e-02	7.364e-02	5.882e-03	4.828e-03	6.757e-03	4.063e-02	3.884e-02	4.286e-02	5.956e-02	5.523e-02	6.150e-02	6.065e-02	5.729e-02	6.309e-02	4.755e-02	4.499e-02	5.031e-02
6.000e+02	0.000e+00	0.000e+00	0.000e+00	7.056e-02	6.231e-02	7.815e-02	7.982e-02	6.724e-02	9.354e-02	1.021e-01	8.447e-02	1.090e-01	5.342e-02	4.339e-02	7.983e-02	4.828e-03	3.431e-03	7.515e-03	4.092e-02	3.913e-02	4.262e-02	5.968e-02	5.611e-02	6.307e-02	6.169e-02	5.697e-02	6.455e-02	4.669e-02	4.499e-02	5.162e-02	0.000e+00	0.000e+00	0.000e+00	7.001e-02	6.774e-02	7.871e-02	9.245e-02	6.905e-02	1.035e-01	1.026e-01	9.149e-02	1.162e-01	6.168e-02	4.223e-02	8.124e-02	6.757e-03	4.828e-03	6.757e-03	4.091e-02	3.855e-02	4.343e-02	5.862e-02	5.689e-02	6.219e-02	5.927e-02	5.519e-02	6.177e-02	4.868e-02	4.628e-02	5.008e-02
7.000e+02	0.000e+00	0.000e+00	0.000e+00	7.290e-02	6.502e-02	7.815e-02	8.593e-02	7.350e-02	9.354e-02	1.051e-01	8.829e-02	1.136e-01	5.776e-02	4.223e-02	8.148e-02	5.882e-03	4.828e-03	6.757e-03	4.065e-02	3.916e-02	4.362e-02	6.030e-02	5.684e-02	6.178e-02	6.201e-02	5.634e-02	6.365e-02	4.675e-02	4.532e-02	4.889e-02	0.000e+00	0.000e+00	0.000e+00	7.302e-02	6.774e-02	7.601e-02	9.512e-02	7.096e-02	1.020e-01	1.099e-01	9.338e-02	1.165e-01	6.396e-02	4.223e-02	7.963e-02	6.757e-03	4.828e-03	7.515e-03	4.058e-02	3.914e-02	4.316e-02	5.869e-02	5.654e-02	6.123e-02	6.049e-02	5.643e-02	6.213e-02	4.857e-02	4.601e-02	4.984e-02
8.000e+02	0.000e+00	0.000e+00	0.000e+00	7.106e-02	6.502e-02	7.854e-02	8.720e-02	7.350e-02	9.880e-02	1.088e-01	9.970e-02	1.131e-01	5.787e-02	4.184e-02	8.333e-02	5.882e-03	4.828e-03	5.882e-03	4.054e-02	3.874e-02	4.251e-02	5.963e-02	5.674e-02	6.314e-02	6.249e-02	5.569e-02	6.347e-02	4.730e-02	4.439e-02	4.979e-02	0.000e+00	0.000e+00	0.000e+00	7.302e-02	6.789e-02	7.601e-02	9.970e-02	8.167e-02	1.038e-01	1.082e-01	9.703e-02	1.170e-01	6.622e-02	4.223e-02	7.963e-02	6.757e-03	4.828e-03	7.515e-03	4.082e-02	3.938e-02	4.383e-02	5.846e-02	5.684e-02	6.132e-02	5.947e-02	5.586e-02	6.157e-02	4.800e-02	4.593e-02	5.005e-02
9.000e+02	0.000e+00	0.000e+00	0.000e+00	7.290e-02	6.502e-02	7.818e-02	9.075e-02	7.471e-02	1.000e-01	1.097e-01	9.778e-02	1.197e-01	5.603e-02	4.301e-02	7.854e-02	5.882e-03	3.431e-03	6.757e-03	4.054e-02	3.915e-02	4.373e-02	5.933e-02	5.571e-02	6.278e-02	6.149e-02	5.755e-02	6.394e-02	4.800e-02	4.433e-02	4.980e-02	0.000e+00	0.000e+00	0.000e+00	7.302e-02	6.774e-02	7.871e-02	9.893e-02	7.815e-02	1.044e-01	1.114e-01	1.034e-01	1.166e-01	6.686e-02	3.301e-02	8.034e-02	6.757e-03	5.882e-03	7.515e-03	4.076e-02	3.904e-02	4.304e-02	5.987e-02	5.733e-02	6.203e-02	5.849e-02	5.639e-02	6.185e-02	4.825e-02	4.456e-02	4.970e-02
1.000e+03	0.000e+00	0.000e+00	0.000e+00	7.302e-02	6.502e-02	7.796e-02	9.506e-02	8.312e-02	1.009e-01	1.102e-01	1.016e-01	1.202e-01	6.727e-02	4.633e-02	8.124e-02	5.882e-03	3.431e-03	6.757e-03	4.036e-02	3.907e-02	4.453e-02	5.898e-02	5.672e-02	6.322e-02	6.181e-02	5.755e-02	6.408e-02	4.723e-02	4.453e-02	5.004e-02	0.000e+00	0.000e+00	0.000e+00	7.405e-02	6.789e-02	7.871e-02	1.012e-01	7.815e-02	1.064e-01	1.131e-01	1.038e-01	1.177e-01	7.315e-02	3.879e-02	8.087e-02	6.757e-03	4.828e-03	7.515e-03	4.152e-02	3.917e-02	4.343e-02	5.990e-02	5.706e-02	6.269e-02	5.981e-02	5.666e-02	6.287e-02	4.837e-02	4.532e-02	4.940e-02
