n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.cross.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.cross.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.cross.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.cross.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.cross.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.cross.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.cross.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.cross.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.cross.epistasis.sd.max
1.000e+02	1.341e-01	1.161e-01	1.590e-01	1.277e-01	1.064e-01	1.451e-01	1.411e-01	1.277e-01	1.600e-01	1.138e-01	8.212e-02	1.362e-01	6.705e-02	6.705e-02	1.179e-01	9.706e-02	9.370e-02	9.988e-02	1.133e-01	1.053e-01	1.190e-01	1.395e-01	1.336e-01	1.452e-01	1.306e-01	1.236e-01	1.341e-01	1.050e-01	9.784e-02	1.077e-01	1.590e-01	1.161e-01	1.590e-01	1.341e-01	1.006e-01	1.518e-01	1.465e-01	1.185e-01	1.600e-01	1.161e-01	1.060e-01	1.422e-01	6.705e-02	6.159e-02	1.161e-01	9.706e-02	9.370e-02	9.988e-02	1.133e-01	1.053e-01	1.190e-01	1.395e-01	1.336e-01	1.452e-01	1.306e-01	1.236e-01	1.341e-01	1.050e-01	9.784e-02	1.077e-01
2.000e+02	1.590e-01	1.161e-01	1.590e-01	1.253e-01	1.086e-01	1.493e-01	1.422e-01	9.408e-02	1.600e-01	1.060e-01	9.087e-02	1.518e-01	7.112e-02	6.159e-02	1.161e-01	9.575e-02	9.008e-02	1.013e-01	1.120e-01	1.057e-01	1.173e-01	1.400e-01	1.353e-01	1.437e-01	1.317e-01	1.270e-01	1.372e-01	1.023e-01	9.601e-02	1.047e-01	1.590e-01	1.161e-01	1.590e-01	1.319e-01	1.161e-01	1.498e-01	1.422e-01	1.110e-01	1.600e-01	1.185e-01	9.775e-02	1.411e-01	7.112e-02	6.159e-02	1.006e-01	9.752e-02	9.017e-02	1.004e-01	1.110e-01	1.077e-01	1.145e-01	1.364e-01	1.299e-01	1.409e-01	1.311e-01	1.248e-01	1.359e-01	1.031e-01	9.647e-02	1.059e-01
3.000e+02	1.590e-01	1.161e-01	1.590e-01	1.253e-01	9.955e-02	1.411e-01	1.414e-01	1.075e-01	1.651e-01	1.179e-01	9.087e-02	1.408e-01	8.996e-02	6.159e-02	1.161e-01	9.532e-02	9.195e-02	9.859e-02	1.135e-01	1.090e-01	1.209e-01	1.375e-01	1.338e-01	1.440e-01	1.354e-01	1.256e-01	1.371e-01	1.012e-01	9.504e-02	1.072e-01	1.590e-01	1.590e-01	1.590e-01	1.219e-01	1.161e-01	1.499e-01	1.408e-01	1.161e-01	1.705e-01	1.185e-01	1.006e-01	1.422e-01	7.112e-02	6.159e-02	1.060e-01	9.580e-02	9.179e-02	9.907e-02	1.125e-01	1.061e-01	1.168e-01	1.351e-01	1.280e-01	1.432e-01	1.309e-01	1.251e-01	1.378e-01	1.074e-01	9.948e-02	1.103e-01
4.000e+02	1.590e-01	1.550e-01	1.590e-01	1.285e-01	1.036e-01	1.411e-01	1.377e-01	1.110e-01	1.600e-01	1.110e-01	9.408e-02	1.341e-01	7.112e-02	6.705e-02	1.064e-01	9.495e-02	9.214e-02	9.784e-02	1.120e-01	1.088e-01	1.167e-01	1.372e-01	1.302e-01	1.417e-01	1.380e-01	1.311e-01	1.421e-01	1.023e-01	9.647e-02	1.065e-01	1.590e-01	1.590e-01	1.590e-01	1.253e-01	1.048e-01	1.411e-01	1.303e-01	1.110e-01	1.518e-01	1.118e-01	9.483e-02	1.422e-01	7.112e-02	6.159e-02	1.060e-01	9.706e-02	9.108e-02	1.013e-01	1.152e-01	1.084e-01	1.185e-01	1.336e-01	1.274e-01	1.432e-01	1.324e-01	1.254e-01	1.364e-01	1.055e-01	9.961e-02	1.084e-01
5.000e+02	1.590e-01	1.590e-01	1.590e-01	1.232e-01	1.060e-01	1.411e-01	1.360e-01	1.161e-01	1.573e-01	1.118e-01	9.408e-02	1.377e-01	8.996e-02	6.968e-02	1.064e-01	9.727e-02	9.327e-02	1.004e-01	1.137e-01	1.077e-01	1.164e-01	1.381e-01	1.329e-01	1.413e-01	1.340e-01	1.288e-01	1.389e-01	1.019e-01	9.667e-02	1.064e-01	1.590e-01	1.590e-01	1.590e-01	1.253e-01	1.036e-01	1.422e-01	1.341e-01	1.097e-01	1.516e-01	1.179e-01	9.743e-02	1.414e-01	7.112e-02	6.159e-02	1.064e-01	9.625e-02	9.148e-02	9.948e-02	1.136e-01	1.072e-01	1.199e-01	1.329e-01	1.305e-01	1.392e-01	1.311e-01	1.248e-01	1.341e-01	1.038e-01	9.647e-02	1.088e-01
6.000e+02	1.590e-01	1.590e-01	1.590e-01	1.219e-01	1.118e-01	1.377e-01	1.341e-01	1.138e-01	1.584e-01	1.036e-01	9.435e-02	1.341e-01	1.006e-01	6.968e-02	1.161e-01	9.588e-02	9.157e-02	1.000e-01	1.114e-01	1.026e-01	1.177e-01	1.371e-01	1.285e-01	1.415e-01	1.353e-01	1.257e-01	1.401e-01	1.008e-01	9.583e-02	1.067e-01	1.590e-01	1.590e-01	1.590e-01	1.304e-01	9.955e-02	1.422e-01	1.303e-01	1.183e-01	1.498e-01	1.183e-01	9.900e-02	1.368e-01	7.112e-02	6.705e-02	1.075e-01	9.726e-02	9.157e-02	1.006e-01	1.170e-01	1.109e-01	1.202e-01	1.348e-01	1.301e-01	1.409e-01	1.327e-01	1.232e-01	1.386e-01	1.042e-01	9.866e-02	1.099e-01
7.000e+02	1.590e-01	1.590e-01	1.590e-01	1.232e-01	1.036e-01	1.411e-01	1.362e-01	1.118e-01	1.516e-01	9.775e-02	8.940e-02	1.219e-01	9.775e-02	6.968e-02	1.179e-01	9.625e-02	9.108e-02	9.789e-02	1.107e-01	1.040e-01	1.162e-01	1.369e-01	1.296e-01	1.435e-01	1.320e-01	1.240e-01	1.409e-01	1.023e-01	9.693e-02	1.051e-01	1.590e-01	1.590e-01	1.590e-01	1.304e-01	1.036e-01	1.466e-01	1.342e-01	1.253e-01	1.558e-01	1.219e-01	9.900e-02	1.377e-01	7.112e-02	6.705e-02	1.179e-01	9.912e-02	9.108e-02	1.025e-01	1.162e-01	1.088e-01	1.209e-01	1.342e-01	1.256e-01	1.404e-01	1.299e-01	1.248e-01	1.394e-01	1.047e-01	9.996e-02	1.109e-01
8.000e+02	1.590e-01	1.590e-01	1.590e-01	1.232e-01	1.036e-01	1.411e-01	1.280e-01	1.127e-01	1.532e-01	1.064e-01	9.108e-02	1.232e-01	1.036e-01	6.968e-02	1.179e-01	9.515e-02	8.836e-02	9.768e-02	1.102e-01	1.074e-01	1.164e-01	1.364e-01	1.298e-01	1.454e-01	1.311e-01	1.262e-01	1.380e-01	1.006e-01	9.659e-02	1.043e-01	1.590e-01	1.590e-01	1.590e-01	1.331e-01	1.048e-01	1.422e-01	1.342e-01	1.240e-01	1.586e-01	1.277e-01	9.946e-02	1.405e-01	7.112e-02	6.705e-02	1.064e-01	9.742e-02	9.274e-02	1.019e-01	1.154e-01	1.098e-01	1.207e-01	1.322e-01	1.254e-01	1.440e-01	1.305e-01	1.246e-01	1.411e-01	1.060e-01	9.988e-02	1.083e-01
9.000e+02	1.590e-01	1.590e-01	1.590e-01	1.219e-01	1.036e-01	1.411e-01	1.342e-01	1.138e-01	1.519e-01	1.018e-01	8.996e-02	1.232e-01	9.955e-02	7.112e-02	1.161e-01	9.583e-02	8.873e-02	9.789e-02	1.120e-01	1.096e-01	1.198e-01	1.370e-01	1.286e-01	1.426e-01	1.320e-01	1.229e-01	1.403e-01	1.003e-01	9.498e-02	1.057e-01	1.590e-01	1.590e-01	1.590e-01	1.360e-01	1.110e-01	1.422e-01	1.342e-01	1.227e-01	1.524e-01	1.303e-01	9.957e-02	1.405e-01	9.087e-02	6.968e-02	1.185e-01	9.752e-02	9.515e-02	9.988e-02	1.160e-01	1.111e-01	1.192e-01	1.349e-01	1.271e-01	1.412e-01	1.311e-01	1.264e-01	1.427e-01	1.043e-01	9.961e-02	1.095e-01
1.000e+03	1.590e-01	1.590e-01	1.590e-01	1.219e-01	1.060e-01	1.411e-01	1.342e-01	1.111e-01	1.519e-01	1.018e-01	8.996e-02	1.232e-01	9.775e-02	8.059e-02	1.161e-01	9.588e-02	9.148e-02	9.838e-02	1.121e-01	1.093e-01	1.152e-01	1.396e-01	1.285e-01	1.479e-01	1.310e-01	1.248e-01	1.396e-01	1.006e-01	9.515e-02	1.042e-01	1.590e-01	1.590e-01	1.590e-01	1.341e-01	1.110e-01	1.417e-01	1.280e-01	1.183e-01	1.524e-01	1.147e-01	9.900e-02	1.368e-01	9.087e-02	7.039e-02	1.110e-01	9.859e-02	9.301e-02	1.004e-01	1.164e-01	1.110e-01	1.222e-01	1.353e-01	1.271e-01	1.445e-01	1.342e-01	1.256e-01	1.426e-01	1.043e-01	9.756e-02	1.073e-01
