n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.max
1.000e+02	3.714e-01	3.674e-01	3.731e-01	2.105e-01	2.076e-01	2.133e-01	1.131e-01	1.088e-01	1.152e-01
2.000e+02	3.757e-01	3.676e-01	3.771e-01	2.095e-01	2.083e-01	2.129e-01	1.129e-01	1.110e-01	1.148e-01
3.000e+02	3.731e-01	3.688e-01	3.757e-01	2.117e-01	2.079e-01	2.140e-01	1.143e-01	1.100e-01	1.179e-01
4.000e+02	3.733e-01	3.707e-01	3.740e-01	2.133e-01	2.102e-01	2.136e-01	1.155e-01	1.117e-01	1.160e-01
5.000e+02	3.743e-01	3.695e-01	3.776e-01	2.119e-01	2.076e-01	2.138e-01	1.145e-01	1.136e-01	1.155e-01
6.000e+02	3.743e-01	3.712e-01	3.793e-01	2.133e-01	2.102e-01	2.169e-01	1.145e-01	1.131e-01	1.157e-01
7.000e+02	3.748e-01	3.721e-01	3.821e-01	2.095e-01	2.083e-01	2.143e-01	1.152e-01	1.148e-01	1.171e-01
8.000e+02	3.736e-01	3.717e-01	3.819e-01	2.105e-01	2.083e-01	2.145e-01	1.160e-01	1.114e-01	1.174e-01
9.000e+02	3.762e-01	3.705e-01	3.812e-01	2.138e-01	2.098e-01	2.157e-01	1.164e-01	1.136e-01	1.181e-01
1.000e+03	3.788e-01	3.669e-01	3.810e-01	2.133e-01	2.102e-01	2.157e-01	1.155e-01	1.148e-01	1.183e-01
1.100e+03	3.798e-01	3.681e-01	3.810e-01	2.112e-01	2.090e-01	2.162e-01	1.179e-01	1.131e-01	1.188e-01
1.200e+03	3.757e-01	3.693e-01	3.814e-01	2.138e-01	2.079e-01	2.155e-01	1.160e-01	1.136e-01	1.181e-01
