n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.max
1.000e+02	5.731e-01	5.715e-01	5.742e-01	3.692e-01	3.638e-01	3.696e-01	2.127e-01	2.100e-01	2.148e-01
2.000e+02	5.732e-01	5.712e-01	5.756e-01	3.671e-01	3.662e-01	3.718e-01	2.146e-01	2.120e-01	2.179e-01
3.000e+02	5.733e-01	5.723e-01	5.756e-01	3.696e-01	3.669e-01	3.717e-01	2.142e-01	2.123e-01	2.173e-01
4.000e+02	5.739e-01	5.720e-01	5.752e-01	3.696e-01	3.671e-01	3.714e-01	2.170e-01	2.121e-01	2.188e-01
5.000e+02	5.748e-01	5.721e-01	5.757e-01	3.698e-01	3.674e-01	3.712e-01	2.149e-01	2.108e-01	2.168e-01
6.000e+02	5.750e-01	5.731e-01	5.752e-01	3.707e-01	3.681e-01	3.725e-01	2.162e-01	2.117e-01	2.173e-01
7.000e+02	5.750e-01	5.738e-01	5.752e-01	3.706e-01	3.667e-01	3.717e-01	2.167e-01	2.104e-01	2.182e-01
8.000e+02	5.750e-01	5.727e-01	5.761e-01	3.706e-01	3.662e-01	3.713e-01	2.161e-01	2.105e-01	2.176e-01
9.000e+02	5.756e-01	5.725e-01	5.760e-01	3.693e-01	3.654e-01	3.735e-01	2.162e-01	2.099e-01	2.196e-01
1.000e+03	5.744e-01	5.721e-01	5.758e-01	3.700e-01	3.670e-01	3.713e-01	2.154e-01	2.098e-01	2.201e-01
1.100e+03	5.750e-01	5.724e-01	5.765e-01	3.696e-01	3.676e-01	3.719e-01	2.152e-01	2.110e-01	2.202e-01
1.200e+03	5.746e-01	5.723e-01	5.768e-01	3.708e-01	3.685e-01	3.719e-01	2.175e-01	2.132e-01	2.194e-01
1.300e+03	5.738e-01	5.729e-01	5.761e-01	3.713e-01	3.683e-01	3.720e-01	2.158e-01	2.142e-01	2.204e-01
1.400e+03	5.744e-01	5.724e-01	5.751e-01	3.725e-01	3.689e-01	3.745e-01	2.155e-01	2.120e-01	2.188e-01
1.500e+03	5.742e-01	5.730e-01	5.767e-01	3.727e-01	3.698e-01	3.762e-01	2.170e-01	2.126e-01	2.198e-01
1.600e+03	5.739e-01	5.729e-01	5.757e-01	3.724e-01	3.712e-01	3.752e-01	2.185e-01	2.135e-01	2.200e-01
1.700e+03	5.738e-01	5.724e-01	5.746e-01	3.731e-01	3.719e-01	3.740e-01	2.176e-01	2.131e-01	2.204e-01
1.800e+03	5.733e-01	5.720e-01	5.751e-01	3.745e-01	3.711e-01	3.762e-01	2.176e-01	2.144e-01	2.204e-01
1.900e+03	5.736e-01	5.718e-01	5.750e-01	3.751e-01	3.711e-01	3.761e-01	2.164e-01	2.143e-01	2.193e-01
2.000e+03	5.729e-01	5.721e-01	5.745e-01	3.726e-01	3.714e-01	3.767e-01	2.168e-01	2.144e-01	2.189e-01
2.100e+03	5.737e-01	5.724e-01	5.755e-01	3.727e-01	3.708e-01	3.774e-01	2.176e-01	2.156e-01	2.208e-01
2.200e+03	5.731e-01	5.713e-01	5.754e-01	3.732e-01	3.706e-01	3.757e-01	2.194e-01	2.156e-01	2.208e-01
2.300e+03	5.743e-01	5.704e-01	5.754e-01	3.731e-01	3.692e-01	3.758e-01	2.190e-01	2.157e-01	2.213e-01
2.400e+03	5.739e-01	5.698e-01	5.768e-01	3.737e-01	3.692e-01	3.754e-01	2.182e-01	2.160e-01	2.226e-01
2.500e+03	5.736e-01	5.696e-01	5.770e-01	3.738e-01	3.695e-01	3.757e-01	2.186e-01	2.154e-01	2.229e-01
2.600e+03	5.738e-01	5.696e-01	5.780e-01	3.737e-01	3.711e-01	3.781e-01	2.188e-01	2.152e-01	2.218e-01
2.700e+03	5.731e-01	5.699e-01	5.785e-01	3.749e-01	3.690e-01	3.761e-01	2.201e-01	2.169e-01	2.217e-01
2.800e+03	5.733e-01	5.701e-01	5.785e-01	3.748e-01	3.680e-01	3.757e-01	2.217e-01	2.163e-01	2.231e-01
2.900e+03	5.736e-01	5.700e-01	5.782e-01	3.760e-01	3.688e-01	3.774e-01	2.230e-01	2.155e-01	2.248e-01
3.000e+03	5.744e-01	5.708e-01	5.781e-01	3.760e-01	3.677e-01	3.771e-01	2.237e-01	2.150e-01	2.252e-01
3.100e+03	5.738e-01	5.708e-01	5.789e-01	3.762e-01	3.671e-01	3.768e-01	2.227e-01	2.163e-01	2.271e-01
