n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.quality.first.agent.velocity.x.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.quality.first.agent.velocity.x.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.quality.first.agent.velocity.x.max	_.locomotion.hilly.5.0.75.ga.single.ds.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.single.ds.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.single.ds.best.quality.first.agent.velocity.x.max
1.000e+02	1.172e-01	7.921e-02	5.824e-01	2.807e-01	8.662e-02	6.587e-01	9.376e-02	3.035e-02	1.188e-01	2.864e-01	1.130e-01	3.927e-01
2.000e+02	4.086e-01	1.145e-01	6.504e-01	3.096e-01	1.426e-01	6.587e-01	1.771e-01	9.666e-02	5.807e-01	3.127e-01	1.130e-01	4.922e-01
3.000e+02	4.086e-01	1.292e-01	7.079e-01	6.347e-01	2.385e-01	8.306e-01	4.155e-01	1.832e-01	6.593e-01	6.483e-01	2.864e-01	9.566e-01
4.000e+02	4.086e-01	2.218e-01	9.405e-01	6.347e-01	2.392e-01	8.306e-01	7.725e-01	3.279e-01	8.022e-01	7.396e-01	6.236e-01	1.019e+00
5.000e+02	7.494e-01	2.617e-01	1.212e+00	6.347e-01	2.544e-01	8.306e-01	7.725e-01	3.279e-01	8.022e-01	1.056e+00	9.118e-01	1.234e+00
6.000e+02	7.494e-01	3.467e-01	1.212e+00	6.587e-01	4.367e-01	9.570e-01	8.022e-01	5.807e-01	9.828e-01	1.196e+00	9.682e-01	1.234e+00
7.000e+02	1.040e+00	4.705e-01	1.219e+00	6.587e-01	4.367e-01	9.570e-01	8.022e-01	5.807e-01	1.022e+00	1.234e+00	9.682e-01	1.254e+00
8.000e+02	1.040e+00	4.705e-01	1.219e+00	6.931e-01	6.130e-01	9.570e-01	8.704e-01	7.725e-01	1.022e+00	1.234e+00	1.049e+00	1.254e+00
9.000e+02	1.040e+00	4.705e-01	1.219e+00	9.398e-01	6.130e-01	1.009e+00	8.704e-01	7.950e-01	1.022e+00	1.251e+00	1.124e+00	1.933e+00
1.000e+03	1.040e+00	6.325e-01	1.219e+00	9.398e-01	6.931e-01	1.020e+00	1.033e+00	8.022e-01	1.076e+00	1.305e+00	1.254e+00	1.933e+00
1.100e+03	1.040e+00	7.403e-01	1.219e+00	9.570e-01	7.260e-01	1.059e+00	1.033e+00	8.022e-01	1.076e+00	1.507e+00	1.274e+00	1.933e+00
1.200e+03	1.123e+00	7.693e-01	1.219e+00	1.036e+00	9.476e-01	1.059e+00	1.033e+00	9.247e-01	1.076e+00	1.900e+00	1.624e+00	1.933e+00
1.300e+03	1.208e+00	8.820e-01	1.219e+00	1.068e+00	9.570e-01	1.078e+00	1.033e+00	9.247e-01	1.076e+00	1.921e+00	1.721e+00	2.180e+00
1.400e+03	1.208e+00	8.820e-01	1.411e+00	1.073e+00	1.033e+00	1.232e+00	1.064e+00	9.856e-01	1.244e+00	1.921e+00	1.828e+00	2.203e+00
1.500e+03	1.343e+00	1.040e+00	1.426e+00	1.073e+00	1.036e+00	1.232e+00	1.064e+00	9.856e-01	1.244e+00	1.933e+00	1.850e+00	2.203e+00
1.600e+03	1.343e+00	1.161e+00	1.426e+00	1.078e+00	1.036e+00	1.316e+00	1.064e+00	9.856e-01	1.244e+00	1.994e+00	1.850e+00	2.229e+00
1.700e+03	1.343e+00	1.161e+00	1.426e+00	1.078e+00	1.068e+00	1.316e+00	1.064e+00	9.856e-01	1.244e+00	1.994e+00	1.929e+00	2.229e+00
1.800e+03	1.343e+00	1.161e+00	1.426e+00	1.078e+00	1.068e+00	1.316e+00	1.075e+00	1.033e+00	1.244e+00	1.994e+00	1.929e+00	2.229e+00
1.900e+03	1.343e+00	1.161e+00	1.426e+00	1.163e+00	1.068e+00	1.316e+00	1.075e+00	1.033e+00	1.244e+00	2.075e+00	1.933e+00	2.229e+00
2.000e+03	1.343e+00	1.161e+00	1.426e+00	1.163e+00	1.068e+00	1.316e+00	1.088e+00	1.040e+00	1.244e+00	2.075e+00	1.951e+00	2.236e+00
2.100e+03	1.411e+00	1.161e+00	1.741e+00	1.163e+00	1.068e+00	1.316e+00	1.105e+00	1.064e+00	1.244e+00	2.075e+00	1.951e+00	2.236e+00
2.200e+03	1.411e+00	1.161e+00	1.741e+00	1.163e+00	1.068e+00	1.316e+00	1.105e+00	1.075e+00	1.244e+00	2.086e+00	1.951e+00	2.295e+00
2.300e+03	1.640e+00	1.411e+00	1.833e+00	1.310e+00	1.068e+00	1.452e+00	1.105e+00	1.075e+00	1.244e+00	2.087e+00	1.975e+00	2.295e+00
2.400e+03	1.640e+00	1.411e+00	1.833e+00	1.310e+00	1.070e+00	1.452e+00	1.105e+00	1.075e+00	1.244e+00	2.165e+00	2.000e+00	2.295e+00
2.500e+03	1.640e+00	1.411e+00	2.007e+00	1.310e+00	1.070e+00	1.452e+00	1.186e+00	1.076e+00	1.276e+00	2.165e+00	2.083e+00	2.295e+00
2.600e+03	1.640e+00	1.411e+00	2.007e+00	1.310e+00	1.112e+00	1.452e+00	1.186e+00	1.076e+00	1.276e+00	2.165e+00	2.083e+00	2.295e+00
2.700e+03	1.640e+00	1.411e+00	2.053e+00	1.316e+00	1.112e+00	1.807e+00	1.186e+00	1.105e+00	1.276e+00	2.165e+00	2.091e+00	2.301e+00
2.800e+03	1.640e+00	1.411e+00	2.059e+00	1.316e+00	1.112e+00	1.807e+00	1.186e+00	1.105e+00	1.276e+00	2.295e+00	2.094e+00	2.418e+00
2.900e+03	1.640e+00	1.411e+00	2.059e+00	1.316e+00	1.112e+00	1.807e+00	1.244e+00	1.105e+00	1.316e+00	2.295e+00	2.094e+00	2.418e+00
3.000e+03	1.897e+00	1.444e+00	2.116e+00	1.362e+00	1.138e+00	1.807e+00	1.244e+00	1.105e+00	1.316e+00	2.295e+00	2.094e+00	2.463e+00
3.100e+03	1.897e+00	1.444e+00	2.116e+00	1.362e+00	1.138e+00	1.807e+00	1.244e+00	1.105e+00	1.316e+00	2.415e+00	2.101e+00	2.463e+00
3.200e+03	1.897e+00	1.464e+00	2.116e+00	1.362e+00	1.138e+00	1.807e+00	1.244e+00	1.112e+00	1.316e+00	2.415e+00	2.101e+00	2.468e+00
3.300e+03	1.897e+00	1.464e+00	2.116e+00	1.452e+00	1.138e+00	1.897e+00	1.244e+00	1.167e+00	1.316e+00	2.415e+00	2.101e+00	2.468e+00
