_.locomotion.hilly.5.0.75.ga.epistasis.1.0	_.locomotion.hilly.5.0.75.ga.epistasis.2.0	_.locomotion.hilly.5.0.75.ga.single.ds	_.locomotion.hilly.5.0.75.ga.epistasis.0.5
2.301e+00	2.322e+00	2.696e+00	2.525e+00
2.160e+00	2.070e+00	2.796e+00	2.463e+00
2.125e+00	2.521e+00	2.887e+00	2.111e+00
2.315e+00	2.488e+00	2.626e+00	2.445e+00
2.326e+00	2.585e+00	2.195e+00	2.409e+00
2.077e+00	2.129e+00	2.836e+00	2.618e+00
2.337e+00	2.173e+00	2.238e+00	2.192e+00
2.115e+00	2.147e+00	3.175e+00	2.438e+00
2.155e+00	2.097e+00	2.730e+00	1.980e+00
2.549e+00	1.919e+00	2.212e+00	2.519e+00
