run.problem.name;run.solver.name;run.randomGenerator.seed;run.problem.simulation.arena;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→quality→behavior.quality→first.agent.velocity.x;best→genotype→size;best→genotype→first→size;best→genotype→second→size;best→body.epistasis;best→brain.epistasis;best→global.epistasis;best→cross.epistasis;all→each[body.epistasis]→avg;all→each[brain.epistasis]→avg;all→each[global.epistasis]→avg;all→each[cross.epistasis]→avg;all→each[body.epistasis]→sd;all→each[brain.epistasis]→sd;all→each[global.epistasis]→sd;all→each[cross.epistasis]→sd
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;1;100;100;4.27100e+00;100;1;1;1.00000e+00;1.00000e+00;8.70000e-01;NA;NA;42;84;3.33333e-01;3.57143e-01;5.59524e-01;4.28571e-01;3.74286e-01;3.71429e-01;5.73095e-01;4.00476e-01;4.59320e-02;4.25918e-02;2.31467e-02;4.98729e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;1;100;100;5.18400e+00;100;1;1;1.00000e+00;1.00000e+00;8.80000e-01;NA;NA;42;84;3.80952e-01;4.28571e-01;6.19048e-01;4.28571e-01;3.73095e-01;3.70238e-01;5.71190e-01;3.99048e-01;4.88014e-02;4.70652e-02;1.89716e-02;5.33588e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;2;200;200;7.30100e+00;100;1;15;1.00000e+00;1.00000e+00;8.60000e-01;NA;NA;42;84;3.33333e-01;3.57143e-01;5.59524e-01;4.28571e-01;3.68095e-01;3.69286e-01;5.70238e-01;4.03095e-01;4.57267e-02;4.68382e-02;2.19190e-02;5.34793e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;2;200;200;8.93900e+00;100;1;6;1.00000e+00;1.00000e+00;9.40000e-01;NA;NA;42;84;3.80952e-01;4.28571e-01;6.19048e-01;4.28571e-01;3.77143e-01;3.71429e-01;5.72262e-01;3.95952e-01;4.71068e-02;3.99830e-02;1.76781e-02;4.95621e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;3;300;300;1.08080e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.28571e-01;5.95238e-01;4.04762e-01;3.70952e-01;3.70000e-01;5.73095e-01;4.05238e-01;4.32757e-02;4.67080e-02;2.37511e-02;4.82083e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;3;300;300;1.23900e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;4.28571e-01;6.19048e-01;4.28571e-01;3.75714e-01;3.80000e-01;5.72262e-01;3.88810e-01;4.47442e-02;3.95439e-02;1.73544e-02;5.09607e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;4;400;400;1.44180e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.28571e-01;5.95238e-01;4.04762e-01;3.74048e-01;3.70000e-01;5.75000e-01;4.05952e-01;4.40695e-02;4.60971e-02;2.37201e-02;4.59684e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;4;400;400;1.60980e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.57143e-01;5.83333e-01;4.04762e-01;3.73333e-01;3.79524e-01;5.73929e-01;3.95000e-01;4.23087e-02;3.93859e-02;1.77613e-02;5.16282e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;5;500;500;1.74780e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.80952e-01;5.71429e-01;3.57143e-01;3.81190e-01;3.69524e-01;5.76071e-01;4.01429e-01;4.08935e-02;4.57341e-02;2.21374e-02;4.61708e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;5;500;500;1.94400e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.57143e-01;5.83333e-01;4.04762e-01;3.73095e-01;3.80952e-01;5.75476e-01;3.96905e-01;4.13841e-02;3.83917e-02;1.90640e-02;5.36698e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;6;600;600;2.13020e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.80952e-01;5.71429e-01;3.57143e-01;3.85952e-01;3.66190e-01;5.74881e-01;3.97619e-01;3.85824e-02;4.24291e-02;2.17760e-02;4.67177e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;6;600;600;2.28690e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.57143e-01;5.83333e-01;4.04762e-01;3.71190e-01;3.81667e-01;5.75238e-01;3.97619e-01;4.15263e-02;4.44741e-02;1.92607e-02;5.22184e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;7;700;700;2.44730e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.80952e-01;5.71429e-01;3.57143e-01;3.82857e-01;3.60952e-01;5.75000e-01;4.06190e-01;3.92214e-02;4.42524e-02;2.18542e-02;5.17078e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;7;700;700;2.63450e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.57143e-01;5.83333e-01;4.04762e-01;3.69762e-01;3.81905e-01;5.75357e-01;3.99048e-01;4.15754e-02;4.50397e-02;1.97816e-02;5.23939e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;8;800;800;2.80870e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.84762e-01;3.56667e-01;5.73571e-01;4.05714e-01;3.86448e-02;4.21879e-02;2.04388e-02;5.09457e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;8;800;800;2.96780e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.57143e-01;5.83333e-01;4.04762e-01;3.71667e-01;3.78333e-01;5.76429e-01;4.02857e-01;3.98260e-02;4.56616e-02;1.86855e-02;5.34183e-02
