n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.max
1.000e+02	4.531e-02	4.230e-02	4.714e-02	5.107e-02	4.787e-02	5.380e-02	4.458e-02	4.182e-02	4.613e-02
2.000e+02	4.573e-02	4.111e-02	4.633e-02	4.942e-02	4.765e-02	5.121e-02	4.568e-02	4.241e-02	4.669e-02
3.000e+02	4.474e-02	4.328e-02	4.623e-02	4.828e-02	4.625e-02	4.980e-02	4.454e-02	4.239e-02	4.924e-02
4.000e+02	4.634e-02	4.279e-02	4.717e-02	4.844e-02	4.592e-02	4.999e-02	4.657e-02	4.498e-02	4.982e-02
5.000e+02	4.606e-02	4.349e-02	4.631e-02	4.904e-02	4.708e-02	4.967e-02	4.712e-02	4.414e-02	4.903e-02
6.000e+02	4.571e-02	4.153e-02	4.613e-02	4.808e-02	4.649e-02	4.985e-02	4.580e-02	4.070e-02	4.686e-02
7.000e+02	4.382e-02	4.158e-02	4.861e-02	4.819e-02	4.623e-02	4.906e-02	4.526e-02	4.053e-02	4.666e-02
8.000e+02	4.659e-02	4.143e-02	4.959e-02	4.763e-02	4.544e-02	4.850e-02	4.458e-02	4.017e-02	4.649e-02
9.000e+02	4.706e-02	4.303e-02	5.019e-02	4.919e-02	4.576e-02	4.979e-02	4.342e-02	3.985e-02	4.535e-02
1.000e+03	4.810e-02	4.429e-02	4.906e-02	4.960e-02	4.591e-02	5.016e-02	4.282e-02	4.074e-02	4.369e-02
1.100e+03	4.832e-02	4.416e-02	4.896e-02	4.972e-02	4.501e-02	5.036e-02	4.212e-02	4.007e-02	4.435e-02
1.200e+03	4.810e-02	4.385e-02	4.816e-02	4.970e-02	4.553e-02	5.089e-02	4.150e-02	3.954e-02	4.334e-02
1.300e+03	4.736e-02	4.337e-02	4.798e-02	5.007e-02	4.688e-02	5.095e-02	4.156e-02	4.082e-02	4.332e-02
1.400e+03	4.712e-02	4.266e-02	4.775e-02	5.032e-02	4.637e-02	5.078e-02	4.192e-02	4.103e-02	4.323e-02
1.500e+03	4.518e-02	4.223e-02	4.626e-02	4.961e-02	4.732e-02	4.999e-02	4.184e-02	4.004e-02	4.326e-02
1.600e+03	4.571e-02	4.180e-02	4.630e-02	4.844e-02	4.538e-02	4.930e-02	4.204e-02	3.971e-02	4.448e-02
1.700e+03	4.456e-02	4.185e-02	4.516e-02	4.884e-02	4.549e-02	5.075e-02	4.356e-02	3.869e-02	4.651e-02
1.800e+03	4.430e-02	4.198e-02	4.642e-02	4.831e-02	4.653e-02	5.140e-02	4.533e-02	4.021e-02	4.694e-02
1.900e+03	4.332e-02	4.147e-02	4.742e-02	4.799e-02	4.547e-02	5.184e-02	4.458e-02	4.031e-02	4.603e-02
2.000e+03	4.266e-02	4.182e-02	4.796e-02	4.781e-02	4.416e-02	5.339e-02	4.376e-02	4.035e-02	4.660e-02
2.100e+03	4.304e-02	4.136e-02	4.883e-02	4.693e-02	4.317e-02	5.242e-02	4.368e-02	4.141e-02	4.676e-02
2.200e+03	4.332e-02	4.108e-02	4.901e-02	4.743e-02	4.302e-02	5.243e-02	4.378e-02	4.144e-02	4.706e-02
2.300e+03	4.311e-02	4.136e-02	4.801e-02	4.838e-02	4.211e-02	5.216e-02	4.334e-02	4.185e-02	4.748e-02
2.400e+03	4.252e-02	4.138e-02	4.692e-02	4.760e-02	4.145e-02	5.285e-02	4.339e-02	4.004e-02	4.506e-02
2.500e+03	4.242e-02	4.038e-02	4.448e-02	4.679e-02	4.195e-02	5.230e-02	4.192e-02	3.940e-02	4.462e-02
2.600e+03	4.251e-02	3.988e-02	4.461e-02	4.657e-02	4.224e-02	5.242e-02	4.224e-02	3.714e-02	4.584e-02
2.700e+03	4.214e-02	4.004e-02	4.329e-02	4.746e-02	4.112e-02	5.233e-02	4.240e-02	3.760e-02	4.560e-02
2.800e+03	4.251e-02	3.817e-02	4.427e-02	4.732e-02	4.188e-02	5.259e-02	4.228e-02	3.825e-02	4.549e-02
2.900e+03	4.259e-02	3.745e-02	4.435e-02	4.884e-02	4.228e-02	5.287e-02	4.231e-02	3.845e-02	4.395e-02
3.000e+03	4.257e-02	3.622e-02	4.625e-02	4.980e-02	4.072e-02	5.232e-02	4.250e-02	3.866e-02	4.433e-02
3.100e+03	4.143e-02	3.714e-02	4.657e-02	4.858e-02	3.983e-02	5.139e-02	4.196e-02	4.002e-02	4.466e-02
3.200e+03	4.188e-02	3.775e-02	4.666e-02	4.831e-02	3.896e-02	5.114e-02	4.372e-02	4.089e-02	4.491e-02
3.300e+03	4.220e-02	3.882e-02	4.674e-02	4.845e-02	3.900e-02	5.204e-02	4.237e-02	4.027e-02	4.496e-02
3.400e+03	4.220e-02	3.801e-02	4.696e-02	4.901e-02	3.660e-02	5.076e-02	4.263e-02	3.960e-02	4.536e-02
3.500e+03	4.188e-02	3.694e-02	4.649e-02	4.922e-02	3.435e-02	4.961e-02	4.190e-02	3.953e-02	4.646e-02
3.600e+03	4.137e-02	3.592e-02	4.640e-02	4.868e-02	3.538e-02	5.067e-02	4.209e-02	3.888e-02	4.448e-02
