n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.max
1.000e+02	4.901e-02	4.372e-02	5.158e-02	5.023e-02	4.800e-02	5.055e-02	4.622e-02	4.516e-02	4.715e-02
2.000e+02	4.717e-02	4.593e-02	4.852e-02	5.226e-02	4.999e-02	5.493e-02	4.706e-02	4.640e-02	4.825e-02
3.000e+02	4.751e-02	4.555e-02	4.836e-02	5.224e-02	4.869e-02	5.291e-02	4.719e-02	4.571e-02	4.822e-02
4.000e+02	4.782e-02	4.547e-02	4.995e-02	5.200e-02	4.794e-02	5.324e-02	4.653e-02	4.621e-02	4.921e-02
5.000e+02	4.658e-02	4.518e-02	4.829e-02	5.011e-02	4.906e-02	5.163e-02	4.820e-02	4.670e-02	4.936e-02
6.000e+02	4.576e-02	4.439e-02	4.905e-02	5.003e-02	4.743e-02	5.122e-02	4.754e-02	4.576e-02	4.817e-02
7.000e+02	4.628e-02	4.425e-02	4.980e-02	4.862e-02	4.463e-02	5.044e-02	4.841e-02	4.679e-02	4.989e-02
8.000e+02	4.688e-02	4.415e-02	4.874e-02	4.821e-02	4.384e-02	5.186e-02	4.691e-02	4.461e-02	4.983e-02
9.000e+02	4.768e-02	4.431e-02	5.112e-02	4.777e-02	4.297e-02	5.097e-02	4.703e-02	4.300e-02	4.885e-02
1.000e+03	4.605e-02	4.314e-02	4.869e-02	4.855e-02	4.433e-02	5.182e-02	4.638e-02	4.206e-02	5.077e-02
1.100e+03	4.461e-02	4.301e-02	4.863e-02	4.907e-02	4.563e-02	5.094e-02	4.634e-02	4.214e-02	5.154e-02
1.200e+03	4.609e-02	4.366e-02	4.937e-02	4.802e-02	4.561e-02	5.036e-02	4.643e-02	4.128e-02	5.148e-02
1.300e+03	4.668e-02	4.484e-02	4.919e-02	4.815e-02	4.610e-02	5.173e-02	4.624e-02	4.049e-02	5.107e-02
1.400e+03	4.707e-02	4.411e-02	5.049e-02	4.779e-02	4.536e-02	5.134e-02	4.618e-02	4.069e-02	5.193e-02
1.500e+03	4.767e-02	4.317e-02	5.090e-02	5.021e-02	4.434e-02	5.063e-02	4.722e-02	4.129e-02	5.199e-02
1.600e+03	4.540e-02	4.170e-02	4.961e-02	4.977e-02	4.370e-02	5.350e-02	4.666e-02	4.259e-02	5.252e-02
1.700e+03	4.586e-02	4.246e-02	4.660e-02	4.959e-02	4.325e-02	5.440e-02	4.648e-02	4.204e-02	5.262e-02
1.800e+03	4.647e-02	4.287e-02	4.831e-02	5.035e-02	4.432e-02	5.328e-02	4.761e-02	4.223e-02	5.365e-02
1.900e+03	4.648e-02	4.161e-02	5.026e-02	5.081e-02	4.389e-02	5.513e-02	4.754e-02	4.249e-02	5.204e-02
2.000e+03	4.629e-02	4.318e-02	5.028e-02	5.099e-02	4.484e-02	5.348e-02	4.694e-02	4.191e-02	5.173e-02
2.100e+03	4.589e-02	4.299e-02	4.990e-02	5.195e-02	4.451e-02	5.371e-02	4.654e-02	3.965e-02	5.124e-02
2.200e+03	4.634e-02	4.190e-02	4.826e-02	5.294e-02	4.443e-02	5.378e-02	4.781e-02	3.896e-02	5.094e-02
2.300e+03	4.651e-02	4.246e-02	4.926e-02	5.222e-02	4.459e-02	5.444e-02	4.772e-02	4.045e-02	5.118e-02
2.400e+03	4.635e-02	4.232e-02	4.797e-02	5.297e-02	4.547e-02	5.430e-02	4.748e-02	4.120e-02	5.021e-02
2.500e+03	4.688e-02	4.124e-02	4.885e-02	5.098e-02	4.717e-02	5.525e-02	4.899e-02	4.147e-02	4.972e-02
2.600e+03	4.504e-02	4.155e-02	4.762e-02	5.008e-02	4.694e-02	5.616e-02	4.907e-02	4.206e-02	5.021e-02
2.700e+03	4.541e-02	3.931e-02	4.677e-02	5.297e-02	4.682e-02	5.451e-02	4.932e-02	4.297e-02	5.140e-02
2.800e+03	4.371e-02	3.723e-02	4.501e-02	5.160e-02	4.373e-02	5.542e-02	5.004e-02	4.266e-02	5.057e-02
2.900e+03	4.329e-02	3.710e-02	4.473e-02	5.143e-02	4.363e-02	5.528e-02	4.938e-02	4.279e-02	5.047e-02
3.000e+03	4.286e-02	3.601e-02	4.410e-02	5.181e-02	4.249e-02	5.628e-02	4.895e-02	4.247e-02	5.180e-02
3.100e+03	4.219e-02	3.541e-02	4.276e-02	5.278e-02	3.861e-02	5.598e-02	4.934e-02	4.440e-02	5.155e-02
3.200e+03	4.111e-02	3.496e-02	4.404e-02	5.329e-02	3.738e-02	5.657e-02	4.857e-02	4.329e-02	5.222e-02
3.300e+03	4.034e-02	3.624e-02	4.343e-02	5.319e-02	3.672e-02	5.511e-02	4.800e-02	4.236e-02	5.288e-02
3.400e+03	3.985e-02	3.619e-02	4.354e-02	5.377e-02	3.504e-02	5.603e-02	4.768e-02	4.190e-02	5.180e-02
3.500e+03	3.854e-02	3.595e-02	4.252e-02	5.417e-02	3.392e-02	5.607e-02	4.743e-02	4.183e-02	5.020e-02
3.600e+03	3.954e-02	3.577e-02	4.279e-02	5.418e-02	3.271e-02	5.594e-02	4.754e-02	4.111e-02	4.968e-02
3.700e+03	4.004e-02	3.407e-02	4.223e-02	5.363e-02	3.252e-02	5.525e-02	4.736e-02	4.082e-02	4.813e-02
3.800e+03	4.015e-02	3.388e-02	4.056e-02	5.249e-02	3.132e-02	5.618e-02	4.761e-02	4.056e-02	4.856e-02
3.900e+03	3.968e-02	3.402e-02	4.030e-02	5.143e-02	2.807e-02	5.544e-02	4.629e-02	4.027e-02	4.908e-02
4.000e+03	3.901e-02	3.500e-02	3.993e-02	5.021e-02	2.779e-02	5.584e-02	4.628e-02	4.009e-02	4.930e-02
4.100e+03	3.864e-02	3.412e-02	4.025e-02	5.038e-02	2.795e-02	5.584e-02	4.628e-02	4.079e-02	4.891e-02
4.200e+03	3.859e-02	3.286e-02	4.133e-02	4.966e-02	2.880e-02	5.624e-02	4.561e-02	4.061e-02	4.843e-02
4.300e+03	3.923e-02	3.286e-02	4.060e-02	4.850e-02	2.982e-02	5.598e-02	4.598e-02	4.192e-02	4.717e-02
