n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.max
1.000e+02	5.344e-02	5.196e-02	5.426e-02	6.160e-02	5.733e-02	6.414e-02	5.511e-02	5.263e-02	5.781e-02
2.000e+02	5.349e-02	5.117e-02	5.568e-02	6.069e-02	5.954e-02	6.160e-02	5.645e-02	5.156e-02	5.852e-02
3.000e+02	5.466e-02	5.096e-02	5.802e-02	6.188e-02	5.900e-02	6.278e-02	5.470e-02	5.155e-02	5.968e-02
4.000e+02	5.361e-02	5.161e-02	5.772e-02	5.947e-02	5.669e-02	6.411e-02	5.484e-02	5.251e-02	5.675e-02
5.000e+02	5.425e-02	5.340e-02	5.444e-02	6.028e-02	5.839e-02	6.070e-02	5.406e-02	4.999e-02	5.632e-02
6.000e+02	5.403e-02	5.222e-02	5.562e-02	6.209e-02	5.765e-02	6.309e-02	5.511e-02	5.339e-02	5.780e-02
7.000e+02	5.373e-02	5.044e-02	5.601e-02	5.933e-02	5.767e-02	6.144e-02	5.469e-02	5.310e-02	5.562e-02
8.000e+02	5.464e-02	5.095e-02	5.515e-02	5.989e-02	5.617e-02	6.123e-02	5.548e-02	5.180e-02	5.584e-02
9.000e+02	5.411e-02	5.260e-02	5.914e-02	6.046e-02	5.655e-02	6.245e-02	5.542e-02	5.134e-02	5.649e-02
1.000e+03	5.378e-02	5.123e-02	5.772e-02	6.138e-02	5.723e-02	6.306e-02	5.287e-02	4.957e-02	5.406e-02
1.100e+03	5.315e-02	5.274e-02	5.794e-02	6.205e-02	5.521e-02	6.255e-02	5.430e-02	4.884e-02	5.675e-02
1.200e+03	5.346e-02	5.256e-02	5.675e-02	6.058e-02	5.750e-02	6.258e-02	5.668e-02	4.847e-02	6.045e-02
1.300e+03	5.414e-02	5.218e-02	5.990e-02	5.980e-02	5.720e-02	6.285e-02	5.609e-02	4.703e-02	6.060e-02
1.400e+03	5.528e-02	5.211e-02	5.752e-02	6.182e-02	5.611e-02	6.459e-02	5.593e-02	4.743e-02	6.012e-02
1.500e+03	5.516e-02	5.286e-02	5.933e-02	6.049e-02	5.509e-02	6.407e-02	5.592e-02	4.776e-02	6.023e-02
1.600e+03	5.648e-02	5.248e-02	5.858e-02	6.108e-02	5.660e-02	6.207e-02	5.725e-02	4.930e-02	6.008e-02
1.700e+03	5.503e-02	5.132e-02	5.933e-02	6.121e-02	5.810e-02	6.513e-02	5.709e-02	4.993e-02	6.002e-02
1.800e+03	5.609e-02	4.839e-02	6.032e-02	6.183e-02	5.952e-02	6.518e-02	5.746e-02	4.796e-02	6.096e-02
1.900e+03	5.816e-02	4.817e-02	6.153e-02	6.229e-02	5.901e-02	6.507e-02	5.730e-02	4.849e-02	6.236e-02
2.000e+03	5.673e-02	4.658e-02	5.878e-02	6.330e-02	6.074e-02	6.456e-02	5.514e-02	4.849e-02	6.167e-02
2.100e+03	5.572e-02	4.558e-02	5.774e-02	6.370e-02	6.130e-02	6.581e-02	5.476e-02	4.860e-02	6.209e-02
2.200e+03	5.579e-02	4.561e-02	5.797e-02	6.324e-02	6.093e-02	6.837e-02	5.587e-02	4.872e-02	6.250e-02
2.300e+03	5.559e-02	4.731e-02	5.724e-02	6.286e-02	6.131e-02	6.870e-02	5.710e-02	4.885e-02	6.259e-02
2.400e+03	5.463e-02	4.657e-02	5.865e-02	6.272e-02	5.977e-02	6.805e-02	5.641e-02	4.743e-02	6.045e-02
2.500e+03	5.370e-02	4.472e-02	5.978e-02	6.537e-02	6.045e-02	6.746e-02	5.516e-02	4.777e-02	5.951e-02
2.600e+03	5.328e-02	4.235e-02	5.961e-02	6.541e-02	6.002e-02	6.787e-02	5.775e-02	4.658e-02	5.891e-02
2.700e+03	5.239e-02	4.184e-02	5.794e-02	6.420e-02	6.064e-02	6.748e-02	5.925e-02	4.732e-02	5.971e-02
2.800e+03	5.207e-02	4.157e-02	5.797e-02	6.370e-02	5.928e-02	6.796e-02	5.918e-02	4.582e-02	5.970e-02
2.900e+03	5.197e-02	3.991e-02	5.642e-02	6.506e-02	5.880e-02	6.908e-02	5.894e-02	4.672e-02	6.037e-02
3.000e+03	5.120e-02	4.349e-02	5.742e-02	6.547e-02	5.768e-02	6.938e-02	5.827e-02	4.475e-02	6.178e-02
3.100e+03	5.118e-02	4.294e-02	5.557e-02	6.463e-02	5.599e-02	6.804e-02	5.827e-02	4.483e-02	6.067e-02
3.200e+03	5.045e-02	4.152e-02	5.525e-02	6.411e-02	5.507e-02	6.713e-02	5.759e-02	4.460e-02	5.910e-02
3.300e+03	4.952e-02	3.905e-02	5.561e-02	6.345e-02	5.469e-02	6.803e-02	5.665e-02	4.471e-02	5.997e-02
