n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.max
1.000e+02	2.139e-02	1.941e-02	2.315e-02	3.182e-02	3.148e-02	3.357e-02	3.610e-02	3.523e-02	3.879e-02
2.000e+02	2.145e-02	2.033e-02	2.185e-02	3.295e-02	3.062e-02	3.330e-02	3.632e-02	3.521e-02	3.702e-02
3.000e+02	2.078e-02	1.951e-02	2.266e-02	3.231e-02	3.108e-02	3.364e-02	3.690e-02	3.519e-02	3.787e-02
4.000e+02	2.023e-02	1.892e-02	2.198e-02	3.227e-02	3.155e-02	3.398e-02	3.706e-02	3.551e-02	3.768e-02
5.000e+02	2.066e-02	1.934e-02	2.214e-02	3.358e-02	3.242e-02	3.447e-02	3.667e-02	3.538e-02	3.729e-02
6.000e+02	2.069e-02	1.889e-02	2.178e-02	3.277e-02	3.139e-02	3.368e-02	3.644e-02	3.529e-02	3.711e-02
7.000e+02	2.006e-02	1.869e-02	2.185e-02	3.298e-02	3.162e-02	3.400e-02	3.666e-02	3.501e-02	3.734e-02
8.000e+02	2.031e-02	1.869e-02	2.079e-02	3.239e-02	3.042e-02	3.288e-02	3.536e-02	3.327e-02	3.597e-02
9.000e+02	1.950e-02	1.903e-02	2.165e-02	3.285e-02	2.952e-02	3.367e-02	3.476e-02	3.312e-02	3.667e-02
1.000e+03	1.904e-02	1.768e-02	2.051e-02	3.249e-02	2.922e-02	3.437e-02	3.613e-02	3.477e-02	3.637e-02
1.100e+03	1.934e-02	1.779e-02	2.106e-02	3.223e-02	3.111e-02	3.461e-02	3.637e-02	3.537e-02	3.683e-02
1.200e+03	1.919e-02	1.723e-02	2.109e-02	3.164e-02	3.127e-02	3.453e-02	3.507e-02	3.484e-02	3.686e-02
1.300e+03	1.912e-02	1.733e-02	2.105e-02	3.210e-02	3.045e-02	3.351e-02	3.616e-02	3.428e-02	3.728e-02
1.400e+03	1.996e-02	1.660e-02	2.065e-02	3.222e-02	2.994e-02	3.464e-02	3.716e-02	3.453e-02	3.838e-02
1.500e+03	1.945e-02	1.736e-02	2.025e-02	3.266e-02	2.998e-02	3.426e-02	3.774e-02	3.422e-02	3.877e-02
1.600e+03	1.931e-02	1.781e-02	2.022e-02	3.203e-02	3.026e-02	3.577e-02	3.644e-02	3.407e-02	3.816e-02
1.700e+03	1.990e-02	1.803e-02	2.172e-02	3.317e-02	2.970e-02	3.513e-02	3.584e-02	3.325e-02	3.800e-02
1.800e+03	1.980e-02	1.772e-02	2.147e-02	3.300e-02	2.911e-02	3.454e-02	3.627e-02	3.441e-02	3.914e-02
1.900e+03	1.944e-02	1.770e-02	2.078e-02	3.434e-02	2.950e-02	3.588e-02	3.560e-02	3.414e-02	3.829e-02
2.000e+03	1.961e-02	1.675e-02	2.067e-02	3.303e-02	3.049e-02	3.540e-02	3.644e-02	3.451e-02	3.777e-02
