n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.avg.max
1.000e+02	2.500e-01	2.500e-01	3.750e-01	2.000e-01	1.667e-01	2.500e-01	1.667e-01	1.250e-01	1.786e-01	1.000e-01	1.000e-01	1.250e-01	8.333e-02	8.333e-02	1.250e-01	2.225e-01	2.125e-01	2.325e-01	8.750e-02	8.000e-02	9.250e-02	4.750e-02	4.000e-02	5.250e-02	2.250e-02	2.000e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02	2.500e-01	2.500e-01	3.750e-01	2.000e-01	1.667e-01	2.500e-01	1.667e-01	1.250e-01	1.786e-01	1.000e-01	1.000e-01	1.250e-01	8.333e-02	8.333e-02	1.250e-01	2.225e-01	2.125e-01	2.325e-01	8.750e-02	8.000e-02	9.250e-02	4.750e-02	4.000e-02	5.250e-02	2.250e-02	2.000e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
2.000e+02	3.750e-01	2.500e-01	3.750e-01	2.143e-01	2.000e-01	2.500e-01	1.875e-01	1.667e-01	2.188e-01	1.250e-01	1.071e-01	1.667e-01	1.250e-01	8.333e-02	1.250e-01	2.125e-01	2.075e-01	2.375e-01	9.250e-02	8.250e-02	1.000e-01	4.750e-02	3.750e-02	5.750e-02	2.500e-02	1.750e-02	2.750e-02	1.000e-02	7.500e-03	1.250e-02	3.750e-01	2.500e-01	3.750e-01	2.143e-01	2.000e-01	2.500e-01	1.786e-01	1.563e-01	2.188e-01	1.250e-01	1.071e-01	1.667e-01	1.250e-01	1.250e-01	1.250e-01	2.200e-01	2.100e-01	2.325e-01	9.250e-02	8.000e-02	1.025e-01	4.750e-02	4.250e-02	5.500e-02	2.250e-02	1.750e-02	2.500e-02	1.000e-02	5.000e-03	1.250e-02
3.000e+02	3.750e-01	2.500e-01	3.750e-01	2.500e-01	2.143e-01	2.500e-01	1.944e-01	1.786e-01	2.188e-01	1.563e-01	1.071e-01	1.786e-01	1.250e-01	1.250e-01	1.250e-01	2.200e-01	2.075e-01	2.325e-01	9.000e-02	7.750e-02	9.500e-02	4.750e-02	3.750e-02	5.250e-02	2.000e-02	1.500e-02	2.500e-02	1.000e-02	7.500e-03	1.250e-02	3.750e-01	2.500e-01	3.750e-01	2.188e-01	2.143e-01	2.500e-01	1.944e-01	1.667e-01	2.188e-01	1.563e-01	1.250e-01	1.944e-01	1.250e-01	1.250e-01	1.250e-01	2.250e-01	2.075e-01	2.300e-01	9.250e-02	8.500e-02	1.000e-01	4.750e-02	3.750e-02	5.500e-02	2.250e-02	1.750e-02	2.750e-02	1.000e-02	5.000e-03	1.250e-02
4.000e+02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.500e-01	2.000e-01	1.786e-01	2.188e-01	1.875e-01	1.250e-01	2.000e-01	1.250e-01	1.250e-01	1.786e-01	2.225e-01	2.100e-01	2.400e-01	8.500e-02	8.000e-02	9.500e-02	4.500e-02	3.750e-02	5.500e-02	2.250e-02	1.750e-02	2.750e-02	1.000e-02	7.500e-03	1.250e-02	3.750e-01	3.750e-01	3.750e-01	2.188e-01	2.143e-01	2.500e-01	1.944e-01	1.786e-01	2.188e-01	1.667e-01	1.250e-01	2.000e-01	1.250e-01	1.250e-01	1.667e-01	2.275e-01	2.150e-01	2.400e-01	9.500e-02	9.000e-02	1.025e-01	5.000e-02	4.500e-02	5.750e-02	2.250e-02	1.750e-02	2.750e-02	1.000e-02	5.000e-03	1.250e-02
5.000e+02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.500e-01	2.188e-01	1.944e-01	2.250e-01	1.944e-01	1.563e-01	2.000e-01	1.500e-01	1.250e-01	2.000e-01	2.250e-01	2.125e-01	2.400e-01	9.000e-02	8.000e-02	9.750e-02	4.500e-02	3.750e-02	5.250e-02	2.000e-02	1.500e-02	3.000e-02	1.000e-02	7.500e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	2.188e-01	2.188e-01	2.500e-01	2.000e-01	1.786e-01	2.188e-01	1.750e-01	1.429e-01	2.000e-01	1.250e-01	1.250e-01	2.000e-01	2.275e-01	2.200e-01	2.400e-01	9.500e-02	9.000e-02	1.025e-01	4.750e-02	4.250e-02	5.750e-02	2.500e-02	2.000e-02	2.750e-02	1.000e-02	5.000e-03	1.000e-02
6.000e+02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.500e-01	2.188e-01	1.944e-01	2.273e-01	1.944e-01	1.563e-01	2.188e-01	2.000e-01	1.250e-01	2.500e-01	2.250e-01	2.150e-01	2.375e-01	8.500e-02	7.750e-02	9.250e-02	4.500e-02	3.750e-02	5.250e-02	2.000e-02	1.500e-02	2.250e-02	1.000e-02	7.500e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	2.188e-01	2.188e-01	2.778e-01	2.000e-01	1.944e-01	2.250e-01	2.000e-01	1.429e-01	2.000e-01	1.667e-01	1.250e-01	2.083e-01	2.325e-01	2.200e-01	2.475e-01	9.250e-02	8.250e-02	1.000e-01	4.750e-02	4.000e-02	5.750e-02	2.250e-02	2.000e-02	3.000e-02	7.500e-03	5.000e-03	1.250e-02
7.000e+02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.778e-01	2.188e-01	1.944e-01	2.273e-01	2.000e-01	1.667e-01	2.222e-01	2.000e-01	1.250e-01	2.500e-01	2.250e-01	2.150e-01	2.350e-01	8.500e-02	7.500e-02	9.250e-02	4.500e-02	3.500e-02	5.250e-02	1.750e-02	1.500e-02	2.500e-02	1.000e-02	7.500e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.778e-01	2.188e-01	1.944e-01	2.273e-01	2.000e-01	1.591e-01	2.188e-01	1.944e-01	1.250e-01	2.500e-01	2.325e-01	2.200e-01	2.450e-01	9.250e-02	8.000e-02	1.025e-01	5.000e-02	4.000e-02	5.750e-02	2.250e-02	1.750e-02	3.000e-02	1.000e-02	5.000e-03	1.250e-02
8.000e+02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.778e-01	2.188e-01	2.000e-01	2.273e-01	2.000e-01	1.667e-01	2.250e-01	2.143e-01	1.500e-01	2.500e-01	2.275e-01	2.150e-01	2.350e-01	8.500e-02	7.500e-02	9.250e-02	4.250e-02	3.500e-02	5.000e-02	2.000e-02	1.500e-02	2.500e-02	1.000e-02	7.500e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.813e-01	2.188e-01	1.944e-01	2.273e-01	2.000e-01	1.667e-01	2.273e-01	2.143e-01	1.563e-01	2.500e-01	2.375e-01	2.225e-01	2.450e-01	9.000e-02	8.000e-02	1.000e-01	5.000e-02	4.000e-02	5.750e-02	2.500e-02	2.000e-02	3.000e-02	1.000e-02	2.500e-03	1.250e-02
9.000e+02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.778e-01	2.250e-01	2.188e-01	2.500e-01	2.000e-01	1.944e-01	2.500e-01	2.188e-01	2.000e-01	2.500e-01	2.275e-01	2.100e-01	2.350e-01	8.500e-02	7.250e-02	9.250e-02	4.250e-02	3.750e-02	5.000e-02	2.000e-02	1.750e-02	2.500e-02	1.000e-02	7.500e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.778e-01	2.188e-01	2.000e-01	2.273e-01	2.000e-01	1.786e-01	2.273e-01	2.143e-01	1.667e-01	2.500e-01	2.350e-01	2.175e-01	2.425e-01	9.250e-02	8.500e-02	1.075e-01	4.750e-02	4.000e-02	5.500e-02	2.250e-02	2.000e-02	2.750e-02	1.000e-02	5.000e-03	1.500e-02
1.000e+03	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	3.000e-01	2.273e-01	2.188e-01	2.708e-01	2.000e-01	2.000e-01	2.500e-01	2.188e-01	2.000e-01	2.500e-01	2.250e-01	2.175e-01	2.350e-01	8.750e-02	7.500e-02	1.000e-01	4.250e-02	3.750e-02	5.000e-02	1.750e-02	1.500e-02	2.250e-02	1.000e-02	7.500e-03	1.500e-02	3.750e-01	3.750e-01	3.750e-01	2.500e-01	2.188e-01	2.778e-01	2.250e-01	2.000e-01	2.273e-01	2.000e-01	1.875e-01	2.273e-01	2.188e-01	1.667e-01	2.500e-01	2.300e-01	2.225e-01	2.450e-01	9.750e-02	8.250e-02	1.075e-01	5.000e-02	4.250e-02	5.500e-02	2.250e-02	2.000e-02	2.750e-02	7.500e-03	2.500e-03	1.500e-02
