n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg.max
1.000e+02	7.931e-01	7.931e-01	7.931e-01	5.259e-01	5.115e-01	5.402e-01	3.202e-01	3.103e-01	3.350e-01	2.069e-01	1.839e-01	2.241e-01	1.034e-01	9.195e-02	1.121e-01	7.941e-01	7.938e-01	7.941e-01	5.331e-01	5.293e-01	5.359e-01	3.355e-01	3.307e-01	3.393e-01	1.910e-01	1.866e-01	1.945e-01	8.103e-02	7.793e-02	8.241e-02	7.931e-01	7.931e-01	7.931e-01	5.241e-01	5.057e-01	5.448e-01	3.218e-01	3.153e-01	3.333e-01	2.069e-01	1.839e-01	2.138e-01	1.034e-01	8.621e-02	1.149e-01	7.941e-01	7.938e-01	7.941e-01	5.331e-01	5.293e-01	5.359e-01	3.355e-01	3.307e-01	3.393e-01	1.910e-01	1.866e-01	1.945e-01	8.103e-02	7.793e-02	8.241e-02
2.000e+02	7.931e-01	7.931e-01	7.931e-01	5.369e-01	5.172e-01	5.468e-01	3.251e-01	3.153e-01	3.491e-01	2.167e-01	1.921e-01	2.299e-01	1.121e-01	1.034e-01	1.264e-01	7.941e-01	7.938e-01	7.945e-01	5.331e-01	5.307e-01	5.366e-01	3.362e-01	3.307e-01	3.414e-01	1.934e-01	1.883e-01	1.969e-01	8.138e-02	7.862e-02	8.517e-02	7.931e-01	7.931e-01	7.931e-01	5.369e-01	5.172e-01	5.468e-01	3.276e-01	3.190e-01	3.491e-01	2.118e-01	2.011e-01	2.217e-01	1.121e-01	9.483e-02	1.207e-01	7.941e-01	7.938e-01	7.945e-01	5.345e-01	5.310e-01	5.372e-01	3.359e-01	3.324e-01	3.417e-01	1.900e-01	1.859e-01	1.938e-01	8.000e-02	7.759e-02	8.310e-02
3.000e+02	7.931e-01	7.931e-01	7.931e-01	5.388e-01	5.222e-01	5.560e-01	3.300e-01	3.218e-01	3.525e-01	2.155e-01	2.020e-01	2.315e-01	1.207e-01	1.172e-01	1.293e-01	7.941e-01	7.938e-01	7.948e-01	5.341e-01	5.310e-01	5.369e-01	3.376e-01	3.317e-01	3.417e-01	1.917e-01	1.879e-01	1.948e-01	8.103e-02	7.724e-02	8.517e-02	7.931e-01	7.931e-01	7.931e-01	5.369e-01	5.172e-01	5.517e-01	3.362e-01	3.233e-01	3.534e-01	2.217e-01	2.011e-01	2.328e-01	1.207e-01	1.034e-01	1.379e-01	7.941e-01	7.938e-01	7.948e-01	5.334e-01	5.310e-01	5.348e-01	3.355e-01	3.303e-01	3.403e-01	1.907e-01	1.862e-01	1.938e-01	8.172e-02	7.828e-02	8.448e-02
4.000e+02	7.931e-01	7.931e-01	7.931e-01	5.388e-01	5.320e-01	5.560e-01	3.379e-01	3.233e-01	3.563e-01	2.198e-01	2.069e-01	2.375e-01	1.264e-01	1.121e-01	1.379e-01	7.941e-01	7.938e-01	7.948e-01	5.328e-01	5.310e-01	5.366e-01	3.369e-01	3.328e-01	3.393e-01	1.914e-01	1.876e-01	1.945e-01	8.345e-02	7.793e-02	8.621e-02	7.931e-01	7.931e-01	7.931e-01	5.369e-01	5.216e-01	5.560e-01	3.345e-01	3.251e-01	3.547e-01	2.167e-01	2.069e-01	2.414e-01	1.293e-01	1.121e-01	1.379e-01	7.941e-01	7.934e-01	7.945e-01	5.345e-01	5.314e-01	5.362e-01	3.369e-01	3.331e-01	3.410e-01	1.910e-01	1.869e-01	1.931e-01	8.172e-02	7.828e-02	8.310e-02
5.000e+02	7.931e-01	7.931e-01	7.931e-01	5.474e-01	5.369e-01	5.560e-01	3.379e-01	3.276e-01	3.574e-01	2.241e-01	2.103e-01	2.414e-01	1.379e-01	1.207e-01	1.494e-01	7.938e-01	7.934e-01	7.948e-01	5.334e-01	5.297e-01	5.355e-01	3.359e-01	3.321e-01	3.390e-01	1.914e-01	1.879e-01	1.945e-01	8.276e-02	7.759e-02	8.552e-02	7.931e-01	7.931e-01	7.931e-01	5.468e-01	5.271e-01	5.560e-01	3.362e-01	3.202e-01	3.487e-01	2.241e-01	2.126e-01	2.457e-01	1.293e-01	1.207e-01	1.429e-01	7.938e-01	7.938e-01	7.945e-01	5.338e-01	5.314e-01	5.362e-01	3.376e-01	3.352e-01	3.417e-01	1.917e-01	1.862e-01	1.969e-01	8.069e-02	7.828e-02	8.517e-02
6.000e+02	7.931e-01	7.931e-01	7.931e-01	5.474e-01	5.369e-01	5.560e-01	3.410e-01	3.319e-01	3.636e-01	2.328e-01	2.138e-01	2.414e-01	1.379e-01	1.241e-01	1.576e-01	7.941e-01	7.934e-01	7.948e-01	5.334e-01	5.300e-01	5.369e-01	3.362e-01	3.334e-01	3.383e-01	1.921e-01	1.883e-01	1.959e-01	8.207e-02	7.828e-02	8.552e-02	7.931e-01	7.931e-01	7.931e-01	5.474e-01	5.326e-01	5.560e-01	3.372e-01	3.202e-01	3.640e-01	2.299e-01	2.172e-01	2.500e-01	1.379e-01	1.207e-01	1.552e-01	7.941e-01	7.934e-01	7.945e-01	5.348e-01	5.300e-01	5.372e-01	3.376e-01	3.345e-01	3.407e-01	1.924e-01	1.859e-01	1.990e-01	8.241e-02	7.724e-02	8.586e-02
7.000e+02	7.931e-01	7.931e-01	7.931e-01	5.517e-01	5.441e-01	5.594e-01	3.448e-01	3.319e-01	3.678e-01	2.365e-01	2.172e-01	2.490e-01	1.478e-01	1.293e-01	1.675e-01	7.941e-01	7.938e-01	7.945e-01	5.334e-01	5.290e-01	5.352e-01	3.366e-01	3.341e-01	3.393e-01	1.907e-01	1.883e-01	1.948e-01	8.172e-02	7.759e-02	8.655e-02	7.931e-01	7.931e-01	7.931e-01	5.517e-01	5.431e-01	5.603e-01	3.448e-01	3.276e-01	3.578e-01	2.315e-01	2.241e-01	2.500e-01	1.379e-01	1.207e-01	1.576e-01	7.941e-01	7.934e-01	7.948e-01	5.355e-01	5.310e-01	5.383e-01	3.383e-01	3.355e-01	3.407e-01	1.921e-01	1.855e-01	1.976e-01	8.310e-02	7.690e-02	8.552e-02
8.000e+02	7.931e-01	7.931e-01	7.931e-01	5.517e-01	5.474e-01	5.621e-01	3.414e-01	3.316e-01	3.699e-01	2.382e-01	2.198e-01	2.508e-01	1.576e-01	1.293e-01	1.675e-01	7.941e-01	7.934e-01	7.948e-01	5.338e-01	5.297e-01	5.362e-01	3.372e-01	3.345e-01	3.397e-01	1.928e-01	1.862e-01	1.959e-01	8.207e-02	7.828e-02	8.621e-02	7.931e-01	7.931e-01	7.931e-01	5.517e-01	5.431e-01	5.632e-01	3.511e-01	3.257e-01	3.690e-01	2.371e-01	2.261e-01	2.500e-01	1.379e-01	1.207e-01	1.552e-01	7.945e-01	7.938e-01	7.948e-01	5.359e-01	5.314e-01	5.383e-01	3.383e-01	3.359e-01	3.417e-01	1.907e-01	1.859e-01	1.983e-01	8.414e-02	7.759e-02	8.621e-02
9.000e+02	7.931e-01	7.931e-01	7.931e-01	5.560e-01	5.474e-01	5.621e-01	3.480e-01	3.319e-01	3.678e-01	2.448e-01	2.276e-01	2.517e-01	1.621e-01	1.322e-01	1.767e-01	7.941e-01	7.938e-01	7.948e-01	5.341e-01	5.303e-01	5.372e-01	3.383e-01	3.359e-01	3.414e-01	1.910e-01	1.855e-01	1.955e-01	8.207e-02	8.000e-02	8.586e-02	7.931e-01	7.931e-01	7.931e-01	5.556e-01	5.431e-01	5.603e-01	3.517e-01	3.276e-01	3.655e-01	2.385e-01	2.257e-01	2.471e-01	1.379e-01	1.207e-01	1.773e-01	7.941e-01	7.938e-01	7.948e-01	5.352e-01	5.321e-01	5.379e-01	3.383e-01	3.355e-01	3.414e-01	1.921e-01	1.859e-01	1.966e-01	8.379e-02	7.862e-02	8.655e-02
1.000e+03	7.931e-01	7.931e-01	7.931e-01	5.560e-01	5.474e-01	5.632e-01	3.480e-01	3.345e-01	3.678e-01	2.500e-01	2.375e-01	2.539e-01	1.655e-01	1.379e-01	1.767e-01	7.941e-01	7.938e-01	7.948e-01	5.338e-01	5.297e-01	5.383e-01	3.379e-01	3.345e-01	3.403e-01	1.910e-01	1.869e-01	1.962e-01	8.276e-02	8.069e-02	8.517e-02	7.931e-01	7.931e-01	7.931e-01	5.556e-01	5.474e-01	5.603e-01	3.517e-01	3.276e-01	3.655e-01	2.445e-01	2.308e-01	2.543e-01	1.322e-01	1.207e-01	1.872e-01	7.938e-01	7.938e-01	7.948e-01	5.348e-01	5.317e-01	5.386e-01	3.376e-01	3.345e-01	3.410e-01	1.914e-01	1.872e-01	1.976e-01	8.448e-02	7.931e-02	8.724e-02
