n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.cross.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.cross.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.cross.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.cross.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.cross.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.cross.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.cross.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.cross.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.cross.epistasis.avg.max
1.000e+02	4.267e-01	3.556e-01	4.267e-01	3.793e-01	3.698e-01	4.089e-01	2.845e-01	2.489e-01	3.251e-01	1.897e-01	1.422e-01	2.134e-01	7.112e-02	3.556e-02	9.483e-02	4.409e-01	4.353e-01	4.452e-01	4.424e-01	4.395e-01	4.495e-01	3.215e-01	3.115e-01	3.343e-01	2.034e-01	1.949e-01	2.091e-01	8.961e-02	8.250e-02	9.530e-02	4.267e-01	3.556e-01	4.267e-01	3.793e-01	3.556e-01	4.030e-01	2.845e-01	2.438e-01	3.319e-01	1.707e-01	1.422e-01	2.134e-01	9.483e-02	4.741e-02	1.138e-01	4.409e-01	4.353e-01	4.452e-01	4.424e-01	4.395e-01	4.495e-01	3.215e-01	3.115e-01	3.343e-01	2.034e-01	1.949e-01	2.091e-01	8.961e-02	8.250e-02	9.530e-02
2.000e+02	3.556e-01	3.556e-01	4.267e-01	3.698e-01	3.556e-01	4.030e-01	2.845e-01	2.438e-01	3.048e-01	1.778e-01	1.422e-01	2.134e-01	7.112e-02	3.556e-02	1.067e-01	4.466e-01	4.324e-01	4.481e-01	4.367e-01	4.338e-01	4.452e-01	3.272e-01	3.115e-01	3.371e-01	2.020e-01	1.991e-01	2.105e-01	9.388e-02	8.819e-02	9.815e-02	3.556e-01	3.556e-01	4.267e-01	3.793e-01	3.556e-01	3.861e-01	2.845e-01	2.489e-01	3.082e-01	1.829e-01	1.422e-01	2.134e-01	7.112e-02	4.741e-02	1.138e-01	4.409e-01	4.353e-01	4.481e-01	4.409e-01	4.281e-01	4.466e-01	3.272e-01	3.144e-01	3.371e-01	2.034e-01	1.949e-01	2.119e-01	8.961e-02	8.677e-02	1.024e-01
3.000e+02	3.556e-01	3.556e-01	3.556e-01	3.658e-01	3.319e-01	4.030e-01	2.845e-01	2.457e-01	3.048e-01	1.829e-01	1.580e-01	1.956e-01	7.112e-02	3.556e-02	1.067e-01	4.409e-01	4.353e-01	4.481e-01	4.395e-01	4.310e-01	4.466e-01	3.314e-01	3.158e-01	3.400e-01	2.034e-01	1.934e-01	2.091e-01	9.815e-02	8.961e-02	1.010e-01	3.556e-01	3.556e-01	4.267e-01	3.861e-01	3.319e-01	4.030e-01	2.667e-01	2.438e-01	3.048e-01	1.778e-01	1.422e-01	2.134e-01	1.067e-01	7.112e-02	1.422e-01	4.395e-01	4.353e-01	4.481e-01	4.381e-01	4.310e-01	4.495e-01	3.328e-01	3.172e-01	3.428e-01	2.048e-01	1.963e-01	2.162e-01	9.388e-02	8.961e-02	1.038e-01
4.000e+02	3.556e-01	3.556e-01	3.556e-01	3.658e-01	3.454e-01	3.912e-01	2.845e-01	2.213e-01	3.200e-01	1.829e-01	1.626e-01	2.134e-01	1.067e-01	4.741e-02	1.219e-01	4.409e-01	4.324e-01	4.466e-01	4.438e-01	4.324e-01	4.481e-01	3.272e-01	3.144e-01	3.343e-01	2.006e-01	1.920e-01	2.105e-01	9.388e-02	8.819e-02	9.815e-02	3.556e-01	3.556e-01	3.556e-01	3.861e-01	3.251e-01	4.030e-01	2.687e-01	2.489e-01	3.003e-01	1.778e-01	1.565e-01	2.134e-01	1.067e-01	7.112e-02	1.422e-01	4.395e-01	4.310e-01	4.452e-01	4.381e-01	4.310e-01	4.452e-01	3.272e-01	3.144e-01	3.357e-01	2.020e-01	1.949e-01	2.105e-01	9.246e-02	8.819e-02	9.957e-02
5.000e+02	3.556e-01	3.556e-01	3.556e-01	3.734e-01	3.556e-01	3.912e-01	2.687e-01	2.311e-01	3.103e-01	1.897e-01	1.626e-01	1.991e-01	1.067e-01	4.741e-02	1.422e-01	4.409e-01	4.310e-01	4.438e-01	4.409e-01	4.324e-01	4.438e-01	3.257e-01	3.172e-01	3.343e-01	1.991e-01	1.934e-01	2.148e-01	9.388e-02	8.819e-02	9.957e-02	3.556e-01	3.556e-01	3.556e-01	3.734e-01	3.251e-01	4.030e-01	2.687e-01	2.371e-01	3.023e-01	1.849e-01	1.659e-01	2.213e-01	1.067e-01	7.112e-02	1.138e-01	4.381e-01	4.296e-01	4.438e-01	4.381e-01	4.267e-01	4.438e-01	3.229e-01	3.101e-01	3.428e-01	2.077e-01	1.949e-01	2.162e-01	9.246e-02	8.961e-02	9.957e-02
6.000e+02	3.556e-01	3.556e-01	3.556e-01	3.658e-01	3.319e-01	3.912e-01	2.667e-01	2.311e-01	3.200e-01	1.897e-01	1.707e-01	2.134e-01	1.067e-01	7.112e-02	1.422e-01	4.395e-01	4.310e-01	4.452e-01	4.424e-01	4.338e-01	4.509e-01	3.272e-01	3.186e-01	3.400e-01	2.020e-01	1.906e-01	2.191e-01	9.672e-02	8.677e-02	1.024e-01	3.556e-01	3.556e-01	3.556e-01	3.635e-01	3.251e-01	3.861e-01	2.716e-01	2.311e-01	3.161e-01	1.849e-01	1.659e-01	2.235e-01	1.016e-01	5.690e-02	1.422e-01	4.353e-01	4.239e-01	4.409e-01	4.381e-01	4.281e-01	4.452e-01	3.286e-01	3.144e-01	3.371e-01	2.063e-01	1.949e-01	2.148e-01	9.815e-02	8.961e-02	1.024e-01
7.000e+02	3.556e-01	3.556e-01	3.556e-01	3.698e-01	3.272e-01	3.841e-01	2.845e-01	2.311e-01	3.129e-01	1.940e-01	1.580e-01	2.134e-01	8.128e-02	7.112e-02	1.580e-01	4.381e-01	4.338e-01	4.438e-01	4.452e-01	4.353e-01	4.509e-01	3.243e-01	3.172e-01	3.385e-01	2.020e-01	1.920e-01	2.176e-01	9.530e-02	8.961e-02	1.024e-01	3.556e-01	3.556e-01	3.556e-01	3.556e-01	3.251e-01	3.734e-01	2.845e-01	2.371e-01	3.023e-01	1.991e-01	1.580e-01	2.311e-01	1.016e-01	7.112e-02	1.422e-01	4.338e-01	4.267e-01	4.409e-01	4.353e-01	4.267e-01	4.452e-01	3.272e-01	3.158e-01	3.400e-01	2.048e-01	1.963e-01	2.134e-01	9.388e-02	8.819e-02	1.053e-01
8.000e+02	3.556e-01	3.556e-01	3.556e-01	3.698e-01	3.251e-01	3.841e-01	2.845e-01	2.328e-01	3.200e-01	1.940e-01	1.707e-01	2.134e-01	9.483e-02	7.112e-02	1.707e-01	4.381e-01	4.310e-01	4.452e-01	4.452e-01	4.310e-01	4.523e-01	3.257e-01	3.172e-01	3.385e-01	2.063e-01	1.963e-01	2.191e-01	9.672e-02	8.677e-02	1.024e-01	3.556e-01	3.556e-01	3.556e-01	3.556e-01	3.251e-01	3.734e-01	2.687e-01	2.418e-01	3.003e-01	1.940e-01	1.580e-01	2.276e-01	9.483e-02	7.112e-02	1.422e-01	4.310e-01	4.267e-01	4.409e-01	4.367e-01	4.267e-01	4.424e-01	3.257e-01	3.158e-01	3.328e-01	2.020e-01	1.949e-01	2.134e-01	9.103e-02	8.534e-02	1.024e-01
9.000e+02	3.556e-01	3.556e-01	3.556e-01	3.698e-01	3.272e-01	3.841e-01	2.687e-01	2.418e-01	3.272e-01	1.991e-01	1.681e-01	2.069e-01	1.067e-01	7.112e-02	1.565e-01	4.381e-01	4.324e-01	4.466e-01	4.466e-01	4.338e-01	4.509e-01	3.257e-01	3.172e-01	3.456e-01	2.077e-01	1.878e-01	2.191e-01	9.530e-02	8.819e-02	1.010e-01	3.556e-01	3.556e-01	3.556e-01	3.556e-01	3.272e-01	3.734e-01	2.560e-01	2.418e-01	2.845e-01	2.055e-01	1.739e-01	2.311e-01	1.067e-01	8.128e-02	1.422e-01	4.338e-01	4.267e-01	4.424e-01	4.367e-01	4.267e-01	4.395e-01	3.272e-01	3.172e-01	3.357e-01	2.048e-01	1.977e-01	2.205e-01	9.103e-02	8.534e-02	1.038e-01
1.000e+03	3.556e-01	3.556e-01	3.556e-01	3.635e-01	3.233e-01	3.793e-01	2.716e-01	2.418e-01	3.103e-01	1.991e-01	1.751e-01	2.134e-01	9.483e-02	7.112e-02	1.565e-01	4.381e-01	4.338e-01	4.438e-01	4.452e-01	4.281e-01	4.495e-01	3.272e-01	3.186e-01	3.471e-01	2.034e-01	1.949e-01	2.191e-01	9.672e-02	8.819e-02	1.038e-01	3.556e-01	3.556e-01	3.556e-01	3.556e-01	3.272e-01	3.734e-01	2.560e-01	2.371e-01	2.845e-01	2.069e-01	1.707e-01	2.276e-01	1.067e-01	8.534e-02	1.422e-01	4.381e-01	4.281e-01	4.424e-01	4.310e-01	4.253e-01	4.353e-01	3.257e-01	3.172e-01	3.343e-01	2.091e-01	1.977e-01	2.191e-01	9.246e-02	8.534e-02	1.010e-01
