n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.me.epistasis.0.2.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.me.epistasis.0.2.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.me.epistasis.0.5.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.me.epistasis.0.5.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.me.epistasis.0.5.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.me.epistasis.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.me.epistasis.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.me.epistasis.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.me.epistasis.2.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.me.epistasis.2.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.me.epistasis.2.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.me.epistasis.5.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.me.epistasis.5.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.me.epistasis.5.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.single.ds.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.single.ds.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.single.ds.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.epistasis.0.2.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.epistasis.0.5.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.epistasis.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.epistasis.2.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.epistasis.5.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.me.epistasis.0.2.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.me.epistasis.0.2.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.me.epistasis.0.2.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.me.epistasis.0.5.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.me.epistasis.0.5.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.me.epistasis.0.5.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.me.epistasis.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.me.epistasis.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.me.epistasis.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.me.epistasis.2.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.me.epistasis.2.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.me.epistasis.2.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.me.epistasis.5.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.me.epistasis.5.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.me.epistasis.5.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.single.ds.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.single.ds.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.single.ds.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.epistasis.0.2.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.epistasis.0.5.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.epistasis.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.epistasis.2.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.epistasis.5.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.best.quality.behavior.quality.final.dist.max
1.000e+02	3.359e-01	2.667e-01	3.743e-01	3.913e-01	3.134e-01	4.436e-01	3.622e-01	3.199e-01	4.539e-01	3.206e-01	2.808e-01	3.979e-01	3.847e-01	3.174e-01	4.334e-01	3.800e-01	3.015e-01	4.624e-01	3.239e-01	2.841e-01	3.606e-01	3.648e-01	3.270e-01	4.200e-01	3.787e-01	3.120e-01	4.398e-01	3.361e-01	2.757e-01	4.296e-01	3.674e-01	3.280e-01	4.296e-01	2.447e-01	1.416e-01	2.754e-01	2.369e-01	2.171e-01	2.788e-01	2.506e-01	2.268e-01	3.493e-01	2.508e-01	2.346e-01	3.150e-01	2.554e-01	2.271e-01	3.593e-01	2.393e-01	2.206e-01	2.554e-01	2.300e-01	1.310e-01	2.730e-01	2.398e-01	2.275e-01	3.324e-01	2.665e-01	2.376e-01	3.333e-01	2.367e-01	1.639e-01	2.561e-01	2.690e-01	2.378e-01	3.525e-01
2.000e+02	2.742e-01	2.438e-01	2.952e-01	3.122e-01	2.580e-01	3.449e-01	2.955e-01	2.470e-01	3.159e-01	2.814e-01	2.435e-01	3.176e-01	3.040e-01	2.663e-01	3.659e-01	3.147e-01	2.771e-01	3.571e-01	2.858e-01	2.531e-01	3.040e-01	3.201e-01	2.687e-01	3.620e-01	3.120e-01	2.912e-01	3.680e-01	3.076e-01	2.572e-01	3.343e-01	3.278e-01	2.645e-01	3.662e-01	1.610e-01	1.146e-01	2.326e-01	2.201e-01	1.344e-01	2.340e-01	2.261e-01	1.529e-01	2.394e-01	2.288e-01	1.292e-01	2.380e-01	2.304e-01	1.536e-01	2.494e-01	2.291e-01	1.429e-01	2.427e-01	1.967e-01	1.179e-01	2.300e-01	2.290e-01	1.512e-01	2.357e-01	2.347e-01	1.359e-01	2.532e-01	1.640e-01	1.004e-01	2.398e-01	2.378e-01	1.968e-01	3.295e-01
3.000e+02	2.448e-01	2.389e-01	2.738e-01	2.580e-01	2.455e-01	2.837e-01	2.546e-01	2.339e-01	2.913e-01	2.584e-01	2.338e-01	2.899e-01	2.663e-01	2.375e-01	2.983e-01	2.845e-01	2.402e-01	3.229e-01	2.696e-01	2.515e-01	2.992e-01	2.770e-01	2.509e-01	3.076e-01	3.037e-01	2.590e-01	3.206e-01	2.798e-01	2.470e-01	3.180e-01	3.208e-01	2.455e-01	3.505e-01	1.541e-01	1.072e-01	2.272e-01	1.478e-01	1.013e-01	2.264e-01	2.020e-01	1.177e-01	2.291e-01	2.095e-01	1.204e-01	2.293e-01	2.244e-01	1.053e-01	2.306e-01	2.270e-01	1.429e-01	2.404e-01	1.528e-01	1.171e-01	2.272e-01	1.902e-01	1.029e-01	2.294e-01	2.271e-01	1.080e-01	2.371e-01	1.262e-01	7.799e-02	2.313e-01	2.312e-01	1.468e-01	2.436e-01
4.000e+02	2.423e-01	2.363e-01	2.519e-01	2.490e-01	2.358e-01	2.797e-01	2.428e-01	2.334e-01	2.546e-01	2.420e-01	2.327e-01	2.515e-01	2.464e-01	2.313e-01	2.691e-01	2.458e-01	2.371e-01	2.922e-01	2.597e-01	2.416e-01	2.904e-01	2.659e-01	2.379e-01	2.829e-01	2.922e-01	2.444e-01	3.128e-01	2.757e-01	2.348e-01	3.176e-01	2.615e-01	2.376e-01	3.061e-01	1.271e-01	8.607e-02	1.645e-01	1.278e-01	8.477e-02	1.842e-01	1.940e-01	1.161e-01	2.274e-01	1.327e-01	1.015e-01	2.154e-01	1.380e-01	8.967e-02	2.244e-01	1.937e-01	1.276e-01	2.306e-01	1.342e-01	1.014e-01	2.002e-01	1.629e-01	9.083e-02	2.165e-01	2.076e-01	1.044e-01	2.316e-01	1.066e-01	7.799e-02	1.914e-01	1.984e-01	1.403e-01	2.321e-01
5.000e+02	2.417e-01	2.334e-01	2.458e-01	2.477e-01	2.322e-01	2.580e-01	2.393e-01	2.314e-01	2.482e-01	2.390e-01	2.314e-01	2.440e-01	2.375e-01	2.305e-01	2.507e-01	2.423e-01	2.346e-01	2.922e-01	2.528e-01	2.376e-01	2.819e-01	2.574e-01	2.373e-01	2.759e-01	2.912e-01	2.426e-01	3.094e-01	2.572e-01	2.348e-01	3.052e-01	2.552e-01	2.347e-01	2.770e-01	1.077e-01	8.232e-02	1.462e-01	9.866e-02	5.451e-02	1.477e-01	1.306e-01	1.093e-01	1.940e-01	1.292e-01	9.984e-02	1.602e-01	1.147e-01	7.573e-02	1.536e-01	1.438e-01	1.130e-01	2.285e-01	1.258e-01	7.519e-02	1.925e-01	1.390e-01	8.083e-02	1.905e-01	1.621e-01	1.021e-01	2.299e-01	1.066e-01	7.799e-02	1.914e-01	1.918e-01	1.254e-01	2.295e-01
6.000e+02	2.354e-01	2.316e-01	2.435e-01	2.430e-01	2.319e-01	2.532e-01	2.351e-01	2.313e-01	2.452e-01	2.348e-01	2.308e-01	2.420e-01	2.332e-01	2.302e-01	2.493e-01	2.376e-01	2.316e-01	2.534e-01	2.497e-01	2.351e-01	2.636e-01	2.509e-01	2.373e-01	2.734e-01	2.750e-01	2.380e-01	3.015e-01	2.526e-01	2.348e-01	2.809e-01	2.443e-01	2.340e-01	2.654e-01	9.957e-02	5.675e-02	1.335e-01	9.661e-02	5.440e-02	1.381e-01	1.244e-01	8.312e-02	1.940e-01	1.292e-01	7.945e-02	1.479e-01	1.145e-01	6.913e-02	1.536e-01	1.438e-01	7.074e-02	2.274e-01	1.179e-01	7.519e-02	1.612e-01	1.271e-01	5.822e-02	1.788e-01	1.563e-01	1.002e-01	2.180e-01	1.028e-01	7.799e-02	1.914e-01	1.507e-01	1.078e-01	2.295e-01
7.000e+02	2.334e-01	2.312e-01	2.380e-01	2.335e-01	2.305e-01	2.519e-01	2.314e-01	2.305e-01	2.393e-01	2.324e-01	2.307e-01	2.413e-01	2.313e-01	2.301e-01	2.391e-01	2.371e-01	2.310e-01	2.446e-01	2.438e-01	2.351e-01	2.528e-01	2.443e-01	2.371e-01	2.659e-01	2.590e-01	2.332e-01	2.912e-01	2.491e-01	2.326e-01	2.760e-01	2.417e-01	2.331e-01	2.654e-01	9.630e-02	5.675e-02	1.245e-01	8.534e-02	5.236e-02	1.107e-01	1.129e-01	8.022e-02	1.755e-01	1.204e-01	7.945e-02	1.332e-01	1.038e-01	6.741e-02	1.441e-01	1.256e-01	4.967e-02	1.670e-01	1.155e-01	6.818e-02	1.612e-01	1.119e-01	5.822e-02	1.634e-01	1.195e-01	9.715e-02	1.875e-01	1.027e-01	7.799e-02	1.462e-01	1.365e-01	1.007e-01	2.203e-01
8.000e+02	2.321e-01	2.308e-01	2.362e-01	2.322e-01	2.305e-01	2.465e-01	2.314e-01	2.305e-01	2.351e-01	2.319e-01	2.306e-01	2.390e-01	2.313e-01	2.301e-01	2.369e-01	2.331e-01	2.308e-01	2.427e-01	2.416e-01	2.335e-01	2.506e-01	2.421e-01	2.355e-01	2.585e-01	2.524e-01	2.332e-01	2.751e-01	2.444e-01	2.325e-01	2.757e-01	2.417e-01	2.323e-01	2.654e-01	8.376e-02	4.633e-02	1.171e-01	8.534e-02	4.282e-02	1.030e-01	1.049e-01	7.647e-02	1.255e-01	1.182e-01	7.945e-02	1.322e-01	9.997e-02	6.741e-02	1.305e-01	1.090e-01	4.967e-02	1.416e-01	1.130e-01	6.818e-02	1.318e-01	1.119e-01	5.822e-02	1.634e-01	1.158e-01	9.607e-02	1.744e-01	9.827e-02	7.609e-02	1.262e-01	1.238e-01	1.007e-01	1.700e-01
9.000e+02	2.315e-01	2.306e-01	2.354e-01	2.319e-01	2.301e-01	2.451e-01	2.314e-01	2.305e-01	2.330e-01	2.318e-01	2.306e-01	2.348e-01	2.305e-01	2.301e-01	2.328e-01	2.316e-01	2.308e-01	2.384e-01	2.376e-01	2.327e-01	2.438e-01	2.380e-01	2.345e-01	2.546e-01	2.518e-01	2.330e-01	2.736e-01	2.368e-01	2.324e-01	2.572e-01	2.399e-01	2.322e-01	2.613e-01	7.997e-02	4.633e-02	1.009e-01	8.300e-02	3.423e-02	1.022e-01	1.002e-01	7.647e-02	1.227e-01	1.051e-01	6.632e-02	1.322e-01	9.350e-02	6.741e-02	1.286e-01	9.559e-02	4.967e-02	1.257e-01	9.354e-02	6.367e-02	1.171e-01	9.119e-02	5.659e-02	1.357e-01	1.158e-01	8.614e-02	1.744e-01	9.827e-02	6.794e-02	1.152e-01	1.163e-01	1.007e-01	1.644e-01
1.000e+03	2.315e-01	2.303e-01	2.334e-01	2.319e-01	2.301e-01	2.422e-01	2.313e-01	2.305e-01	2.330e-01	2.310e-01	2.305e-01	2.333e-01	2.303e-01	2.300e-01	2.321e-01	2.309e-01	2.305e-01	2.348e-01	2.352e-01	2.326e-01	2.433e-01	2.376e-01	2.343e-01	2.509e-01	2.463e-01	2.326e-01	2.570e-01	2.365e-01	2.324e-01	2.572e-01	2.394e-01	2.316e-01	2.613e-01	7.708e-02	4.633e-02	1.009e-01	8.267e-02	3.326e-02	1.022e-01	9.916e-02	7.647e-02	1.227e-01	1.015e-01	6.417e-02	1.294e-01	9.350e-02	6.741e-02	1.217e-01	9.559e-02	4.967e-02	1.257e-01	8.988e-02	4.278e-02	1.155e-01	9.119e-02	5.659e-02	1.306e-01	1.031e-01	8.311e-02	1.621e-01	9.827e-02	6.794e-02	1.101e-01	1.102e-01	9.535e-02	1.403e-01
