_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
3.883e-01	2.476e-01	7.945e-01	3.241e-01	5.862e-01	3.779e-01	7.931e-01	3.937e-01	1.669e-01	5.914e-01	3.597e-01	2.466e-01	7.938e-01	3.138e-01	5.747e-01	3.314e-01	7.931e-01	3.155e-01	8.724e-02	5.528e-01
3.441e-01	2.407e-01	7.938e-01	2.950e-01	6.230e-01	3.224e-01	7.931e-01	2.940e-01	1.234e-01	5.272e-01	3.503e-01	2.262e-01	7.955e-01	2.565e-01	6.315e-01	3.295e-01	7.931e-01	3.085e-01	9.000e-02	5.362e-01
3.707e-01	2.597e-01	7.941e-01	3.103e-01	5.549e-01	2.608e-01	7.931e-01	3.485e-01	2.876e-01	5.476e-01	3.610e-01	2.141e-01	7.955e-01	3.755e-01	6.121e-01	3.259e-01	7.931e-01	2.995e-01	1.066e-01	5.410e-01
3.648e-01	2.017e-01	7.931e-01	2.500e-01	5.776e-01	3.259e-01	7.931e-01	4.220e-01	1.210e-01	5.231e-01	3.366e-01	2.207e-01	7.934e-01	2.667e-01	5.776e-01	2.478e-01	8.017e-01	4.508e-01	1.362e-01	5.438e-01
3.562e-01	2.893e-01	7.976e-01	3.574e-01	6.272e-01	3.224e-01	7.931e-01	3.779e-01	1.621e-01	6.134e-01	3.255e-01	2.321e-01	7.976e-01	3.303e-01	5.661e-01	2.435e-01	8.017e-01	3.199e-01	8.759e-02	5.355e-01
4.017e-01	2.886e-01	7.934e-01	3.257e-01	6.164e-01	3.285e-01	7.931e-01	4.534e-01	1.655e-01	5.666e-01	3.459e-01	2.055e-01	7.938e-01	2.608e-01	5.546e-01	3.140e-01	7.931e-01	3.207e-01	8.690e-02	5.238e-01
4.024e-01	3.707e-01	7.931e-01	2.565e-01	5.690e-01	3.121e-01	8.017e-01	3.448e-01	2.128e-01	5.272e-01	3.572e-01	2.128e-01	7.931e-01	3.190e-01	6.228e-01	3.306e-01	8.103e-01	3.764e-01	1.352e-01	5.524e-01
3.379e-01	2.634e-01	7.931e-01	3.103e-01	5.690e-01	3.027e-01	8.190e-01	5.022e-01	2.000e-01	5.879e-01	3.486e-01	2.138e-01	7.934e-01	3.155e-01	5.718e-01	3.158e-01	7.931e-01	3.763e-01	1.048e-01	5.307e-01
4.241e-01	2.693e-01	7.931e-01	2.315e-01	5.632e-01	3.172e-01	8.017e-01	3.276e-01	1.914e-01	5.859e-01	3.445e-01	2.403e-01	7.938e-01	3.103e-01	6.164e-01	2.961e-01	7.931e-01	3.862e-01	1.069e-01	5.414e-01
4.310e-01	3.521e-01	7.969e-01	2.500e-01	6.250e-01	3.138e-01	7.931e-01	3.259e-01	2.928e-01	5.393e-01	3.628e-01	2.255e-01	7.941e-01	3.155e-01	5.737e-01	2.635e-01	8.017e-01	4.448e-01	8.621e-02	5.407e-01
4.786e-01	2.597e-01	7.934e-01	3.069e-01	5.690e-01	2.391e-01	7.931e-01	3.544e-01	1.479e-01	5.503e-01	3.486e-01	2.190e-01	7.941e-01	3.172e-01	5.831e-01	2.608e-01	7.931e-01	3.951e-01	9.759e-02	5.400e-01
3.407e-01	2.503e-01	7.931e-01	3.013e-01	5.549e-01	3.683e-01	7.931e-01	4.495e-01	1.638e-01	5.752e-01	3.438e-01	2.003e-01	7.938e-01	3.176e-01	5.517e-01	2.340e-01	8.276e-01	3.190e-01	8.724e-02	5.231e-01
3.545e-01	2.797e-01	7.934e-01	3.276e-01	5.632e-01	3.276e-01	7.931e-01	3.899e-01	1.817e-01	5.921e-01	3.410e-01	2.055e-01	7.931e-01	3.103e-01	5.718e-01	2.478e-01	7.931e-01	3.836e-01	1.038e-01	5.607e-01
3.590e-01	2.072e-01	7.931e-01	2.608e-01	5.661e-01	4.335e-01	7.931e-01	3.707e-01	1.838e-01	5.831e-01	3.745e-01	2.328e-01	7.938e-01	2.522e-01	5.661e-01	4.409e-01	7.931e-01	3.574e-01	8.655e-02	5.452e-01
3.538e-01	2.714e-01	7.931e-01	3.121e-01	6.315e-01	3.851e-01	7.931e-01	3.172e-01	2.193e-01	5.272e-01	3.466e-01	2.159e-01	7.945e-01	2.543e-01	5.643e-01	2.941e-01	7.931e-01	3.259e-01	9.034e-02	5.376e-01
3.938e-01	2.245e-01	8.114e-01	2.414e-01	5.690e-01	3.138e-01	7.931e-01	4.414e-01	1.903e-01	5.928e-01	4.121e-01	2.014e-01	7.945e-01	2.522e-01	5.611e-01	3.031e-01	7.931e-01	3.980e-01	9.276e-02	5.410e-01
3.328e-01	3.266e-01	7.931e-01	3.842e-01	5.517e-01	4.676e-01	7.931e-01	3.031e-01	1.493e-01	5.548e-01	3.490e-01	2.317e-01	7.948e-01	3.943e-01	5.517e-01	3.158e-01	8.103e-01	3.815e-01	1.114e-01	5.372e-01
3.310e-01	3.017e-01	7.952e-01	3.241e-01	5.549e-01	3.212e-01	8.190e-01	4.470e-01	1.307e-01	5.917e-01	3.662e-01	1.890e-01	7.931e-01	2.522e-01	5.718e-01	3.103e-01	7.931e-01	3.049e-01	1.124e-01	6.255e-01
3.690e-01	2.383e-01	7.931e-01	3.155e-01	6.184e-01	2.608e-01	7.931e-01	3.267e-01	3.052e-01	5.638e-01	3.462e-01	1.934e-01	7.934e-01	2.522e-01	5.718e-01	3.176e-01	7.931e-01	3.508e-01	1.145e-01	5.300e-01
3.548e-01	2.241e-01	7.931e-01	3.121e-01	5.486e-01	3.172e-01	7.931e-01	3.793e-01	1.483e-01	5.166e-01	3.948e-01	2.028e-01	7.955e-01	3.103e-01	5.718e-01	3.997e-01	7.931e-01	4.069e-01	1.141e-01	5.262e-01
4.062e-01	2.683e-01	8.252e-01	2.706e-01	6.034e-01	2.500e-01	8.017e-01	3.303e-01	1.414e-01	5.738e-01	3.369e-01	1.931e-01	7.934e-01	3.172e-01	5.925e-01	3.172e-01	7.931e-01	3.303e-01	1.134e-01	5.352e-01
4.497e-01	2.534e-01	7.931e-01	3.224e-01	5.661e-01	3.172e-01	7.931e-01	3.858e-01	1.569e-01	5.900e-01	3.390e-01	2.172e-01	7.945e-01	2.478e-01	5.603e-01	3.836e-01	7.931e-01	3.085e-01	1.048e-01	5.407e-01
4.603e-01	2.897e-01	7.931e-01	3.372e-01	5.776e-01	3.103e-01	7.931e-01	3.347e-01	1.997e-01	5.238e-01	3.431e-01	2.417e-01	8.000e-01	3.138e-01	6.164e-01	4.469e-01	7.931e-01	4.446e-01	9.517e-02	5.376e-01
4.007e-01	2.428e-01	7.931e-01	3.224e-01	6.315e-01	3.764e-01	8.017e-01	4.377e-01	1.483e-01	5.690e-01	3.586e-01	2.038e-01	7.945e-01	4.107e-01	5.690e-01	2.315e-01	7.931e-01	3.815e-01	1.083e-01	5.276e-01
3.838e-01	2.310e-01	7.934e-01	3.172e-01	6.272e-01	4.089e-01	7.931e-01	4.448e-01	1.448e-01	5.348e-01	3.566e-01	1.886e-01	7.938e-01	3.333e-01	6.444e-01	3.085e-01	8.017e-01	3.987e-01	9.586e-02	5.390e-01
3.393e-01	3.245e-01	7.993e-01	2.635e-01	5.674e-01	3.822e-01	7.931e-01	3.941e-01	1.621e-01	5.752e-01	3.683e-01	1.938e-01	7.952e-01	3.172e-01	6.250e-01	3.352e-01	7.931e-01	3.558e-01	1.100e-01	5.407e-01
3.852e-01	2.145e-01	7.952e-01	3.690e-01	5.690e-01	2.478e-01	7.931e-01	3.293e-01	1.859e-01	5.314e-01	3.424e-01	2.000e-01	7.934e-01	4.060e-01	5.776e-01	3.138e-01	7.931e-01	3.207e-01	9.379e-02	5.183e-01
