_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
3.314e-01	2.489e-01	4.737e-01	2.063e-01	2.963e-01	2.963e-01	3.556e-01	3.082e-01	1.209e-01	4.779e-01	3.272e-01	2.375e-01	4.680e-01	2.703e-01	3.082e-01	2.450e-01	3.556e-01	2.703e-01	1.266e-01	4.011e-01
4.054e-01	2.347e-01	4.253e-01	2.292e-01	3.129e-01	2.134e-01	3.556e-01	3.144e-01	1.579e-01	4.637e-01	3.144e-01	1.764e-01	3.954e-01	2.489e-01	1.956e-01	1.818e-01	3.556e-01	2.695e-01	1.152e-01	4.637e-01
2.717e-01	1.465e-01	4.182e-01	2.063e-01	3.103e-01	2.756e-01	3.556e-01	3.069e-01	7.397e-02	3.371e-01	3.713e-01	1.949e-01	4.381e-01	1.818e-01	2.845e-01	2.489e-01	3.556e-01	2.396e-01	1.124e-01	4.196e-01
3.442e-01	1.906e-01	3.016e-01	1.956e-01	3.200e-01	3.058e-01	3.556e-01	3.454e-01	4.025e-01	4.395e-01	3.385e-01	2.461e-01	4.751e-01	3.034e-01	2.963e-01	2.134e-01	3.200e-01	2.687e-01	7.254e-02	4.267e-01
3.243e-01	1.735e-01	3.997e-01	2.716e-01	2.934e-01	2.703e-01	3.556e-01	2.489e-01	2.731e-01	3.115e-01	3.414e-01	2.461e-01	4.395e-01	1.946e-01	3.200e-01	2.489e-01	3.556e-01	3.082e-01	8.250e-02	4.395e-01
3.784e-01	2.518e-01	4.381e-01	2.134e-01	3.289e-01	2.471e-01	3.556e-01	2.845e-01	1.465e-01	4.068e-01	3.328e-01	2.077e-01	4.964e-01	2.134e-01	2.963e-01	2.171e-01	3.556e-01	2.703e-01	1.223e-01	4.225e-01
4.011e-01	9.815e-02	4.338e-01	2.134e-01	2.963e-01	2.063e-01	3.556e-01	2.620e-01	3.841e-02	4.239e-01	2.888e-01	2.319e-01	4.225e-01	1.849e-01	3.112e-01	2.510e-01	3.556e-01	2.963e-01	1.223e-01	4.495e-01
3.385e-01	1.294e-01	5.050e-01	1.849e-01	2.963e-01	2.371e-01	3.556e-01	3.340e-01	1.778e-01	3.414e-01	3.072e-01	2.319e-01	4.409e-01	1.636e-01	2.963e-01	2.321e-01	3.556e-01	3.278e-01	1.152e-01	4.538e-01
3.727e-01	3.912e-01	3.528e-01	2.540e-01	2.845e-01	1.991e-01	3.556e-01	3.129e-01	1.366e-01	5.576e-01	3.243e-01	2.475e-01	4.538e-01	1.494e-01	2.934e-01	2.594e-01	3.556e-01	2.560e-01	7.823e-02	4.381e-01
5.007e-01	3.243e-01	4.367e-01	1.956e-01	3.556e-01	2.489e-01	3.556e-01	2.987e-01	2.276e-01	3.926e-01	3.001e-01	2.589e-01	4.267e-01	2.276e-01	2.845e-01	2.540e-01	3.556e-01	2.560e-01	6.970e-02	4.452e-01
1.806e-01	1.920e-01	4.822e-01	2.631e-01	3.082e-01	2.371e-01	3.556e-01	2.213e-01	2.304e-01	4.566e-01	3.755e-01	1.764e-01	4.523e-01	2.205e-01	3.233e-01	1.778e-01	3.556e-01	2.608e-01	8.961e-02	4.637e-01
2.404e-01	2.617e-01	3.044e-01	2.695e-01	3.750e-01	3.039e-01	3.556e-01	2.896e-01	1.380e-01	5.163e-01	3.428e-01	3.016e-01	4.822e-01	1.722e-01	2.963e-01	3.353e-01	3.556e-01	2.916e-01	1.238e-01	4.353e-01
4.111e-01	1.778e-01	4.409e-01	2.608e-01	2.963e-01	2.631e-01	3.556e-01	3.501e-01	2.319e-01	3.897e-01	3.471e-01	1.963e-01	4.623e-01	2.205e-01	3.319e-01	2.045e-01	3.556e-01	2.756e-01	1.010e-01	4.509e-01
3.727e-01	2.404e-01	4.168e-01	2.134e-01	3.438e-01	2.692e-01	3.556e-01	3.023e-01	1.977e-01	5.163e-01	2.703e-01	1.991e-01	4.836e-01	2.400e-01	2.845e-01	2.794e-01	3.556e-01	3.039e-01	1.209e-01	4.168e-01
3.286e-01	1.792e-01	5.590e-01	2.560e-01	2.756e-01	2.134e-01	3.556e-01	2.987e-01	1.109e-01	5.476e-01	3.044e-01	1.892e-01	4.338e-01	1.422e-01	2.845e-01	2.426e-01	3.556e-01	2.845e-01	1.337e-01	4.836e-01
2.020e-01	3.172e-01	4.395e-01	2.655e-01	3.556e-01	2.063e-01	3.556e-01	3.129e-01	1.408e-01	3.513e-01	3.328e-01	1.963e-01	4.523e-01	2.400e-01	3.621e-01	1.797e-01	3.556e-01	2.726e-01	9.957e-02	4.210e-01
3.215e-01	2.375e-01	4.680e-01	1.964e-01	3.233e-01	3.300e-01	3.556e-01	2.995e-01	1.238e-01	5.405e-01	3.215e-01	3.200e-01	4.438e-01	2.536e-01	3.621e-01	2.321e-01	3.556e-01	2.934e-01	1.465e-01	4.737e-01
3.613e-01	2.973e-01	4.239e-01	2.347e-01	3.750e-01	2.396e-01	2.489e-01	2.743e-01	1.038e-01	2.973e-01	3.200e-01	2.191e-01	4.082e-01	2.045e-01	3.200e-01	2.347e-01	3.556e-01	2.620e-01	9.388e-02	4.281e-01
5.320e-01	7.681e-02	3.627e-01	2.276e-01	3.224e-01	2.667e-01	3.556e-01	2.920e-01	1.707e-01	5.135e-01	2.745e-01	2.148e-01	4.495e-01	2.667e-01	3.082e-01	2.695e-01	3.556e-01	2.907e-01	4.552e-02	4.296e-01
2.361e-01	2.660e-01	4.310e-01	2.276e-01	3.103e-01	2.418e-01	3.556e-01	2.946e-01	8.108e-02	4.111e-01	2.959e-01	2.375e-01	5.192e-01	2.171e-01	2.726e-01	2.069e-01	3.556e-01	2.845e-01	1.223e-01	4.324e-01
3.940e-01	2.731e-01	3.101e-01	2.188e-01	3.556e-01	2.845e-01	3.556e-01	3.369e-01	2.134e-01	3.471e-01	3.257e-01	1.878e-01	4.395e-01	2.205e-01	2.457e-01	1.778e-01	3.556e-01	3.069e-01	1.778e-01	4.509e-01
3.741e-01	3.385e-01	4.182e-01	2.205e-01	3.556e-01	2.205e-01	3.556e-01	2.311e-01	8.534e-02	4.225e-01	2.845e-01	1.878e-01	4.538e-01	2.489e-01	3.200e-01	2.489e-01	3.556e-01	2.770e-01	1.124e-01	4.466e-01
2.703e-01	2.660e-01	4.210e-01	2.529e-01	3.319e-01	2.276e-01	3.556e-01	3.096e-01	1.778e-01	5.021e-01	3.357e-01	2.347e-01	4.495e-01	2.276e-01	2.578e-01	2.243e-01	3.556e-01	2.743e-01	1.038e-01	4.466e-01
3.912e-01	1.750e-01	4.281e-01	2.845e-01	3.289e-01	2.963e-01	3.200e-01	2.954e-01	1.010e-01	4.210e-01	3.841e-01	2.262e-01	4.708e-01	2.263e-01	2.608e-01	1.930e-01	3.556e-01	2.489e-01	1.238e-01	4.367e-01
