_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
4.391e-01	2.782e-01	8.188e-01	3.742e-01	6.237e-01	4.407e-01	8.182e-01	4.571e-01	1.752e-01	6.318e-01	3.882e-01	2.718e-01	8.182e-01	3.788e-01	6.162e-01	3.838e-01	8.182e-01	3.803e-01	1.036e-01	5.858e-01
3.894e-01	2.664e-01	8.188e-01	3.485e-01	6.566e-01	3.742e-01	8.182e-01	3.684e-01	1.482e-01	5.648e-01	3.867e-01	2.373e-01	8.203e-01	3.239e-01	6.420e-01	3.687e-01	8.182e-01	3.716e-01	1.039e-01	5.755e-01
3.997e-01	2.606e-01	8.182e-01	3.621e-01	5.950e-01	3.333e-01	8.182e-01	4.147e-01	2.688e-01	5.642e-01	3.985e-01	2.336e-01	8.185e-01	3.990e-01	6.439e-01	3.848e-01	8.182e-01	3.573e-01	1.191e-01	5.821e-01
4.039e-01	2.179e-01	8.182e-01	3.068e-01	6.212e-01	3.970e-01	8.182e-01	4.834e-01	1.936e-01	5.773e-01	3.742e-01	2.552e-01	8.185e-01	3.414e-01	6.162e-01	3.087e-01	8.182e-01	4.972e-01	1.358e-01	5.800e-01
4.052e-01	2.945e-01	8.203e-01	4.132e-01	6.591e-01	3.864e-01	8.182e-01	4.306e-01	2.015e-01	6.103e-01	3.652e-01	2.594e-01	8.221e-01	3.748e-01	6.111e-01	3.125e-01	8.258e-01	3.872e-01	9.636e-02	5.794e-01
4.521e-01	3.158e-01	8.182e-01	3.721e-01	6.572e-01	3.844e-01	8.182e-01	5.028e-01	1.794e-01	5.991e-01	3.794e-01	2.315e-01	8.185e-01	3.201e-01	5.960e-01	3.652e-01	8.182e-01	3.848e-01	1.042e-01	5.652e-01
4.394e-01	3.467e-01	8.182e-01	3.163e-01	6.086e-01	3.636e-01	8.258e-01	4.019e-01	1.964e-01	5.567e-01	3.785e-01	2.385e-01	8.182e-01	3.652e-01	6.591e-01	3.815e-01	8.333e-01	4.394e-01	1.448e-01	5.921e-01
3.727e-01	2.627e-01	8.182e-01	3.576e-01	6.086e-01	3.569e-01	8.409e-01	5.560e-01	2.136e-01	5.921e-01	3.767e-01	2.406e-01	8.182e-01	3.576e-01	6.111e-01	3.700e-01	8.182e-01	4.440e-01	1.176e-01	5.755e-01
4.570e-01	3.203e-01	8.182e-01	2.965e-01	6.010e-01	3.667e-01	8.258e-01	4.000e-01	2.003e-01	6.352e-01	3.794e-01	2.691e-01	8.185e-01	3.500e-01	6.496e-01	3.529e-01	8.182e-01	4.364e-01	1.133e-01	5.836e-01
4.888e-01	4.009e-01	8.182e-01	3.068e-01	6.705e-01	3.742e-01	8.182e-01	3.955e-01	3.061e-01	5.864e-01	3.842e-01	2.545e-01	8.188e-01	3.712e-01	6.061e-01	3.247e-01	8.258e-01	4.909e-01	9.091e-02	5.809e-01
