_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
3.448e-01	2.069e-01	7.931e-01	1.379e-01	6.552e-01	2.069e-01	7.931e-01	4.138e-01	2.759e-01	6.207e-01	3.448e-01	2.414e-01	7.931e-01	1.379e-01	6.552e-01	2.069e-01	7.931e-01	3.103e-01	6.897e-02	4.828e-01
3.448e-01	3.103e-01	7.931e-01	4.483e-01	5.517e-01	3.448e-01	7.931e-01	5.517e-01	6.897e-02	5.862e-01	3.793e-01	3.448e-01	7.931e-01	1.379e-01	6.207e-01	1.724e-01	7.931e-01	1.379e-01	6.897e-02	5.517e-01
4.138e-01	2.414e-01	7.931e-01	5.517e-01	5.172e-01	2.414e-01	7.931e-01	3.448e-01	2.069e-01	6.207e-01	3.103e-01	2.069e-01	7.931e-01	6.552e-01	4.483e-01	2.069e-01	7.931e-01	3.103e-01	2.414e-01	5.862e-01
4.138e-01	1.724e-01	7.931e-01	3.793e-01	5.517e-01	2.414e-01	7.931e-01	6.897e-01	1.379e-01	5.172e-01	3.448e-01	3.103e-01	7.931e-01	6.897e-02	5.172e-01	3.103e-01	7.931e-01	5.517e-01	1.724e-01	5.517e-01
3.793e-01	2.414e-01	8.276e-01	4.828e-01	4.828e-01	3.103e-01	7.931e-01	2.069e-01	1.724e-01	6.207e-01	3.793e-01	3.103e-01	7.931e-01	4.138e-01	5.517e-01	2.759e-01	7.931e-01	5.172e-01	1.034e-01	5.172e-01
5.172e-01	3.448e-01	7.931e-01	2.069e-01	4.828e-01	3.103e-01	7.931e-01	7.241e-01	1.724e-01	5.517e-01	3.103e-01	1.034e-01	7.931e-01	4.483e-01	4.828e-01	1.724e-01	7.931e-01	5.517e-01	6.897e-02	5.172e-01
3.793e-01	4.138e-01	7.931e-01	4.138e-01	4.828e-01	1.379e-01	7.931e-01	2.414e-01	2.069e-01	5.862e-01	3.103e-01	2.759e-01	7.931e-01	4.828e-01	6.207e-01	2.414e-01	8.276e-01	4.483e-01	6.897e-02	5.172e-01
3.103e-01	2.414e-01	7.931e-01	4.138e-01	5.172e-01	2.414e-01	8.276e-01	5.862e-01	2.069e-01	5.862e-01	2.414e-01	2.414e-01	7.931e-01	5.172e-01	5.862e-01	2.069e-01	7.931e-01	3.103e-01	1.034e-01	5.517e-01
4.483e-01	2.414e-01	7.931e-01	3.448e-01	6.552e-01	5.172e-01	8.276e-01	3.793e-01	1.379e-01	6.207e-01	2.414e-01	4.138e-01	7.931e-01	3.448e-02	4.828e-01	1.379e-01	7.931e-01	2.759e-01	2.069e-01	4.483e-01
4.483e-01	3.793e-01	7.931e-01	2.414e-01	7.241e-01	3.448e-01	7.931e-01	2.414e-01	3.448e-01	5.172e-01	3.793e-01	1.379e-01	7.931e-01	1.034e-01	6.552e-01	3.103e-01	7.931e-01	5.172e-01	0.000e+00	5.172e-01
