_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.ga.single.ds	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.ga.single.ds	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
8.360e-03	3.048e-03	1.946e-02	2.300e-04	4.994e-03	5.039e-03	2.930e-03	4.150e-03	7.507e-03	5.548e-03	3.671e-02	2.521e-02	1.253e-03	3.803e-03	7.715e-04	1.113e-03	2.184e-03	7.726e-03	1.437e-03	1.070e-02	9.137e-03	9.165e-03
9.150e-03	1.483e-02	2.452e-02	6.784e-04	1.004e-03	8.594e-03	9.628e-04	5.074e-03	2.358e-02	7.966e-03	2.300e-01	1.753e-02	3.514e-03	2.930e-03	9.641e-04	6.559e-03	9.460e-03	1.121e-03	1.760e-03	4.057e-03	2.349e-03	4.951e-03
4.177e-02	6.745e-02	1.593e-02	1.372e-03	1.072e-02	7.409e-03	1.354e-03	2.172e-03	1.131e-02	2.237e-02	5.019e-02	2.030e-02	7.460e-04	1.715e-02	1.448e-04	3.050e-03	2.578e-03	7.793e-04	4.830e-04	2.468e-03	5.756e-03	1.855e-03
6.530e-02	7.112e-03	1.432e-03	1.359e-04	8.921e-03	8.219e-03	1.890e-03	2.351e-03	4.113e-03	8.241e-03	1.416e-02	1.981e-03	1.424e-02	6.025e-03	4.508e-04	2.369e-03	1.367e-04	1.269e-03	3.761e-03	1.627e-03	3.553e-03	1.148e-03
2.197e-02	3.239e-02	8.700e-02	5.530e-04	7.608e-03	6.489e-03	4.683e-03	2.576e-03	5.506e-03	1.070e-02	2.429e-02	8.354e-04	1.340e-02	6.786e-03	1.567e-03	1.396e-02	4.065e-03	1.672e-03	2.611e-03	5.638e-03	8.029e-03	2.431e-02
3.274e-02	1.654e-02	4.806e-03	3.849e-04	1.099e-02	5.385e-03	7.340e-03	2.734e-03	3.947e-03	1.677e-02	3.698e-02	1.810e-03	7.771e-03	2.183e-03	1.763e-04	9.251e-03	2.881e-03	3.156e-03	1.128e-02	2.394e-03	5.426e-03	8.467e-03
1.850e-02	3.820e-03	5.233e-03	1.734e-03	7.826e-03	7.093e-03	5.151e-03	4.179e-03	2.823e-03	5.619e-03	7.630e-03	7.581e-04	1.779e-02	1.051e-03	1.689e-04	1.275e-03	5.655e-04	7.861e-04	2.123e-03	9.996e-04	5.793e-03	3.062e-03
1.176e-02	2.078e-02	4.116e-02	7.284e-04	1.305e-03	2.682e-03	3.992e-03	5.417e-04	2.149e-03	1.041e-02	4.075e-03	1.272e-03	8.933e-03	6.180e-03	9.308e-04	3.031e-03	7.655e-03	6.541e-03	6.409e-04	1.553e-02	3.978e-03	6.259e-03
8.326e-03	1.444e-02	2.321e-02	1.892e-03	3.123e-03	8.736e-03	2.287e-03	4.186e-03	6.211e-03	6.015e-02	2.151e-02	3.076e-03	9.217e-03	1.161e-03	1.507e-04	7.343e-04	3.676e-03	2.867e-03	2.191e-03	7.548e-04	3.344e-03	2.229e-03
4.268e-03	4.108e-03	2.840e-02	1.406e-03	1.023e-02	2.309e-03	3.861e-03	4.436e-03	7.098e-03	3.346e-03	7.233e-03	1.027e-02	2.230e-03	4.851e-03	8.911e-04	5.096e-03	1.204e-03	4.716e-04	1.164e-03	2.964e-03	2.945e-02	4.477e-03
