_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
1.250e-01	1.083e-01	1.244e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	8.729e-02	1.550e-01	7.649e-02	8.927e-02	1.721e-01	2.795e-01	2.795e-01	2.635e-01	2.795e-01	2.795e-01	0.000e+00	1.785e-01
3.500e-02	9.165e-02	1.820e-01	2.635e-01	2.708e-01	2.795e-01	2.795e-01	2.728e-01	1.000e-01	7.155e-02	1.219e-01	4.265e-02	1.955e-01	2.795e-01	2.795e-01	2.635e-01	2.795e-01	2.728e-01	2.487e-02	9.605e-02
1.248e-01	4.899e-02	6.572e-02	2.795e-01	2.670e-01	2.795e-01	2.795e-01	2.728e-01	2.487e-02	1.258e-01	6.379e-02	8.408e-02	1.733e-01	2.041e-01	2.795e-01	2.795e-01	2.795e-01	2.728e-01	5.449e-02	1.287e-01
1.176e-01	0.000e+00	8.860e-02	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.575e-01	5.449e-02	1.078e-01	1.018e-01	1.134e-01	1.590e-01	2.708e-01	2.795e-01	2.795e-01	2.795e-01	2.750e-01	3.500e-02	1.258e-01
1.068e-01	7.822e-02	1.683e-01	2.670e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	4.265e-02	9.823e-02	1.134e-01	8.292e-02	1.418e-01	2.728e-01	2.795e-01	2.795e-01	2.795e-01	2.635e-01	5.937e-02	1.677e-01
2.058e-01	1.122e-01	1.006e-01	2.635e-01	2.795e-01	2.728e-01	2.795e-01	2.750e-01	7.155e-02	1.435e-01	8.927e-02	1.036e-01	1.677e-01	2.795e-01	2.795e-01	2.728e-01	2.795e-01	2.795e-01	5.937e-02	1.392e-01
2.487e-02	0.000e+00	1.023e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.728e-01	4.899e-02	7.500e-02	7.500e-02	6.379e-02	1.559e-01	2.795e-01	2.795e-01	2.504e-01	2.795e-01	2.795e-01	0.000e+00	1.251e-01
8.124e-02	8.124e-02	1.244e-01	2.795e-01	2.795e-01	2.635e-01	2.795e-01	2.741e-01	0.000e+00	7.155e-02	9.823e-02	7.822e-02	1.728e-01	2.795e-01	2.795e-01	2.728e-01	2.795e-01	2.741e-01	4.265e-02	1.279e-01
9.165e-02	2.487e-02	1.600e-01	2.575e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	8.292e-02	5.449e-02	1.083e-01	9.391e-02	1.323e-01	2.795e-01	2.795e-01	2.504e-01	2.795e-01	2.708e-01	7.155e-02	1.391e-01
7.822e-02	1.305e-01	1.139e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.487e-02	8.197e-02	6.495e-02	4.899e-02	1.520e-01	2.795e-01	2.670e-01	2.575e-01	2.795e-01	2.795e-01	2.487e-02	1.251e-01
1.230e-01	1.052e-01	1.414e-01	2.795e-01	2.795e-01	2.708e-01	2.795e-01	2.781e-01	4.899e-02	1.231e-01	7.155e-02	1.158e-01	1.684e-01	2.795e-01	2.670e-01	2.795e-01	2.795e-01	2.795e-01	5.449e-02	1.399e-01
1.068e-01	9.808e-02	1.062e-01	2.728e-01	2.670e-01	2.670e-01	2.795e-01	2.795e-01	3.500e-02	1.199e-01	1.219e-01	6.782e-02	1.662e-01	2.728e-01	2.795e-01	2.575e-01	2.795e-01	2.795e-01	6.782e-02	1.236e-01
4.899e-02	9.601e-02	1.639e-01	2.635e-01	2.795e-01	2.795e-01	2.795e-01	2.371e-01	1.238e-01	1.101e-01	9.121e-02	8.860e-02	1.386e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	3.500e-02	1.297e-01
4.265e-02	8.408e-02	7.293e-02	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	5.449e-02	7.500e-02	7.500e-02	6.379e-02	1.585e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.670e-01	4.899e-02	1.335e-01
8.842e-02	2.487e-02	6.379e-02	2.795e-01	2.795e-01	2.795e-01	2.795e-01	2.795e-01	4.899e-02	4.265e-02	9.391e-02	7.500e-02	1.672e-01	2.795e-01	2.670e-01	2.504e-01	2.795e-01	2.795e-01	4.265e-02	9.605e-02
7.822e-02	4.265e-02	1.225e-01	2.708e-01	2.795e-01	2.795e-01	2.795e-01	2.619e-01	4.899e-02	1.068e-01	6.379e-02	4.265e-02	1.440e-01	2.795e-01	2.670e-01	2.728e-01	2.795e-01	2.795e-01	2.487e-02	1.134e-01
8.584e-02	9.605e-02	1.289e-01	2.575e-01	2.670e-01	2.619e-01	2.795e-01	2.728e-01	6.782e-02	8.927e-02	1.379e-01	4.899e-02	1.778e-01	2.741e-01	2.670e-01	2.728e-01	2.795e-01	2.795e-01	6.495e-02	1.308e-01
