_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
3.435e-02	6.816e-02	6.757e-03	1.770e-01	7.449e-02	2.068e-01	0.000e+00	1.958e-01	6.182e-02	4.812e-02	5.190e-02	7.090e-02	4.828e-03	1.768e-01	7.753e-02	1.650e-01	0.000e+00	1.673e-01	4.764e-02	4.319e-02
2.670e-02	7.067e-02	4.828e-03	1.552e-01	1.087e-01	1.626e-01	0.000e+00	1.535e-01	7.120e-02	4.660e-02	4.593e-02	6.780e-02	8.798e-03	1.213e-01	1.148e-01	1.651e-01	0.000e+00	1.638e-01	5.181e-02	3.694e-02
5.504e-02	6.001e-02	5.882e-03	1.606e-01	7.121e-02	1.117e-01	0.000e+00	1.517e-01	7.479e-02	2.683e-02	6.348e-02	6.174e-02	8.798e-03	2.010e-01	1.166e-01	1.659e-01	0.000e+00	1.480e-01	5.914e-02	4.461e-02
7.269e-02	4.032e-02	0.000e+00	1.216e-01	8.577e-02	1.597e-01	0.000e+00	2.041e-01	4.509e-02	3.716e-02	6.113e-02	6.862e-02	3.431e-03	1.079e-01	8.343e-02	1.227e-01	1.493e-02	2.183e-01	6.214e-02	5.427e-02
3.779e-02	5.384e-02	1.160e-02	1.930e-01	1.145e-01	1.611e-01	0.000e+00	2.068e-01	4.007e-02	4.118e-02	6.710e-02	6.280e-02	1.160e-02	1.634e-01	8.500e-02	1.134e-01	1.493e-02	1.388e-01	3.358e-02	3.565e-02
8.957e-02	6.804e-02	3.431e-03	1.556e-01	1.136e-01	1.653e-01	0.000e+00	2.200e-01	5.624e-02	2.301e-02	4.560e-02	5.558e-02	4.828e-03	1.302e-01	7.377e-02	1.562e-01	0.000e+00	1.658e-01	5.149e-02	3.639e-02
5.254e-02	5.482e-02	0.000e+00	1.243e-01	7.901e-02	1.637e-01	1.493e-02	1.472e-01	7.017e-02	2.771e-02	5.983e-02	5.432e-02	0.000e+00	1.713e-01	1.094e-01	1.556e-01	1.724e-02	1.958e-01	6.182e-02	4.079e-02
6.130e-02	5.080e-02	0.000e+00	1.668e-01	8.025e-02	1.640e-01	1.493e-02	1.913e-01	6.524e-02	2.307e-02	5.643e-02	6.032e-02	3.431e-03	1.680e-01	8.383e-02	1.645e-01	0.000e+00	1.964e-01	3.614e-02	3.194e-02
3.216e-02	3.607e-02	0.000e+00	1.183e-01	8.005e-02	1.616e-01	1.493e-02	1.525e-01	6.954e-02	3.396e-02	6.197e-02	9.524e-02	4.828e-03	1.686e-01	1.041e-01	1.759e-01	0.000e+00	1.254e-01	5.963e-02	4.402e-02
4.265e-02	2.404e-02	1.079e-02	1.222e-01	1.272e-01	1.584e-01	0.000e+00	1.563e-01	5.613e-02	2.041e-02	6.367e-02	6.835e-02	5.882e-03	1.629e-01	7.392e-02	1.133e-01	1.493e-02	1.639e-01	5.103e-02	3.805e-02
7.368e-02	4.151e-02	3.431e-03	1.643e-01	8.505e-02	1.224e-01	0.000e+00	1.467e-01	4.530e-02	2.623e-02	5.536e-02	6.079e-02	5.882e-03	1.656e-01	7.980e-02	1.231e-01	0.000e+00	2.062e-01	4.653e-02	3.753e-02
4.582e-02	7.486e-02	0.000e+00	1.632e-01	7.563e-02	2.054e-01	0.000e+00	2.283e-01	6.118e-02	4.248e-02	5.125e-02	6.427e-02	4.828e-03	1.665e-01	7.449e-02	1.258e-01	3.448e-02	1.534e-01	4.664e-02	4.052e-02
2.847e-02	7.816e-02	3.431e-03	1.564e-01	8.128e-02	1.571e-01	0.000e+00	1.159e-01	4.699e-02	3.748e-02	4.750e-02	5.685e-02	0.000e+00	1.639e-01	8.500e-02	1.183e-01	0.000e+00	1.175e-01	5.943e-02	4.010e-02
4.112e-02	4.690e-02	0.000e+00	1.163e-01	7.510e-02	2.294e-01	0.000e+00	1.114e-01	6.053e-02	3.452e-02	6.340e-02	7.305e-02	4.828e-03	1.199e-01	8.954e-02	2.399e-01	0.000e+00	2.009e-01	4.562e-02	3.953e-02
2.742e-02	7.178e-02	0.000e+00	1.630e-01	1.217e-01	2.066e-01	0.000e+00	1.681e-01	3.856e-02	1.710e-02	6.079e-02	7.144e-02	6.757e-03	1.103e-01	7.679e-02	1.618e-01	0.000e+00	1.608e-01	4.517e-02	3.452e-02
5.628e-02	7.672e-02	1.789e-02	1.161e-01	7.901e-02	1.744e-01	0.000e+00	2.157e-01	5.528e-02	3.736e-02	5.695e-02	6.752e-02	6.757e-03	1.351e-01	8.458e-02	1.528e-01	0.000e+00	2.040e-01	5.154e-02	4.129e-02
4.762e-02	4.005e-02	0.000e+00	1.983e-01	7.497e-02	2.343e-01	0.000e+00	1.350e-01	5.954e-02	2.443e-02	5.878e-02	5.874e-02	7.515e-03	2.033e-01	7.052e-02	1.559e-01	1.724e-02	1.276e-01	4.849e-02	4.394e-02
5.791e-02	6.711e-02	8.189e-03	1.548e-01	8.114e-02	1.602e-01	1.493e-02	2.312e-01	4.370e-02	2.053e-02	7.424e-02	5.032e-02	0.000e+00	1.294e-01	7.510e-02	1.643e-01	0.000e+00	1.527e-01	5.129e-02	6.561e-02
2.737e-02	3.780e-02	0.000e+00	1.655e-01	1.143e-01	1.219e-01	0.000e+00	1.619e-01	7.386e-02	1.973e-02	5.810e-02	7.537e-02	3.431e-03	1.236e-01	8.143e-02	1.639e-01	0.000e+00	1.904e-01	4.874e-02	3.671e-02
4.287e-02	4.985e-02	0.000e+00	1.655e-01	6.967e-02	1.556e-01	0.000e+00	1.026e-01	7.339e-02	3.413e-02	7.732e-02	6.656e-02	8.798e-03	1.708e-01	7.896e-02	1.964e-01	0.000e+00	1.267e-01	5.639e-02	3.257e-02
3.145e-02	4.295e-02	8.798e-03	1.296e-01	1.149e-01	1.258e-01	1.493e-02	1.626e-01	5.149e-02	2.262e-02	5.726e-02	5.320e-02	3.431e-03	1.612e-01	7.755e-02	1.616e-01	0.000e+00	1.535e-01	5.756e-02	3.632e-02
6.559e-02	5.439e-02	0.000e+00	1.622e-01	8.020e-02	1.659e-01	0.000e+00	1.139e-01	5.798e-02	1.454e-02	6.013e-02	6.120e-02	6.757e-03	1.286e-01	7.854e-02	2.011e-01	0.000e+00	1.627e-01	5.537e-02	3.928e-02
5.053e-02	1.152e-01	0.000e+00	1.603e-01	8.805e-02	1.542e-01	0.000e+00	1.523e-01	5.168e-02	2.831e-02	6.972e-02	8.906e-02	1.379e-02	1.507e-01	1.103e-01	2.178e-01	0.000e+00	2.258e-01	5.300e-02	4.282e-02
4.015e-02	4.441e-02	0.000e+00	1.722e-01	1.236e-01	2.035e-01	1.493e-02	2.180e-01	5.923e-02	3.179e-02	5.252e-02	5.710e-02	6.757e-03	2.077e-01	7.646e-02	1.239e-01	0.000e+00	1.160e-01	4.926e-02	4.535e-02
3.605e-02	4.766e-02	3.431e-03	1.486e-01	1.112e-01	2.075e-01	0.000e+00	1.664e-01	5.161e-02	4.348e-02	6.115e-02	6.659e-02	4.828e-03	1.705e-01	1.199e-01	1.503e-01	1.493e-02	1.302e-01	5.333e-02	3.539e-02
4.593e-02	9.669e-02	1.325e-02	1.261e-01	8.365e-02	1.978e-01	0.000e+00	1.958e-01	5.821e-02	3.080e-02	5.250e-02	5.827e-02	8.189e-03	1.609e-01	1.117e-01	1.435e-01	0.000e+00	1.929e-01	5.575e-02	3.898e-02
6.544e-02	6.350e-02	8.189e-03	2.055e-01	9.391e-02	1.256e-01	0.000e+00	1.517e-01	3.678e-02	2.443e-02	5.650e-02	5.832e-02	3.431e-03	2.084e-01	8.917e-02	1.621e-01	0.000e+00	1.577e-01	3.994e-02	4.347e-02
5.920e-02	8.492e-02	0.000e+00	1.735e-01	1.134e-01	2.219e-01	0.000e+00	1.332e-01	4.984e-02	3.402e-02	5.418e-02	7.434e-02	8.798e-03	1.219e-01	7.980e-02	1.985e-01	0.000e+00	1.904e-01	3.629e-02	5.716e-02
2.629e-02	3.289e-02	3.431e-03	1.208e-01	7.377e-02	1.537e-01	0.000e+00	1.601e-01	3.730e-02	2.771e-02	6.072e-02	5.571e-02	4.828e-03	1.666e-01	7.377e-02	1.243e-01	1.493e-02	2.191e-01	4.792e-02	4.810e-02
1.969e-02	4.118e-02	0.000e+00	1.231e-01	1.122e-01	1.169e-01	0.000e+00	1.540e-01	6.580e-02	2.648e-02	6.944e-02	6.796e-02	7.515e-03	1.525e-01	6.911e-02	1.574e-01	0.000e+00	1.559e-01	6.640e-02	3.726e-02
