_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
9.866e-02	1.127e-01	6.984e-02	1.385e-01	1.586e-01	1.357e-01	1.590e-01	1.461e-01	8.854e-02	1.401e-01	1.311e-01	1.225e-01	9.915e-02	1.342e-01	1.403e-01	1.039e-01	1.590e-01	1.415e-01	1.081e-01	1.197e-01
7.357e-02	1.196e-01	1.035e-01	1.075e-01	1.487e-01	1.147e-01	1.590e-01	1.352e-01	1.205e-01	1.057e-01	1.412e-01	1.175e-01	1.112e-01	9.408e-02	1.319e-01	1.142e-01	1.590e-01	1.376e-01	1.150e-01	1.113e-01
1.366e-01	1.015e-01	4.416e-02	1.230e-01	1.584e-01	1.063e-01	1.590e-01	1.244e-01	8.410e-02	1.473e-01	1.255e-01	1.095e-01	1.058e-01	1.039e-01	1.668e-01	1.262e-01	1.590e-01	1.602e-01	1.051e-01	1.090e-01
1.068e-01	9.900e-02	5.041e-02	1.658e-01	1.315e-01	1.510e-01	1.590e-01	1.358e-01	8.781e-02	9.239e-02	1.169e-01	1.188e-01	9.045e-02	1.547e-01	1.357e-01	1.422e-01	1.179e-01	1.244e-01	9.956e-02	1.120e-01
8.553e-02	1.112e-01	8.698e-02	1.417e-01	1.776e-01	1.552e-01	1.590e-01	1.550e-01	9.580e-02	8.219e-02	1.272e-01	1.420e-01	8.070e-02	1.053e-01	1.437e-01	1.466e-01	1.590e-01	1.362e-01	9.685e-02	1.008e-01
8.348e-02	1.062e-01	5.927e-02	1.659e-01	1.568e-01	1.207e-01	1.590e-01	1.284e-01	9.948e-02	1.257e-01	1.440e-01	1.356e-01	9.751e-02	1.422e-01	1.586e-01	7.102e-02	1.590e-01	1.342e-01	8.773e-02	1.092e-01
1.162e-01	9.583e-02	5.821e-02	1.422e-01	1.476e-01	1.052e-01	1.590e-01	1.405e-01	6.926e-02	8.992e-02	1.386e-01	1.283e-01	8.873e-02	1.499e-01	1.442e-01	1.425e-01	1.590e-01	1.357e-01	1.120e-01	1.078e-01
1.060e-01	1.209e-01	7.076e-02	1.357e-01	1.476e-01	1.341e-01	1.590e-01	1.603e-01	6.479e-02	8.996e-02	1.488e-01	1.267e-01	9.752e-02	1.033e-01	1.586e-01	1.322e-01	1.590e-01	1.479e-01	1.132e-01	9.370e-02
1.001e-01	9.080e-02	9.103e-02	1.099e-01	1.422e-01	1.304e-01	1.590e-01	1.464e-01	1.004e-01	4.352e-02	1.139e-01	1.514e-01	7.711e-02	1.145e-01	1.463e-01	1.116e-01	1.590e-01	1.659e-01	1.090e-01	1.019e-01
7.655e-02	8.553e-02	8.356e-02	1.219e-01	1.590e-01	1.262e-01	1.590e-01	1.485e-01	8.294e-02	7.822e-02	1.348e-01	1.127e-01	8.534e-02	1.224e-01	1.051e-01	1.440e-01	1.590e-01	1.319e-01	7.918e-02	1.167e-01
1.435e-01	1.746e-01	8.020e-02	1.699e-01	1.403e-01	1.438e-01	1.590e-01	1.658e-01	1.253e-01	8.366e-02	1.165e-01	1.209e-01	9.727e-02	1.456e-01	1.497e-01	7.952e-02	1.590e-01	1.625e-01	9.988e-02	1.057e-01
