_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
2.553e-02	8.056e-02	4.242e-03	1.799e-01	5.596e-02	1.920e-01	0.000e+00	1.682e-01	4.934e-02	4.119e-02	5.047e-02	7.366e-02	0.000e+00	1.642e-01	6.348e-02	1.542e-01	0.000e+00	1.436e-01	4.698e-02	2.940e-02
2.362e-02	6.546e-02	4.242e-03	1.322e-01	9.561e-02	1.482e-01	0.000e+00	1.237e-01	8.451e-02	4.464e-02	4.907e-02	5.734e-02	7.732e-03	1.127e-01	9.655e-02	1.472e-01	0.000e+00	1.293e-01	5.218e-02	3.192e-02
4.785e-02	5.231e-02	0.000e+00	1.458e-01	4.707e-02	1.011e-01	0.000e+00	1.297e-01	6.825e-02	3.143e-02	5.410e-02	5.021e-02	3.015e-03	1.733e-01	9.309e-02	1.488e-01	0.000e+00	1.145e-01	6.049e-02	3.743e-02
7.210e-02	3.526e-02	0.000e+00	1.396e-01	7.474e-02	1.545e-01	0.000e+00	1.802e-01	4.063e-02	2.549e-02	6.304e-02	6.738e-02	3.015e-03	1.052e-01	6.468e-02	1.130e-01	0.000e+00	1.917e-01	5.529e-02	3.785e-02
3.282e-02	5.539e-02	7.732e-03	1.801e-01	9.964e-02	1.382e-01	0.000e+00	1.793e-01	3.983e-02	2.268e-02	4.912e-02	5.723e-02	1.019e-02	1.619e-01	7.196e-02	9.803e-02	1.312e-02	1.260e-01	3.745e-02	3.008e-02
9.168e-02	6.002e-02	0.000e+00	1.625e-01	1.015e-01	1.639e-01	0.000e+00	2.029e-01	5.483e-02	2.342e-02	4.895e-02	4.839e-02	3.015e-03	1.334e-01	5.000e-02	1.382e-01	0.000e+00	1.396e-01	4.562e-02	3.218e-02
4.210e-02	3.793e-02	0.000e+00	1.364e-01	5.863e-02	1.497e-01	1.312e-02	1.167e-01	6.203e-02	2.254e-02	4.464e-02	5.260e-02	0.000e+00	1.734e-01	9.907e-02	1.452e-01	1.515e-02	1.714e-01	6.408e-02	3.359e-02
6.023e-02	5.782e-02	0.000e+00	1.588e-01	5.731e-02	1.592e-01	1.312e-02	1.697e-01	5.787e-02	2.477e-02	5.183e-02	5.699e-02	0.000e+00	1.568e-01	6.288e-02	1.460e-01	0.000e+00	1.775e-01	4.094e-02	2.693e-02
2.665e-02	3.186e-02	0.000e+00	9.731e-02	5.647e-02	1.303e-01	1.312e-02	1.273e-01	7.053e-02	3.147e-02	5.741e-02	1.005e-01	3.015e-03	1.667e-01	8.227e-02	1.555e-01	0.000e+00	1.049e-01	4.726e-02	3.576e-02
4.169e-02	2.179e-02	0.000e+00	1.197e-01	1.118e-01	1.380e-01	0.000e+00	1.269e-01	5.480e-02	1.734e-02	5.952e-02	7.132e-02	4.242e-03	1.600e-01	6.461e-02	1.198e-01	1.312e-02	1.377e-01	4.961e-02	3.092e-02
5.854e-02	6.469e-02	0.000e+00	1.676e-01	7.405e-02	9.897e-02	0.000e+00	1.114e-01	5.594e-02	2.539e-02	5.416e-02	5.220e-02	4.242e-03	1.487e-01	6.759e-02	1.122e-01	0.000e+00	1.646e-01	4.970e-02	2.884e-02
5.313e-02	7.705e-02	0.000e+00	1.581e-01	6.646e-02	1.827e-01	0.000e+00	2.035e-01	5.728e-02	3.659e-02	4.545e-02	7.931e-02	0.000e+00	1.718e-01	6.118e-02	1.103e-01	3.030e-02	1.333e-01	4.858e-02	2.580e-02
2.617e-02	7.022e-02	3.015e-03	1.460e-01	6.939e-02	1.346e-01	0.000e+00	1.033e-01	5.479e-02	2.954e-02	3.914e-02	5.238e-02	0.000e+00	1.616e-01	6.939e-02	8.427e-02	0.000e+00	1.050e-01	5.224e-02	3.624e-02
2.869e-02	4.244e-02	0.000e+00	1.183e-01	6.348e-02	2.119e-01	0.000e+00	9.083e-02	6.282e-02	3.624e-02	4.773e-02	6.248e-02	3.015e-03	1.169e-01	7.966e-02	2.228e-01	0.000e+00	1.671e-01	5.214e-02	3.457e-02
2.891e-02	6.046e-02	0.000e+00	1.561e-01	9.613e-02	1.786e-01	0.000e+00	1.426e-01	3.102e-02	1.216e-02	5.629e-02	6.772e-02	5.938e-03	9.812e-02	5.183e-02	1.348e-01	0.000e+00	1.436e-01	4.696e-02	3.561e-02
3.696e-02	6.595e-02	4.242e-03	9.549e-02	6.943e-02	1.511e-01	0.000e+00	1.920e-01	5.944e-02	3.183e-02	4.566e-02	6.362e-02	0.000e+00	1.272e-01	7.402e-02	1.253e-01	0.000e+00	1.838e-01	4.391e-02	3.732e-02
3.401e-02	4.063e-02	0.000e+00	1.904e-01	4.882e-02	2.115e-01	0.000e+00	1.017e-01	5.955e-02	2.383e-02	4.944e-02	6.576e-02	6.604e-03	1.936e-01	6.123e-02	1.423e-01	1.515e-02	1.076e-01	5.313e-02	3.894e-02
4.609e-02	6.444e-02	7.197e-03	1.636e-01	7.131e-02	1.469e-01	0.000e+00	1.917e-01	4.951e-02	1.445e-02	6.096e-02	4.731e-02	0.000e+00	1.374e-01	5.846e-02	1.549e-01	0.000e+00	1.220e-01	4.645e-02	5.634e-02
2.404e-02	3.672e-02	0.000e+00	1.542e-01	9.441e-02	9.670e-02	0.000e+00	1.287e-01	6.806e-02	1.595e-02	5.517e-02	5.599e-02	3.015e-03	1.275e-01	6.902e-02	1.672e-01	0.000e+00	1.639e-01	4.100e-02	2.907e-02
4.838e-02	5.928e-02	0.000e+00	1.522e-01	5.384e-02	1.340e-01	0.000e+00	9.063e-02	5.738e-02	3.015e-02	6.922e-02	5.876e-02	5.938e-03	1.547e-01	6.308e-02	1.745e-01	0.000e+00	9.722e-02	5.433e-02	3.218e-02
2.848e-02	2.787e-02	7.732e-03	1.174e-01	1.021e-01	1.008e-01	1.312e-02	1.398e-01	5.871e-02	1.981e-02	5.615e-02	4.616e-02	0.000e+00	1.509e-01	5.646e-02	1.390e-01	0.000e+00	1.309e-01	6.643e-02	3.186e-02
6.164e-02	5.835e-02	0.000e+00	1.610e-01	7.048e-02	1.450e-01	0.000e+00	8.751e-02	4.523e-02	1.747e-02	5.359e-02	5.408e-02	4.242e-03	1.409e-01	6.308e-02	1.896e-01	0.000e+00	1.334e-01	5.233e-02	3.274e-02
3.773e-02	1.066e-01	0.000e+00	1.666e-01	7.966e-02	1.355e-01	0.000e+00	1.298e-01	5.193e-02	2.041e-02	5.563e-02	8.330e-02	1.138e-02	1.502e-01	8.104e-02	2.104e-01	0.000e+00	2.026e-01	5.789e-02	3.236e-02
3.220e-02	3.781e-02	0.000e+00	1.647e-01	1.071e-01	1.799e-01	0.000e+00	1.963e-01	5.106e-02	3.134e-02	5.059e-02	5.268e-02	3.015e-03	2.098e-01	6.757e-02	9.959e-02	0.000e+00	9.566e-02	4.555e-02	3.366e-02
3.160e-02	5.123e-02	0.000e+00	1.386e-01	9.611e-02	1.922e-01	0.000e+00	1.470e-01	4.501e-02	4.819e-02	6.289e-02	6.923e-02	4.242e-03	1.579e-01	1.060e-01	1.439e-01	1.312e-02	1.249e-01	5.039e-02	2.565e-02
4.616e-02	7.060e-02	0.000e+00	1.304e-01	7.433e-02	1.883e-01	0.000e+00	1.576e-01	5.994e-02	3.500e-02	5.573e-02	5.782e-02	5.169e-03	1.603e-01	9.230e-02	1.241e-01	0.000e+00	1.654e-01	6.862e-02	3.420e-02
4.479e-02	5.359e-02	0.000e+00	1.889e-01	7.227e-02	1.312e-01	0.000e+00	1.253e-01	3.510e-02	1.934e-02	5.171e-02	5.337e-02	3.015e-03	2.087e-01	8.249e-02	1.536e-01	0.000e+00	1.347e-01	5.077e-02	3.818e-02
3.853e-02	6.388e-02	0.000e+00	1.571e-01	1.036e-01	1.969e-01	0.000e+00	1.065e-01	4.918e-02	2.739e-02	4.545e-02	7.463e-02	4.242e-03	1.363e-01	6.306e-02	1.821e-01	0.000e+00	1.648e-01	4.231e-02	4.682e-02
2.790e-02	3.773e-02	0.000e+00	1.127e-01	6.585e-02	1.439e-01	0.000e+00	1.533e-01	3.520e-02	1.534e-02	4.846e-02	5.330e-02	0.000e+00	1.547e-01	5.169e-02	1.074e-01	1.312e-02	1.801e-01	4.580e-02	4.218e-02
