x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	5.623e-01	2.430e-01	2.309e-01	4.281e-02	1.057e-02
0	4	4.191e-01	1.384e-01	2.227e-02	8.660e-03	8.660e-03
0	5	nan	5.602e-01	2.410e-01	2.300e-01	3.791e-02
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	6.722e-01	8.588e-02	7.982e-02	7.982e-02	7.982e-02
1	4	3.449e-01	2.315e-01	9.361e-02	2.148e-02	2.148e-02
1	5	nan	5.601e-01	2.314e-01	4.565e-02	2.070e-02
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	5.682e-01	3.999e-01	2.467e-01	5.078e-02	2.835e-02
2	4	5.617e-01	5.600e-01	2.302e-01	3.959e-02	6.364e-04
2	5	nan	5.600e-01	2.315e-01	2.315e-01	4.377e-02
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	2.381e-01
3	4	nan	nan	nan	9.737e-02	5.126e-02
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
