x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	6.583e-01	2.317e-01	4.752e-02	4.752e-02	4.752e-02
0	1	2.491e-01	2.330e-02	1.198e-02	1.198e-02	1.198e-02
0	2	5.868e-01	1.620e-01	8.088e-02	7.488e-02	1.366e-02
0	3	nan	9.433e-02	9.433e-02	1.785e-02	8.426e-04
0	4	nan	nan	1.049e-01	2.932e-02	1.312e-02
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	nan	2.556e-01	2.550e-01	1.402e-01	7.735e-02
1	1	4.296e-01	6.474e-02	6.474e-02	4.595e-02	4.595e-02
1	2	6.572e-01	1.435e-01	6.056e-02	4.644e-02	2.390e-02
1	3	nan	5.060e-02	3.189e-02	3.189e-02	3.189e-02
1	4	nan	6.620e-01	4.236e-02	4.236e-02	2.561e-02
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	3.947e-01	3.215e-01	2.336e-01	1.328e-01
2	1	nan	2.538e-01	1.423e-01	1.001e-01	1.001e-01
2	2	nan	2.294e-01	9.840e-02	4.547e-02	4.233e-02
2	3	nan	2.278e-01	2.073e-01	9.827e-02	4.544e-02
2	4	nan	2.089e-01	9.828e-02	2.721e-03	2.721e-03
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	6.504e-01	3.940e-01	1.651e-01
3	1	nan	nan	2.273e-01	5.672e-02	5.672e-02
3	2	nan	nan	nan	nan	nan
3	3	nan	6.924e-01	2.181e-01	2.218e-03	2.218e-03
3	4	nan	nan	2.000e-01	1.066e-01	9.061e-03
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
