n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.sd.max
1.000e+02	2.041e-01	2.041e-01	2.795e-01	1.871e-01	1.863e-01	2.041e-01	1.750e-01	1.250e-01	1.750e-01	1.225e-01	1.225e-01	1.250e-01	1.179e-01	1.179e-01	1.250e-01	1.677e-01	1.624e-01	1.705e-01	1.306e-01	1.219e-01	1.372e-01	1.018e-01	9.782e-02	1.078e-01	7.155e-02	6.782e-02	7.822e-02	4.899e-02	3.500e-02	5.449e-02	2.041e-01	2.041e-01	2.795e-01	1.871e-01	1.863e-01	2.041e-01	1.750e-01	1.250e-01	1.750e-01	1.225e-01	1.225e-01	1.250e-01	1.179e-01	1.179e-01	1.250e-01	1.677e-01	1.624e-01	1.705e-01	1.306e-01	1.219e-01	1.372e-01	1.018e-01	9.782e-02	1.078e-01	7.155e-02	6.782e-02	7.822e-02	4.899e-02	3.500e-02	5.449e-02
2.000e+02	2.795e-01	2.041e-01	2.795e-01	2.041e-01	1.871e-01	2.082e-01	1.952e-01	1.750e-01	1.952e-01	1.250e-01	1.237e-01	1.750e-01	1.250e-01	1.179e-01	1.250e-01	1.680e-01	1.596e-01	1.741e-01	1.312e-01	1.269e-01	1.365e-01	1.003e-01	9.165e-02	1.078e-01	7.500e-02	6.379e-02	7.822e-02	4.899e-02	4.265e-02	5.449e-02	2.795e-01	2.041e-01	2.795e-01	2.041e-01	1.871e-01	2.082e-01	1.821e-01	1.740e-01	1.952e-01	1.250e-01	1.237e-01	1.750e-01	1.250e-01	1.250e-01	1.250e-01	1.648e-01	1.584e-01	1.726e-01	1.333e-01	1.258e-01	1.422e-01	1.023e-01	9.605e-02	1.110e-01	7.155e-02	6.379e-02	7.649e-02	4.899e-02	3.500e-02	5.449e-02
3.000e+02	2.795e-01	2.041e-01	2.795e-01	2.041e-01	1.952e-01	2.082e-01	1.952e-01	1.750e-01	1.964e-01	1.667e-01	1.237e-01	1.750e-01	1.250e-01	1.250e-01	1.250e-01	1.662e-01	1.604e-01	1.733e-01	1.323e-01	1.236e-01	1.377e-01	1.000e-01	8.927e-02	1.101e-01	6.910e-02	6.379e-02	7.500e-02	4.899e-02	4.265e-02	5.937e-02	2.795e-01	2.041e-01	2.795e-01	2.082e-01	1.952e-01	2.082e-01	1.952e-01	1.740e-01	1.952e-01	1.740e-01	1.250e-01	1.863e-01	1.250e-01	1.250e-01	1.250e-01	1.639e-01	1.577e-01	1.706e-01	1.323e-01	1.270e-01	1.384e-01	1.036e-01	9.165e-02	1.101e-01	7.155e-02	6.379e-02	8.124e-02	4.899e-02	3.500e-02	5.449e-02
4.000e+02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.082e-01	1.952e-01	1.750e-01	2.041e-01	1.667e-01	1.250e-01	1.952e-01	1.250e-01	1.250e-01	1.750e-01	1.672e-01	1.621e-01	1.733e-01	1.318e-01	1.236e-01	1.369e-01	9.823e-02	9.367e-02	1.078e-01	7.155e-02	6.379e-02	7.822e-02	4.899e-02	4.265e-02	5.449e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.082e-01	1.952e-01	1.750e-01	1.964e-01	1.667e-01	1.250e-01	1.871e-01	1.250e-01	1.250e-01	1.750e-01	1.624e-01	1.568e-01	1.727e-01	1.318e-01	1.270e-01	1.414e-01	1.043e-01	9.605e-02	1.118e-01	7.500e-02	6.495e-02	8.124e-02	4.899e-02	3.500e-02	5.449e-02
5.000e+02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.165e-01	1.952e-01	1.871e-01	2.041e-01	1.843e-01	1.607e-01	1.952e-01	1.250e-01	1.250e-01	1.871e-01	1.669e-01	1.607e-01	1.746e-01	1.323e-01	1.188e-01	1.365e-01	9.808e-02	8.927e-02	1.061e-01	6.782e-02	6.042e-02	8.124e-02	4.899e-02	4.265e-02	5.937e-02	2.795e-01	2.795e-01	2.795e-01	2.082e-01	1.952e-01	2.480e-01	1.952e-01	1.750e-01	1.964e-01	1.843e-01	1.250e-01	1.871e-01	1.250e-01	1.250e-01	1.871e-01	1.639e-01	1.581e-01	1.726e-01	1.353e-01	1.293e-01	1.404e-01	1.052e-01	9.605e-02	1.097e-01	7.500e-02	6.910e-02	8.408e-02	4.899e-02	3.500e-02	4.899e-02
6.000e+02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.449e-01	1.952e-01	1.952e-01	2.077e-01	1.871e-01	1.654e-01	1.952e-01	1.871e-01	1.250e-01	1.952e-01	1.655e-01	1.577e-01	1.756e-01	1.316e-01	1.199e-01	1.365e-01	9.808e-02	8.927e-02	1.078e-01	6.782e-02	5.937e-02	7.649e-02	4.899e-02	4.265e-02	6.379e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.485e-01	1.952e-01	1.871e-01	2.041e-01	1.871e-01	1.250e-01	1.871e-01	1.863e-01	1.250e-01	1.964e-01	1.658e-01	1.561e-01	1.706e-01	1.333e-01	1.260e-01	1.393e-01	1.023e-01	9.165e-02	1.094e-01	7.155e-02	6.782e-02	8.860e-02	4.265e-02	3.500e-02	5.449e-02
7.000e+02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.449e-01	1.964e-01	1.952e-01	2.077e-01	1.871e-01	1.667e-01	1.964e-01	1.871e-01	1.250e-01	2.041e-01	1.669e-01	1.596e-01	1.768e-01	1.269e-01	1.200e-01	1.353e-01	9.808e-02	8.675e-02	1.061e-01	6.782e-02	5.937e-02	7.500e-02	4.899e-02	4.265e-02	5.937e-02	2.795e-01	2.795e-01	2.795e-01	1.952e-01	1.952e-01	2.449e-01	1.964e-01	1.871e-01	2.041e-01	1.871e-01	1.654e-01	1.952e-01	1.952e-01	1.250e-01	2.041e-01	1.668e-01	1.538e-01	1.706e-01	1.340e-01	1.258e-01	1.418e-01	1.018e-01	9.391e-02	1.118e-01	7.155e-02	6.379e-02	8.408e-02	4.899e-02	3.500e-02	5.449e-02
8.000e+02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.449e-01	1.964e-01	1.952e-01	2.077e-01	1.871e-01	1.667e-01	1.981e-01	1.890e-01	1.250e-01	2.041e-01	1.662e-01	1.592e-01	1.741e-01	1.250e-01	1.188e-01	1.353e-01	9.808e-02	8.927e-02	1.061e-01	6.782e-02	5.937e-02	7.500e-02	4.899e-02	4.265e-02	6.379e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.449e-01	1.964e-01	1.871e-01	2.041e-01	1.871e-01	1.667e-01	1.964e-01	1.952e-01	1.667e-01	2.041e-01	1.655e-01	1.530e-01	1.705e-01	1.317e-01	1.244e-01	1.410e-01	1.036e-01	9.165e-02	1.125e-01	7.500e-02	6.782e-02	8.584e-02	4.899e-02	2.487e-02	5.449e-02
9.000e+02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.449e-01	1.981e-01	1.952e-01	2.384e-01	1.871e-01	1.843e-01	2.041e-01	1.952e-01	1.871e-01	2.041e-01	1.645e-01	1.591e-01	1.756e-01	1.260e-01	1.188e-01	1.343e-01	9.605e-02	8.927e-02	1.061e-01	6.782e-02	6.379e-02	7.500e-02	4.899e-02	4.265e-02	5.937e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.449e-01	1.964e-01	1.871e-01	2.041e-01	1.871e-01	1.740e-01	1.981e-01	1.952e-01	1.821e-01	2.041e-01	1.655e-01	1.561e-01	1.689e-01	1.327e-01	1.250e-01	1.425e-01	1.018e-01	9.165e-02	1.083e-01	7.500e-02	6.782e-02	8.124e-02	4.899e-02	3.500e-02	5.937e-02
1.000e+03	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.485e-01	2.041e-01	1.952e-01	2.485e-01	1.964e-01	1.871e-01	2.041e-01	1.952e-01	1.871e-01	2.041e-01	1.648e-01	1.575e-01	1.735e-01	1.285e-01	1.166e-01	1.353e-01	9.808e-02	9.165e-02	1.062e-01	6.782e-02	5.937e-02	7.155e-02	4.899e-02	4.265e-02	5.937e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.449e-01	1.981e-01	1.952e-01	2.041e-01	1.874e-01	1.843e-01	1.981e-01	2.041e-01	1.821e-01	2.041e-01	1.661e-01	1.504e-01	1.705e-01	1.353e-01	1.260e-01	1.425e-01	1.043e-01	9.605e-02	1.094e-01	7.155e-02	6.782e-02	8.124e-02	4.265e-02	2.487e-02	5.937e-02
