n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.max
1.000e+02	0.000e+00	0.000e+00	0.000e+00	5.068e-02	3.680e-02	6.216e-02	7.292e-02	6.073e-02	8.128e-02	8.368e-02	7.680e-02	8.903e-02	5.100e-02	4.301e-02	5.861e-02	5.882e-03	4.828e-03	5.882e-03	4.005e-02	3.758e-02	4.251e-02	5.785e-02	5.433e-02	6.040e-02	5.974e-02	5.743e-02	6.213e-02	4.670e-02	4.397e-02	4.964e-02	0.000e+00	0.000e+00	0.000e+00	5.068e-02	3.517e-02	6.109e-02	6.897e-02	6.347e-02	8.749e-02	8.447e-02	7.360e-02	9.606e-02	5.631e-02	4.301e-02	5.861e-02	5.882e-03	4.828e-03	5.882e-03	4.005e-02	3.758e-02	4.251e-02	5.785e-02	5.433e-02	6.040e-02	5.974e-02	5.743e-02	6.213e-02	4.670e-02	4.397e-02	4.964e-02
2.000e+02	0.000e+00	0.000e+00	0.000e+00	6.012e-02	4.575e-02	6.861e-02	7.471e-02	6.603e-02	8.447e-02	9.003e-02	8.368e-02	1.005e-01	4.479e-02	3.448e-02	6.622e-02	5.882e-03	4.828e-03	6.757e-03	4.051e-02	3.886e-02	4.290e-02	5.845e-02	5.632e-02	6.139e-02	6.075e-02	5.758e-02	6.269e-02	4.780e-02	4.552e-02	5.023e-02	0.000e+00	0.000e+00	0.000e+00	5.861e-02	4.677e-02	6.883e-02	7.889e-02	6.502e-02	8.523e-02	9.338e-02	8.447e-02	1.033e-01	5.100e-02	4.223e-02	6.897e-02	5.882e-03	4.828e-03	6.757e-03	4.018e-02	3.937e-02	4.192e-02	5.944e-02	5.516e-02	6.289e-02	6.043e-02	5.776e-02	6.371e-02	4.733e-02	4.506e-02	4.958e-02
3.000e+02	0.000e+00	0.000e+00	0.000e+00	6.308e-02	4.877e-02	7.240e-02	8.128e-02	6.664e-02	9.447e-02	9.728e-02	8.602e-02	1.070e-01	5.452e-02	3.855e-02	6.216e-02	5.882e-03	4.828e-03	7.515e-03	4.192e-02	3.749e-02	4.396e-02	5.918e-02	5.524e-02	6.103e-02	6.044e-02	5.757e-02	6.231e-02	4.799e-02	4.469e-02	4.959e-02	0.000e+00	0.000e+00	0.000e+00	5.861e-02	5.140e-02	6.774e-02	7.315e-02	6.502e-02	9.163e-02	1.034e-01	8.621e-02	1.084e-01	5.100e-02	4.138e-02	7.109e-02	5.882e-03	4.828e-03	7.515e-03	4.074e-02	3.943e-02	4.264e-02	6.049e-02	5.547e-02	6.324e-02	6.001e-02	5.723e-02	6.363e-02	4.700e-02	4.381e-02	5.093e-02
4.000e+02	0.000e+00	0.000e+00	0.000e+00	6.774e-02	5.787e-02	7.699e-02	8.754e-02	7.096e-02	9.194e-02	1.008e-01	9.051e-02	1.103e-01	5.068e-02	3.812e-02	7.307e-02	5.882e-03	4.828e-03	7.515e-03	4.112e-02	3.726e-02	4.285e-02	5.968e-02	5.600e-02	6.250e-02	5.878e-02	5.757e-02	6.604e-02	4.869e-02	4.385e-02	5.103e-02	0.000e+00	0.000e+00	0.000e+00	6.109e-02	5.485e-02	7.001e-02	7.963e-02	6.609e-02	9.667e-02	1.066e-01	9.347e-02	1.139e-01	5.452e-02	4.184e-02	8.034e-02	5.882e-03	3.431e-03	6.757e-03	4.062e-02	3.798e-02	4.292e-02	6.009e-02	5.685e-02	6.211e-02	6.080e-02	5.739e-02	6.273e-02	4.755e-02	4.439e-02	4.982e-02
5.000e+02	0.000e+00	0.000e+00	0.000e+00	6.990e-02	6.502e-02	7.796e-02	8.969e-02	7.307e-02	1.023e-01	1.038e-01	9.338e-02	1.117e-01	5.631e-02	3.855e-02	7.601e-02	4.828e-03	3.431e-03	7.515e-03	4.105e-02	3.824e-02	4.260e-02	5.794e-02	5.558e-02	6.303e-02	5.920e-02	5.625e-02	6.266e-02	4.790e-02	4.443e-02	5.006e-02	0.000e+00	0.000e+00	0.000e+00	6.658e-02	5.745e-02	7.200e-02	8.200e-02	6.609e-02	9.529e-02	1.092e-01	9.406e-02	1.117e-01	5.452e-02	3.855e-02	8.523e-02	4.828e-03	4.828e-03	6.757e-03	4.015e-02	3.871e-02	4.202e-02	5.970e-02	5.695e-02	6.151e-02	5.835e-02	5.474e-02	6.243e-02	4.873e-02	4.310e-02	5.018e-02
6.000e+02	0.000e+00	0.000e+00	0.000e+00	6.940e-02	6.609e-02	7.515e-02	8.959e-02	7.271e-02	1.037e-01	1.059e-01	9.753e-02	1.108e-01	5.718e-02	4.479e-02	7.105e-02	5.882e-03	3.431e-03	7.515e-03	4.051e-02	3.787e-02	4.202e-02	5.910e-02	5.523e-02	6.171e-02	6.130e-02	5.881e-02	6.273e-02	4.754e-02	4.375e-02	4.934e-02	0.000e+00	0.000e+00	0.000e+00	6.774e-02	6.073e-02	7.315e-02	8.614e-02	6.854e-02	9.753e-02	1.101e-01	9.970e-02	1.162e-01	6.502e-02	3.855e-02	8.333e-02	5.882e-03	3.431e-03	6.757e-03	4.076e-02	3.855e-02	4.337e-02	6.032e-02	5.712e-02	6.221e-02	5.894e-02	5.706e-02	6.401e-02	4.775e-02	4.407e-02	5.138e-02
7.000e+02	0.000e+00	0.000e+00	0.000e+00	7.142e-02	6.622e-02	7.758e-02	8.999e-02	7.271e-02	1.016e-01	1.066e-01	9.617e-02	1.131e-01	6.113e-02	4.575e-02	7.601e-02	5.882e-03	4.828e-03	6.757e-03	4.065e-02	3.791e-02	4.180e-02	5.927e-02	5.576e-02	6.285e-02	6.000e-02	5.821e-02	6.235e-02	4.660e-02	4.476e-02	5.083e-02	0.000e+00	0.000e+00	0.000e+00	7.096e-02	6.678e-02	7.466e-02	9.275e-02	7.109e-02	1.009e-01	1.104e-01	9.970e-02	1.186e-01	6.727e-02	3.448e-02	8.418e-02	5.882e-03	3.431e-03	7.515e-03	4.021e-02	3.794e-02	4.301e-02	6.018e-02	5.672e-02	6.309e-02	6.018e-02	5.809e-02	6.416e-02	4.662e-02	4.481e-02	5.049e-02
8.000e+02	0.000e+00	0.000e+00	0.000e+00	7.229e-02	6.826e-02	7.711e-02	9.067e-02	7.176e-02	1.011e-01	1.082e-01	1.017e-01	1.147e-01	6.727e-02	5.068e-02	7.758e-02	5.882e-03	3.431e-03	7.515e-03	4.080e-02	3.758e-02	4.220e-02	5.918e-02	5.584e-02	6.328e-02	5.927e-02	5.584e-02	6.220e-02	4.734e-02	4.372e-02	5.022e-02	0.000e+00	0.000e+00	0.000e+00	7.200e-02	6.774e-02	7.410e-02	9.352e-02	7.469e-02	1.062e-01	1.113e-01	1.048e-01	1.186e-01	6.727e-02	3.812e-02	9.213e-02	6.757e-03	4.828e-03	7.515e-03	4.099e-02	3.783e-02	4.295e-02	5.918e-02	5.668e-02	6.427e-02	6.062e-02	5.862e-02	6.439e-02	4.654e-02	4.303e-02	5.094e-02
9.000e+02	0.000e+00	0.000e+00	0.000e+00	7.449e-02	6.905e-02	7.711e-02	8.999e-02	7.302e-02	1.043e-01	1.090e-01	1.042e-01	1.207e-01	6.905e-02	4.774e-02	7.758e-02	5.882e-03	4.828e-03	7.515e-03	4.027e-02	3.856e-02	4.158e-02	5.966e-02	5.625e-02	6.290e-02	5.990e-02	5.669e-02	6.262e-02	4.733e-02	4.449e-02	5.063e-02	0.000e+00	0.000e+00	0.000e+00	7.200e-02	6.774e-02	7.466e-02	9.406e-02	7.871e-02	1.055e-01	1.114e-01	1.053e-01	1.179e-01	6.502e-02	3.680e-02	9.373e-02	5.882e-03	4.828e-03	7.515e-03	4.120e-02	3.789e-02	4.317e-02	5.929e-02	5.635e-02	6.385e-02	6.117e-02	5.792e-02	6.399e-02	4.693e-02	4.370e-02	4.911e-02
1.000e+03	0.000e+00	0.000e+00	0.000e+00	7.471e-02	6.905e-02	7.711e-02	9.182e-02	7.270e-02	1.033e-01	1.115e-01	1.028e-01	1.195e-01	7.233e-02	5.452e-02	7.794e-02	5.882e-03	4.828e-03	7.515e-03	4.036e-02	3.824e-02	4.175e-02	5.890e-02	5.616e-02	6.251e-02	5.980e-02	5.738e-02	6.168e-02	4.684e-02	4.390e-02	4.960e-02	0.000e+00	0.000e+00	0.000e+00	7.270e-02	6.842e-02	7.780e-02	9.586e-02	8.146e-02	1.046e-01	1.089e-01	1.031e-01	1.168e-01	6.502e-02	3.421e-02	9.373e-02	4.828e-03	4.828e-03	7.515e-03	4.120e-02	3.855e-02	4.265e-02	6.022e-02	5.539e-02	6.438e-02	6.162e-02	5.708e-02	6.440e-02	4.744e-02	4.440e-02	4.927e-02
