n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.sd.max
1.000e+02	1.110e-16	0.000e+00	1.110e-16	3.677e-02	3.090e-02	4.517e-02	6.362e-02	4.948e-02	7.089e-02	7.759e-02	6.776e-02	8.466e-02	4.545e-02	2.857e-02	5.410e-02	3.015e-03	0.000e+00	4.242e-03	3.312e-02	3.198e-02	3.442e-02	5.153e-02	4.854e-02	5.615e-02	5.792e-02	5.530e-02	6.054e-02	4.586e-02	4.294e-02	4.794e-02	1.110e-16	0.000e+00	1.110e-16	3.636e-02	2.720e-02	4.948e-02	5.998e-02	5.302e-02	6.998e-02	7.759e-02	6.643e-02	8.391e-02	4.482e-02	3.302e-02	6.546e-02	3.015e-03	0.000e+00	4.242e-03	3.312e-02	3.198e-02	3.442e-02	5.153e-02	4.854e-02	5.615e-02	5.792e-02	5.530e-02	6.054e-02	4.586e-02	4.294e-02	4.794e-02
2.000e+02	0.000e+00	0.000e+00	1.110e-16	4.242e-02	3.320e-02	4.859e-02	6.417e-02	4.948e-02	7.321e-02	7.994e-02	7.192e-02	8.992e-02	4.545e-02	3.302e-02	6.227e-02	3.015e-03	3.015e-03	4.242e-03	3.348e-02	3.123e-02	3.462e-02	5.268e-02	4.954e-02	5.553e-02	5.889e-02	5.473e-02	6.185e-02	4.675e-02	4.426e-02	4.926e-02	0.000e+00	0.000e+00	1.110e-16	4.072e-02	2.901e-02	5.025e-02	6.201e-02	5.450e-02	7.266e-02	8.345e-02	7.107e-02	9.142e-02	4.545e-02	3.779e-02	6.201e-02	4.242e-03	3.015e-03	4.242e-03	3.366e-02	3.186e-02	3.474e-02	5.410e-02	4.999e-02	5.751e-02	5.754e-02	5.594e-02	6.016e-02	4.733e-02	4.467e-02	4.943e-02
3.000e+02	0.000e+00	0.000e+00	1.110e-16	4.415e-02	3.388e-02	5.124e-02	6.622e-02	5.450e-02	7.693e-02	8.343e-02	7.642e-02	9.504e-02	5.410e-02	3.936e-02	6.227e-02	3.015e-03	0.000e+00	4.242e-03	3.355e-02	3.157e-02	3.494e-02	5.351e-02	5.203e-02	5.536e-02	5.990e-02	5.639e-02	6.185e-02	4.741e-02	4.470e-02	4.856e-02	0.000e+00	0.000e+00	1.110e-16	4.107e-02	2.901e-02	5.106e-02	6.615e-02	5.856e-02	7.177e-02	8.402e-02	7.559e-02	9.307e-02	5.151e-02	3.711e-02	6.776e-02	3.015e-03	0.000e+00	5.169e-03	3.360e-02	3.099e-02	3.468e-02	5.293e-02	5.068e-02	5.677e-02	5.782e-02	5.511e-02	6.092e-02	4.675e-02	4.348e-02	5.023e-02
4.000e+02	0.000e+00	0.000e+00	0.000e+00	4.844e-02	4.107e-02	5.674e-02	7.192e-02	5.496e-02	8.124e-02	8.857e-02	8.221e-02	9.635e-02	5.463e-02	3.499e-02	6.776e-02	3.015e-03	3.015e-03	5.169e-03	3.255e-02	3.120e-02	3.455e-02	5.410e-02	5.035e-02	5.659e-02	5.887e-02	5.532e-02	6.171e-02	4.712e-02	4.433e-02	4.986e-02	0.000e+00	0.000e+00	0.000e+00	4.655e-02	3.350e-02	5.410e-02	6.803e-02	5.998e-02	7.484e-02	9.163e-02	8.330e-02	9.936e-02	5.463e-02	4.285e-02	7.107e-02	3.015e-03	0.000e+00	4.242e-03	3.311e-02	3.074e-02	3.508e-02	5.344e-02	5.247e-02	5.513e-02	5.827e-02	5.520e-02	6.071e-02	4.602e-02	4.376e-02	4.970e-02
5.000e+02	0.000e+00	0.000e+00	0.000e+00	5.618e-02	4.072e-02	6.227e-02	7.463e-02	5.750e-02	8.330e-02	8.857e-02	8.017e-02	1.028e-01	5.463e-02	4.535e-02	6.700e-02	3.015e-03	0.000e+00	5.169e-03	3.207e-02	3.042e-02	3.473e-02	5.358e-02	5.130e-02	5.583e-02	5.758e-02	5.499e-02	6.086e-02	4.711e-02	4.422e-02	4.947e-02	0.000e+00	0.000e+00	0.000e+00	4.738e-02	3.968e-02	5.544e-02	6.615e-02	5.714e-02	7.642e-02	9.163e-02	8.144e-02	1.012e-01	5.669e-02	3.677e-02	7.323e-02	3.015e-03	3.015e-03	4.242e-03	3.255e-02	3.104e-02	3.523e-02	5.388e-02	5.167e-02	5.561e-02	5.830e-02	5.303e-02	6.101e-02	4.614e-02	4.296e-02	4.886e-02
6.000e+02	0.000e+00	0.000e+00	0.000e+00	5.249e-02	4.242e-02	5.953e-02	7.436e-02	5.868e-02	8.550e-02	9.185e-02	8.376e-02	1.028e-01	5.851e-02	4.482e-02	7.068e-02	3.015e-03	0.000e+00	5.169e-03	3.237e-02	2.997e-02	3.424e-02	5.373e-02	5.186e-02	5.505e-02	5.794e-02	5.610e-02	6.165e-02	4.682e-02	4.434e-02	4.812e-02	0.000e+00	0.000e+00	0.000e+00	4.738e-02	4.107e-02	5.618e-02	6.615e-02	6.362e-02	8.053e-02	9.171e-02	8.656e-02	1.018e-01	5.819e-02	4.165e-02	7.498e-02	3.015e-03	3.015e-03	4.242e-03	3.333e-02	3.151e-02	3.499e-02	5.370e-02	5.080e-02	5.654e-02	5.805e-02	5.374e-02	6.121e-02	4.682e-02	4.346e-02	4.928e-02
7.000e+02	0.000e+00	0.000e+00	0.000e+00	5.491e-02	4.285e-02	6.236e-02	7.538e-02	5.618e-02	8.592e-02	9.307e-02	8.483e-02	1.033e-01	6.276e-02	4.482e-02	7.227e-02	4.242e-03	3.015e-03	5.169e-03	3.238e-02	3.021e-02	3.388e-02	5.412e-02	5.101e-02	5.536e-02	5.744e-02	5.486e-02	6.195e-02	4.635e-02	4.411e-02	4.973e-02	0.000e+00	0.000e+00	0.000e+00	5.124e-02	4.269e-02	5.966e-02	6.851e-02	6.383e-02	7.902e-02	9.467e-02	8.656e-02	1.019e-01	5.736e-02	4.195e-02	7.671e-02	3.015e-03	3.015e-03	4.242e-03	3.327e-02	3.030e-02	3.481e-02	5.445e-02	5.116e-02	5.610e-02	5.785e-02	5.294e-02	6.140e-02	4.566e-02	4.378e-02	4.918e-02
8.000e+02	0.000e+00	0.000e+00	0.000e+00	5.661e-02	4.542e-02	6.245e-02	7.690e-02	5.757e-02	8.495e-02	9.309e-02	8.537e-02	1.060e-01	6.362e-02	4.415e-02	7.559e-02	4.242e-03	3.015e-03	5.169e-03	3.220e-02	3.048e-02	3.365e-02	5.351e-02	5.105e-02	5.558e-02	5.744e-02	5.388e-02	6.208e-02	4.673e-02	4.422e-02	4.891e-02	0.000e+00	0.000e+00	0.000e+00	5.429e-02	4.530e-02	6.023e-02	7.447e-02	6.472e-02	8.137e-02	9.767e-02	8.809e-02	1.062e-01	5.736e-02	3.936e-02	8.327e-02	3.015e-03	3.015e-03	4.242e-03	3.338e-02	3.162e-02	3.455e-02	5.424e-02	5.130e-02	5.659e-02	5.797e-02	5.405e-02	6.136e-02	4.643e-02	4.334e-02	4.896e-02
9.000e+02	0.000e+00	0.000e+00	0.000e+00	5.844e-02	4.542e-02	6.245e-02	7.791e-02	5.673e-02	8.495e-02	9.614e-02	8.921e-02	1.050e-01	6.061e-02	4.968e-02	8.427e-02	4.242e-03	3.015e-03	5.169e-03	3.228e-02	3.060e-02	3.354e-02	5.410e-02	5.194e-02	5.758e-02	5.765e-02	5.472e-02	6.131e-02	4.738e-02	4.482e-02	4.989e-02	0.000e+00	0.000e+00	0.000e+00	5.302e-02	4.482e-02	6.023e-02	7.478e-02	6.563e-02	8.182e-02	9.753e-02	8.907e-02	1.108e-01	6.243e-02	3.534e-02	8.214e-02	3.015e-03	0.000e+00	4.242e-03	3.339e-02	3.160e-02	3.495e-02	5.347e-02	5.169e-02	5.571e-02	5.780e-02	5.476e-02	6.143e-02	4.563e-02	4.455e-02	4.844e-02
1.000e+03	0.000e+00	0.000e+00	0.000e+00	5.844e-02	4.895e-02	6.353e-02	7.585e-02	5.792e-02	8.841e-02	9.791e-02	8.550e-02	1.074e-01	6.061e-02	5.710e-02	8.571e-02	3.015e-03	3.015e-03	5.169e-03	3.274e-02	3.062e-02	3.399e-02	5.458e-02	5.169e-02	5.625e-02	5.797e-02	5.371e-02	6.211e-02	4.688e-02	4.347e-02	4.986e-02	0.000e+00	0.000e+00	0.000e+00	5.661e-02	4.542e-02	6.049e-02	7.720e-02	6.970e-02	8.343e-02	9.489e-02	8.612e-02	1.096e-01	6.243e-02	4.072e-02	8.537e-02	3.015e-03	0.000e+00	4.242e-03	3.366e-02	3.144e-02	3.445e-02	5.444e-02	5.126e-02	5.604e-02	5.852e-02	5.445e-02	6.156e-02	4.589e-02	4.410e-02	4.828e-02
