n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.body.pleiotropy.avg	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.body.pleiotropy.avg.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.body.pleiotropy.avg.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.body.pleiotropy.avg	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.body.pleiotropy.avg.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.body.pleiotropy.avg.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.body.pleiotropy.avg	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.body.pleiotropy.avg.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.body.pleiotropy.avg.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.body.pleiotropy.avg	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.body.pleiotropy.avg.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.body.pleiotropy.avg.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.body.pleiotropy.avg	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.body.pleiotropy.avg.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.body.pleiotropy.avg.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.body.pleiotropy.avg	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.body.pleiotropy.avg.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.body.pleiotropy.avg.max
1.000e+02	4.500e-02	3.750e-02	5.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.500e-02	3.750e-02	5.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2.000e+02	4.250e-02	3.750e-02	5.250e-02	2.250e-02	1.750e-02	2.500e-02	2.000e-02	1.750e-02	2.500e-02	5.000e-02	3.750e-02	5.500e-02	2.250e-02	2.000e-02	2.750e-02	2.250e-02	1.500e-02	2.500e-02
3.000e+02	4.250e-02	3.500e-02	5.250e-02	2.750e-02	2.250e-02	3.500e-02	2.750e-02	2.250e-02	3.250e-02	4.500e-02	3.750e-02	5.000e-02	3.000e-02	2.500e-02	3.500e-02	2.750e-02	2.000e-02	3.250e-02
4.000e+02	4.500e-02	3.500e-02	5.000e-02	3.000e-02	2.500e-02	3.750e-02	3.250e-02	2.500e-02	3.500e-02	4.000e-02	3.250e-02	4.500e-02	3.000e-02	2.500e-02	3.500e-02	3.000e-02	2.500e-02	3.500e-02
5.000e+02	4.250e-02	3.500e-02	5.250e-02	3.250e-02	2.750e-02	4.000e-02	3.500e-02	3.000e-02	4.000e-02	4.250e-02	3.750e-02	5.000e-02	3.250e-02	2.750e-02	4.000e-02	3.250e-02	2.750e-02	3.750e-02
6.000e+02	4.500e-02	3.750e-02	5.000e-02	3.750e-02	2.750e-02	4.250e-02	3.500e-02	3.000e-02	4.250e-02	4.500e-02	3.750e-02	5.000e-02	3.750e-02	2.750e-02	4.500e-02	3.500e-02	3.000e-02	3.750e-02
7.000e+02	4.500e-02	3.750e-02	5.250e-02	4.000e-02	3.000e-02	4.500e-02	3.500e-02	3.000e-02	4.000e-02	4.500e-02	3.250e-02	5.000e-02	4.000e-02	3.000e-02	4.500e-02	3.500e-02	3.000e-02	4.250e-02
8.000e+02	4.750e-02	3.250e-02	5.250e-02	4.000e-02	3.000e-02	4.500e-02	3.500e-02	3.000e-02	3.750e-02	4.250e-02	3.500e-02	5.250e-02	4.000e-02	3.250e-02	4.750e-02	4.000e-02	2.750e-02	4.500e-02
9.000e+02	4.750e-02	3.500e-02	5.250e-02	3.750e-02	3.250e-02	4.500e-02	3.500e-02	3.000e-02	4.250e-02	4.500e-02	3.500e-02	5.250e-02	4.000e-02	3.250e-02	4.750e-02	4.000e-02	2.750e-02	4.500e-02
1.000e+03	4.500e-02	3.500e-02	5.250e-02	4.000e-02	3.250e-02	4.500e-02	3.750e-02	2.750e-02	4.500e-02	4.500e-02	3.750e-02	5.250e-02	4.250e-02	3.500e-02	5.000e-02	4.000e-02	3.000e-02	4.500e-02
1.100e+03	4.250e-02	3.500e-02	5.250e-02	4.000e-02	3.250e-02	4.500e-02	3.750e-02	3.000e-02	4.500e-02	4.500e-02	3.500e-02	5.250e-02	4.250e-02	3.750e-02	5.000e-02	4.000e-02	3.250e-02	4.750e-02
1.200e+03	4.250e-02	3.250e-02	5.250e-02	4.000e-02	3.250e-02	5.250e-02	3.750e-02	3.000e-02	4.250e-02	4.750e-02	4.000e-02	5.000e-02	4.250e-02	3.750e-02	5.000e-02	4.250e-02	3.500e-02	5.000e-02
1.300e+03	4.250e-02	3.250e-02	5.000e-02	4.000e-02	3.250e-02	5.250e-02	3.750e-02	3.250e-02	4.250e-02	4.750e-02	4.250e-02	5.250e-02	4.250e-02	3.750e-02	5.000e-02	4.500e-02	3.250e-02	5.000e-02
1.400e+03	4.000e-02	3.500e-02	4.750e-02	4.000e-02	3.250e-02	5.250e-02	3.750e-02	3.250e-02	4.250e-02	4.750e-02	3.750e-02	5.250e-02	4.500e-02	3.500e-02	5.000e-02	4.000e-02	3.250e-02	5.250e-02
1.500e+03	4.000e-02	3.250e-02	4.750e-02	4.250e-02	3.250e-02	5.250e-02	3.750e-02	3.250e-02	4.500e-02	4.500e-02	3.500e-02	5.000e-02	4.250e-02	3.500e-02	5.250e-02	4.250e-02	3.500e-02	5.000e-02
1.600e+03	4.000e-02	3.250e-02	4.750e-02	4.000e-02	3.250e-02	5.250e-02	3.750e-02	3.250e-02	4.500e-02	4.500e-02	4.000e-02	5.250e-02	4.250e-02	3.500e-02	5.250e-02	4.250e-02	3.250e-02	5.000e-02
1.700e+03	4.000e-02	3.250e-02	4.500e-02	4.000e-02	3.250e-02	5.000e-02	4.000e-02	3.250e-02	4.750e-02	4.750e-02	4.250e-02	5.250e-02	4.500e-02	3.500e-02	5.250e-02	4.500e-02	3.500e-02	5.000e-02
1.800e+03	4.250e-02	3.000e-02	4.750e-02	4.000e-02	3.250e-02	5.250e-02	3.750e-02	3.500e-02	4.750e-02	4.750e-02	4.250e-02	5.500e-02	4.250e-02	3.750e-02	5.250e-02	4.250e-02	3.500e-02	5.000e-02
1.900e+03	4.250e-02	3.000e-02	4.750e-02	4.000e-02	3.250e-02	5.000e-02	4.000e-02	3.250e-02	4.750e-02	5.000e-02	4.000e-02	5.250e-02	4.250e-02	3.750e-02	5.250e-02	4.250e-02	3.250e-02	4.750e-02
2.000e+03	4.250e-02	3.000e-02	4.750e-02	3.750e-02	3.500e-02	5.250e-02	4.000e-02	3.000e-02	4.750e-02	4.750e-02	4.000e-02	5.500e-02	4.500e-02	4.000e-02	5.500e-02	4.250e-02	3.250e-02	5.000e-02
2.100e+03	4.250e-02	2.750e-02	5.250e-02	4.250e-02	3.250e-02	5.000e-02	4.000e-02	3.000e-02	4.750e-02	4.750e-02	4.000e-02	5.500e-02	4.750e-02	3.750e-02	5.500e-02	4.250e-02	3.250e-02	5.000e-02
2.200e+03	4.500e-02	2.750e-02	5.500e-02	4.250e-02	3.250e-02	5.250e-02	4.000e-02	3.000e-02	5.000e-02	4.750e-02	4.000e-02	5.750e-02	4.750e-02	3.750e-02	5.250e-02	4.250e-02	3.500e-02	5.000e-02
2.300e+03	4.250e-02	2.750e-02	5.250e-02	4.250e-02	3.250e-02	4.750e-02	4.000e-02	3.000e-02	5.000e-02	4.750e-02	4.000e-02	5.500e-02	4.500e-02	3.750e-02	5.250e-02	4.250e-02	3.250e-02	5.000e-02
2.400e+03	4.250e-02	2.500e-02	5.750e-02	4.000e-02	3.250e-02	5.000e-02	4.000e-02	3.000e-02	5.250e-02	4.750e-02	4.000e-02	5.250e-02	4.500e-02	3.750e-02	5.250e-02	4.250e-02	3.250e-02	4.750e-02
2.500e+03	4.250e-02	2.500e-02	5.750e-02	4.250e-02	3.500e-02	5.000e-02	4.000e-02	3.000e-02	5.250e-02	4.500e-02	4.000e-02	5.750e-02	4.750e-02	3.750e-02	5.250e-02	4.250e-02	3.250e-02	5.000e-02
2.600e+03	4.250e-02	2.750e-02	5.500e-02	4.000e-02	3.500e-02	5.250e-02	3.750e-02	3.000e-02	5.000e-02	4.500e-02	4.000e-02	5.750e-02	4.250e-02	3.750e-02	5.500e-02	4.000e-02	3.250e-02	5.000e-02
2.700e+03	4.250e-02	3.000e-02	5.500e-02	4.250e-02	3.500e-02	5.000e-02	4.000e-02	3.000e-02	5.000e-02	4.500e-02	4.000e-02	5.750e-02	4.500e-02	3.750e-02	5.250e-02	4.250e-02	3.250e-02	5.000e-02
2.800e+03	4.500e-02	3.000e-02	6.000e-02	4.250e-02	3.250e-02	5.000e-02	4.000e-02	3.250e-02	5.000e-02	4.500e-02	3.750e-02	6.000e-02	4.250e-02	3.500e-02	5.250e-02	4.000e-02	3.500e-02	4.750e-02
2.900e+03	4.500e-02	3.000e-02	6.000e-02	4.000e-02	3.250e-02	5.250e-02	4.000e-02	3.250e-02	4.750e-02	4.750e-02	4.000e-02	5.750e-02	4.250e-02	3.500e-02	5.500e-02	4.250e-02	3.250e-02	5.000e-02
3.000e+03	4.500e-02	2.750e-02	5.500e-02	3.750e-02	3.000e-02	4.750e-02	4.250e-02	3.500e-02	5.000e-02	4.750e-02	4.000e-02	5.750e-02	4.500e-02	3.750e-02	5.250e-02	4.000e-02	3.250e-02	5.000e-02
3.100e+03	4.250e-02	3.000e-02	5.500e-02	4.000e-02	3.250e-02	5.000e-02	4.250e-02	3.250e-02	4.750e-02	4.750e-02	4.250e-02	5.500e-02	4.500e-02	3.750e-02	5.000e-02	4.000e-02	3.250e-02	5.000e-02
3.200e+03	4.250e-02	3.000e-02	5.500e-02	4.000e-02	3.250e-02	5.000e-02	4.000e-02	3.250e-02	4.750e-02	4.500e-02	4.000e-02	5.500e-02	4.500e-02	3.750e-02	5.000e-02	4.250e-02	3.500e-02	5.000e-02
3.300e+03	4.250e-02	3.000e-02	5.750e-02	3.750e-02	3.250e-02	5.500e-02	4.000e-02	3.250e-02	5.000e-02	4.750e-02	4.250e-02	5.750e-02	4.250e-02	3.500e-02	5.000e-02	4.250e-02	3.250e-02	5.000e-02
