n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.avg	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.avg.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.avg.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.avg	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.avg.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.avg.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.avg	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.avg.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.avg.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.avg	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.avg.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.avg.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.avg	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.avg.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.avg.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.avg	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.avg.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.avg.max
1.000e+02	3.293e-01	3.241e-01	3.331e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.293e-01	3.241e-01	3.331e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2.000e+02	3.283e-01	3.252e-01	3.310e-01	1.434e-01	1.348e-01	1.531e-01	1.503e-01	1.441e-01	1.645e-01	3.293e-01	3.266e-01	3.338e-01	1.521e-01	1.428e-01	1.600e-01	1.476e-01	1.414e-01	1.548e-01
3.000e+02	3.297e-01	3.228e-01	3.331e-01	2.048e-01	1.852e-01	2.138e-01	2.072e-01	1.903e-01	2.179e-01	3.314e-01	3.262e-01	3.355e-01	2.066e-01	1.966e-01	2.162e-01	2.014e-01	1.924e-01	2.186e-01
4.000e+02	3.262e-01	3.234e-01	3.352e-01	2.303e-01	2.179e-01	2.393e-01	2.397e-01	2.207e-01	2.459e-01	3.303e-01	3.259e-01	3.348e-01	2.341e-01	2.228e-01	2.445e-01	2.338e-01	2.241e-01	2.472e-01
5.000e+02	3.272e-01	3.238e-01	3.317e-01	2.483e-01	2.369e-01	2.566e-01	2.493e-01	2.359e-01	2.614e-01	3.293e-01	3.248e-01	3.345e-01	2.514e-01	2.431e-01	2.572e-01	2.507e-01	2.424e-01	2.607e-01
6.000e+02	3.293e-01	3.234e-01	3.345e-01	2.600e-01	2.500e-01	2.690e-01	2.645e-01	2.462e-01	2.741e-01	3.314e-01	3.245e-01	3.348e-01	2.624e-01	2.531e-01	2.700e-01	2.621e-01	2.552e-01	2.700e-01
7.000e+02	3.290e-01	3.234e-01	3.338e-01	2.693e-01	2.597e-01	2.745e-01	2.697e-01	2.583e-01	2.786e-01	3.293e-01	3.262e-01	3.345e-01	2.710e-01	2.576e-01	2.814e-01	2.703e-01	2.610e-01	2.803e-01
8.000e+02	3.307e-01	3.245e-01	3.345e-01	2.734e-01	2.679e-01	2.828e-01	2.772e-01	2.659e-01	2.862e-01	3.300e-01	3.252e-01	3.348e-01	2.779e-01	2.672e-01	2.883e-01	2.807e-01	2.707e-01	2.890e-01
9.000e+02	3.293e-01	3.245e-01	3.328e-01	2.821e-01	2.717e-01	2.917e-01	2.772e-01	2.707e-01	2.931e-01	3.317e-01	3.255e-01	3.352e-01	2.852e-01	2.703e-01	2.910e-01	2.824e-01	2.772e-01	2.897e-01
1.000e+03	3.303e-01	3.238e-01	3.338e-01	2.852e-01	2.759e-01	2.938e-01	2.869e-01	2.728e-01	2.955e-01	3.317e-01	3.255e-01	3.345e-01	2.897e-01	2.752e-01	2.941e-01	2.872e-01	2.803e-01	2.931e-01
