n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.avg	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.avg.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.avg.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.avg	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.avg.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.avg.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.avg	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.avg.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.avg.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.avg	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.avg.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.avg.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.avg	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.avg.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.avg.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.avg	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.avg.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.avg.max
1.000e+02	3.624e-01	3.576e-01	3.655e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.624e-01	3.576e-01	3.655e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2.000e+02	3.621e-01	3.582e-01	3.645e-01	1.582e-01	1.488e-01	1.688e-01	1.664e-01	1.576e-01	1.761e-01	3.624e-01	3.600e-01	3.682e-01	1.700e-01	1.582e-01	1.788e-01	1.627e-01	1.564e-01	1.706e-01
3.000e+02	3.630e-01	3.600e-01	3.676e-01	2.264e-01	2.055e-01	2.358e-01	2.285e-01	2.094e-01	2.403e-01	3.655e-01	3.594e-01	3.694e-01	2.297e-01	2.200e-01	2.376e-01	2.212e-01	2.139e-01	2.415e-01
4.000e+02	3.624e-01	3.603e-01	3.694e-01	2.521e-01	2.421e-01	2.639e-01	2.627e-01	2.382e-01	2.718e-01	3.664e-01	3.597e-01	3.688e-01	2.594e-01	2.470e-01	2.682e-01	2.588e-01	2.488e-01	2.715e-01
5.000e+02	3.639e-01	3.591e-01	3.673e-01	2.745e-01	2.636e-01	2.824e-01	2.755e-01	2.597e-01	2.864e-01	3.655e-01	3.594e-01	3.679e-01	2.752e-01	2.700e-01	2.842e-01	2.770e-01	2.658e-01	2.870e-01
6.000e+02	3.636e-01	3.594e-01	3.664e-01	2.852e-01	2.800e-01	2.964e-01	2.909e-01	2.733e-01	3.003e-01	3.658e-01	3.606e-01	3.688e-01	2.879e-01	2.830e-01	2.988e-01	2.879e-01	2.779e-01	2.973e-01
7.000e+02	3.639e-01	3.597e-01	3.682e-01	2.961e-01	2.873e-01	3.009e-01	2.991e-01	2.855e-01	3.091e-01	3.661e-01	3.615e-01	3.688e-01	2.979e-01	2.891e-01	3.079e-01	2.973e-01	2.897e-01	3.088e-01
8.000e+02	3.652e-01	3.603e-01	3.703e-01	3.036e-01	2.952e-01	3.112e-01	3.061e-01	2.927e-01	3.164e-01	3.655e-01	3.597e-01	3.685e-01	3.073e-01	2.970e-01	3.164e-01	3.100e-01	2.967e-01	3.158e-01
9.000e+02	3.633e-01	3.597e-01	3.688e-01	3.106e-01	2.991e-01	3.191e-01	3.073e-01	3.018e-01	3.224e-01	3.664e-01	3.633e-01	3.697e-01	3.161e-01	3.018e-01	3.209e-01	3.112e-01	3.018e-01	3.191e-01
1.000e+03	3.630e-01	3.606e-01	3.664e-01	3.148e-01	3.042e-01	3.258e-01	3.179e-01	3.027e-01	3.255e-01	3.648e-01	3.624e-01	3.694e-01	3.191e-01	3.055e-01	3.236e-01	3.148e-01	3.070e-01	3.197e-01
1.100e+03	3.645e-01	3.582e-01	3.664e-01	3.194e-01	3.100e-01	3.294e-01	3.245e-01	3.082e-01	3.312e-01	3.642e-01	3.612e-01	3.685e-01	3.252e-01	3.045e-01	3.333e-01	3.188e-01	3.118e-01	3.288e-01
1.200e+03	3.633e-01	3.600e-01	3.667e-01	3.239e-01	3.145e-01	3.339e-01	3.279e-01	3.133e-01	3.342e-01	3.648e-01	3.615e-01	3.685e-01	3.282e-01	3.121e-01	3.394e-01	3.215e-01	3.155e-01	3.285e-01
1.300e+03	3.627e-01	3.585e-01	3.676e-01	3.300e-01	3.161e-01	3.379e-01	3.300e-01	3.148e-01	3.394e-01	3.658e-01	3.621e-01	3.673e-01	3.309e-01	3.191e-01	3.418e-01	3.242e-01	3.173e-01	3.336e-01
1.400e+03	3.639e-01	3.594e-01	3.670e-01	3.318e-01	3.167e-01	3.379e-01	3.327e-01	3.170e-01	3.415e-01	3.661e-01	3.609e-01	3.682e-01	3.348e-01	3.197e-01	3.427e-01	3.276e-01	3.218e-01	3.345e-01
1.500e+03	3.636e-01	3.603e-01	3.679e-01	3.358e-01	3.209e-01	3.415e-01	3.327e-01	3.173e-01	3.403e-01	3.652e-01	3.612e-01	3.685e-01	3.376e-01	3.255e-01	3.470e-01	3.306e-01	3.248e-01	3.382e-01
1.600e+03	3.642e-01	3.591e-01	3.685e-01	3.370e-01	3.297e-01	3.433e-01	3.367e-01	3.164e-01	3.436e-01	3.658e-01	3.606e-01	3.685e-01	3.406e-01	3.261e-01	3.476e-01	3.324e-01	3.264e-01	3.385e-01
1.700e+03	3.652e-01	3.588e-01	3.685e-01	3.379e-01	3.324e-01	3.470e-01	3.397e-01	3.191e-01	3.455e-01	3.645e-01	3.612e-01	3.679e-01	3.391e-01	3.264e-01	3.464e-01	3.352e-01	3.273e-01	3.385e-01
1.800e+03	3.652e-01	3.603e-01	3.706e-01	3.400e-01	3.306e-01	3.458e-01	3.412e-01	3.218e-01	3.476e-01	3.664e-01	3.594e-01	3.676e-01	3.415e-01	3.303e-01	3.464e-01	3.342e-01	3.285e-01	3.394e-01
1.900e+03	3.658e-01	3.594e-01	3.709e-01	3.427e-01	3.321e-01	3.464e-01	3.412e-01	3.221e-01	3.476e-01	3.655e-01	3.582e-01	3.682e-01	3.406e-01	3.315e-01	3.485e-01	3.361e-01	3.300e-01	3.458e-01
2.000e+03	3.661e-01	3.606e-01	3.697e-01	3.433e-01	3.355e-01	3.491e-01	3.409e-01	3.255e-01	3.497e-01	3.667e-01	3.603e-01	3.682e-01	3.406e-01	3.358e-01	3.488e-01	3.379e-01	3.300e-01	3.464e-01
2.100e+03	3.667e-01	3.597e-01	3.691e-01	3.455e-01	3.385e-01	3.500e-01	3.442e-01	3.285e-01	3.515e-01	3.664e-01	3.615e-01	3.685e-01	3.394e-01	3.364e-01	3.542e-01	3.388e-01	3.352e-01	3.485e-01
2.200e+03	3.658e-01	3.603e-01	3.715e-01	3.482e-01	3.382e-01	3.515e-01	3.455e-01	3.276e-01	3.536e-01	3.670e-01	3.600e-01	3.688e-01	3.436e-01	3.321e-01	3.491e-01	3.409e-01	3.339e-01	3.500e-01
2.300e+03	3.655e-01	3.627e-01	3.715e-01	3.482e-01	3.421e-01	3.548e-01	3.461e-01	3.279e-01	3.561e-01	3.661e-01	3.585e-01	3.700e-01	3.455e-01	3.348e-01	3.515e-01	3.436e-01	3.352e-01	3.500e-01
2.400e+03	3.652e-01	3.618e-01	3.730e-01	3.479e-01	3.421e-01	3.552e-01	3.467e-01	3.327e-01	3.570e-01	3.655e-01	3.579e-01	3.700e-01	3.448e-01	3.342e-01	3.542e-01	3.473e-01	3.364e-01	3.494e-01
2.500e+03	3.655e-01	3.621e-01	3.752e-01	3.509e-01	3.445e-01	3.588e-01	3.506e-01	3.333e-01	3.588e-01	3.655e-01	3.591e-01	3.700e-01	3.458e-01	3.348e-01	3.573e-01	3.464e-01	3.361e-01	3.494e-01
2.600e+03	3.664e-01	3.621e-01	3.755e-01	3.527e-01	3.445e-01	3.588e-01	3.512e-01	3.352e-01	3.588e-01	3.661e-01	3.600e-01	3.700e-01	3.494e-01	3.382e-01	3.573e-01	3.464e-01	3.382e-01	3.503e-01
2.700e+03	3.676e-01	3.618e-01	3.782e-01	3.518e-01	3.470e-01	3.609e-01	3.521e-01	3.379e-01	3.582e-01	3.655e-01	3.597e-01	3.694e-01	3.503e-01	3.400e-01	3.585e-01	3.461e-01	3.385e-01	3.527e-01
2.800e+03	3.682e-01	3.621e-01	3.788e-01	3.539e-01	3.455e-01	3.591e-01	3.515e-01	3.388e-01	3.624e-01	3.661e-01	3.588e-01	3.694e-01	3.512e-01	3.409e-01	3.579e-01	3.464e-01	3.388e-01	3.533e-01
2.900e+03	3.682e-01	3.615e-01	3.791e-01	3.542e-01	3.458e-01	3.594e-01	3.503e-01	3.388e-01	3.621e-01	3.648e-01	3.588e-01	3.685e-01	3.506e-01	3.412e-01	3.576e-01	3.470e-01	3.397e-01	3.536e-01
3.000e+03	3.697e-01	3.603e-01	3.785e-01	3.555e-01	3.485e-01	3.606e-01	3.542e-01	3.394e-01	3.624e-01	3.655e-01	3.594e-01	3.691e-01	3.515e-01	3.424e-01	3.588e-01	3.461e-01	3.379e-01	3.533e-01
3.100e+03	3.691e-01	3.597e-01	3.788e-01	3.567e-01	3.497e-01	3.609e-01	3.545e-01	3.403e-01	3.667e-01	3.667e-01	3.609e-01	3.694e-01	3.555e-01	3.427e-01	3.579e-01	3.467e-01	3.421e-01	3.545e-01
3.200e+03	3.697e-01	3.588e-01	3.779e-01	3.564e-01	3.503e-01	3.609e-01	3.539e-01	3.406e-01	3.661e-01	3.652e-01	3.603e-01	3.709e-01	3.561e-01	3.418e-01	3.597e-01	3.470e-01	3.409e-01	3.539e-01
3.300e+03	3.697e-01	3.591e-01	3.791e-01	3.570e-01	3.509e-01	3.624e-01	3.561e-01	3.409e-01	3.664e-01	3.658e-01	3.606e-01	3.703e-01	3.558e-01	3.439e-01	3.603e-01	3.473e-01	3.397e-01	3.536e-01
3.400e+03	3.700e-01	3.588e-01	3.794e-01	3.573e-01	3.518e-01	3.633e-01	3.570e-01	3.406e-01	3.642e-01	3.664e-01	3.609e-01	3.703e-01	3.558e-01	3.445e-01	3.615e-01	3.476e-01	3.427e-01	3.533e-01
3.500e+03	3.697e-01	3.603e-01	3.794e-01	3.600e-01	3.527e-01	3.661e-01	3.579e-01	3.452e-01	3.639e-01	3.652e-01	3.609e-01	3.700e-01	3.561e-01	3.458e-01	3.615e-01	3.491e-01	3.436e-01	3.561e-01
3.600e+03	3.694e-01	3.600e-01	3.794e-01	3.597e-01	3.545e-01	3.679e-01	3.582e-01	3.470e-01	3.639e-01	3.658e-01	3.603e-01	3.709e-01	3.564e-01	3.448e-01	3.621e-01	3.497e-01	3.421e-01	3.561e-01
3.700e+03	3.703e-01	3.600e-01	3.788e-01	3.606e-01	3.555e-01	3.679e-01	3.585e-01	3.448e-01	3.682e-01	3.648e-01	3.609e-01	3.703e-01	3.555e-01	3.467e-01	3.612e-01	3.500e-01	3.424e-01	3.594e-01
3.800e+03	3.700e-01	3.600e-01	3.800e-01	3.621e-01	3.564e-01	3.700e-01	3.597e-01	3.442e-01	3.682e-01	3.642e-01	3.606e-01	3.703e-01	3.555e-01	3.476e-01	3.618e-01	3.521e-01	3.433e-01	3.597e-01
