n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.max
1.000e+02	3.567e-01	2.882e-01	4.558e-01	3.869e-01	3.331e-01	4.440e-01	3.568e-01	2.933e-01	4.169e-01	2.455e-01	2.295e-01	3.680e-01	2.735e-01	2.275e-01	3.303e-01	2.400e-01	2.299e-01	2.599e-01
2.000e+02	3.060e-01	2.569e-01	3.461e-01	3.136e-01	2.745e-01	3.787e-01	3.028e-01	2.595e-01	3.368e-01	2.280e-01	1.263e-01	2.372e-01	2.278e-01	1.415e-01	2.553e-01	2.299e-01	1.309e-01	2.412e-01
3.000e+02	2.914e-01	2.563e-01	3.219e-01	2.808e-01	2.592e-01	3.350e-01	2.744e-01	2.434e-01	3.108e-01	1.479e-01	1.082e-01	2.291e-01	1.744e-01	1.091e-01	2.292e-01	2.025e-01	1.155e-01	2.286e-01
4.000e+02	2.737e-01	2.515e-01	3.028e-01	2.772e-01	2.497e-01	3.151e-01	2.595e-01	2.412e-01	3.033e-01	1.443e-01	1.012e-01	2.175e-01	1.700e-01	1.078e-01	2.278e-01	1.479e-01	6.298e-02	2.055e-01
5.000e+02	2.634e-01	2.477e-01	2.914e-01	2.604e-01	2.357e-01	2.888e-01	2.589e-01	2.412e-01	2.754e-01	1.352e-01	9.120e-02	1.829e-01	1.630e-01	1.078e-01	2.275e-01	1.407e-01	5.700e-02	2.029e-01
6.000e+02	2.622e-01	2.477e-01	2.914e-01	2.497e-01	2.324e-01	2.808e-01	2.500e-01	2.342e-01	2.606e-01	1.322e-01	8.026e-02	1.546e-01	1.630e-01	1.078e-01	2.252e-01	1.309e-01	5.347e-02	1.899e-01
7.000e+02	2.617e-01	2.477e-01	2.880e-01	2.463e-01	2.324e-01	2.785e-01	2.500e-01	2.338e-01	2.606e-01	1.322e-01	8.026e-02	1.546e-01	1.326e-01	1.047e-01	1.744e-01	1.276e-01	5.347e-02	1.515e-01
8.000e+02	2.522e-01	2.427e-01	2.708e-01	2.462e-01	2.321e-01	2.649e-01	2.430e-01	2.328e-01	2.589e-01	1.263e-01	6.945e-02	1.533e-01	1.293e-01	1.008e-01	1.700e-01	1.008e-01	5.041e-02	1.437e-01
9.000e+02	2.517e-01	2.414e-01	2.641e-01	2.454e-01	2.321e-01	2.649e-01	2.411e-01	2.322e-01	2.588e-01	1.097e-01	5.990e-02	1.443e-01	1.274e-01	9.866e-02	1.630e-01	1.008e-01	5.041e-02	1.437e-01
1.000e+03	2.515e-01	2.356e-01	2.622e-01	2.413e-01	2.311e-01	2.587e-01	2.342e-01	2.314e-01	2.462e-01	9.843e-02	5.570e-02	1.326e-01	1.274e-01	8.641e-02	1.594e-01	9.400e-02	5.041e-02	1.276e-01
