_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
2.500e-03	2.000e-02	2.325e-01	6.750e-02	5.250e-02	5.000e-02
3.250e-02	1.000e-02	6.250e-02	5.750e-02	1.000e-02	3.750e-02
1.500e-02	1.750e-02	2.500e-02	5.500e-02	3.500e-02	5.000e-02
0.000e+00	5.000e-03	0.000e+00	3.000e-02	2.500e-02	8.750e-02
7.500e-03	2.250e-02	0.000e+00	7.000e-02	4.500e-02	9.250e-02
6.000e-02	2.500e-02	3.500e-02	8.000e-02	1.225e-01	5.000e-02
1.050e-01	1.250e-02	5.000e-03	1.750e-02	4.250e-02	3.750e-02
2.500e-02	7.500e-03	2.500e-03	6.000e-02	5.000e-02	9.250e-02
1.250e-02	2.350e-01	2.500e-03	3.000e-02	5.250e-02	3.500e-02
1.250e-02	5.000e-03	1.125e-01	3.500e-02	6.500e-02	4.000e-02
1.250e-02	3.250e-02	1.000e-02	3.250e-02	4.000e-02	2.500e-02
2.000e-02	5.000e-03	1.250e-02	3.000e-02	2.000e-02	3.750e-02
4.500e-02	5.000e-03	5.000e-03	2.250e-02	5.250e-02	2.500e-02
1.000e-02	3.000e-02	1.000e-02	5.750e-02	9.500e-02	1.250e-02
5.000e-03	5.000e-03	1.750e-02	9.750e-02	4.000e-02	3.250e-02
3.650e-01	2.000e-02	0.000e+00	5.000e-02	5.250e-02	3.000e-02
1.900e-01	5.000e-03	4.500e-02	2.000e-02	5.250e-02	5.750e-02
3.250e-02	1.750e-02	0.000e+00	5.000e-02	6.750e-02	6.750e-02
1.750e-02	5.750e-02	5.000e-03	4.750e-02	3.500e-02	7.500e-02
1.275e-01	9.500e-02	1.625e-01	2.750e-02	1.525e-01	3.500e-02
5.250e-02	0.000e+00	5.000e-03	4.000e-02	3.250e-02	6.000e-02
2.000e-02	2.000e-01	2.500e-02	4.750e-02	3.000e-02	2.500e-02
2.500e-02	1.250e-02	7.500e-03	5.750e-02	2.750e-02	5.000e-02
7.500e-03	4.000e-02	0.000e+00	4.750e-02	5.250e-02	5.750e-02
1.700e-01	2.000e-02	2.750e-02	6.250e-02	2.750e-02	2.000e-02
1.250e-02	5.000e-03	7.000e-02	3.750e-02	5.250e-02	3.750e-02
7.500e-03	1.275e-01	2.275e-01	3.750e-02	6.750e-02	4.250e-02
7.500e-03	2.250e-02	1.750e-02	7.500e-02	6.000e-02	7.500e-02
1.000e-02	2.500e-03	2.000e-02	7.500e-02	7.250e-02	3.250e-02
3.250e-02	8.500e-02	1.650e-01	3.000e-02	4.500e-02	3.500e-02
