_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
4.007e-01	4.517e-01	4.469e-01	3.241e-01	3.128e-01	3.310e-01
3.614e-01	3.883e-01	3.321e-01	3.259e-01	4.100e-01	3.334e-01
4.355e-01	3.576e-01	3.407e-01	3.403e-01	3.345e-01	3.379e-01
3.224e-01	3.879e-01	4.041e-01	3.421e-01	3.255e-01	3.583e-01
3.345e-01	4.531e-01	3.572e-01	3.090e-01	3.472e-01	3.414e-01
3.803e-01	4.345e-01	3.776e-01	3.307e-01	3.600e-01	3.593e-01
4.131e-01	4.383e-01	3.524e-01	3.600e-01	3.338e-01	3.493e-01
4.059e-01	3.497e-01	2.538e-01	3.266e-01	3.379e-01	3.324e-01
4.331e-01	3.862e-01	3.428e-01	3.114e-01	3.434e-01	3.272e-01
3.272e-01	3.414e-01	4.176e-01	3.207e-01	3.345e-01	3.610e-01
4.224e-01	3.724e-01	3.590e-01	3.362e-01	3.369e-01	3.472e-01
2.983e-01	3.793e-01	3.807e-01	3.366e-01	3.414e-01	3.372e-01
3.055e-01	3.810e-01	4.483e-01	3.472e-01	3.352e-01	3.297e-01
4.169e-01	3.114e-01	3.724e-01	3.459e-01	3.269e-01	3.148e-01
2.714e-01	3.179e-01	3.872e-01	3.503e-01	3.372e-01	3.628e-01
3.697e-01	3.676e-01	3.638e-01	3.386e-01	3.455e-01	3.300e-01
3.821e-01	3.897e-01	3.762e-01	3.297e-01	3.479e-01	3.455e-01
3.503e-01	3.869e-01	3.231e-01	3.466e-01	3.566e-01	3.455e-01
3.655e-01	4.359e-01	4.286e-01	3.462e-01	2.897e-01	3.462e-01
3.262e-01	3.559e-01	3.724e-01	3.386e-01	3.738e-01	3.379e-01
3.669e-01	3.134e-01	4.603e-01	3.566e-01	3.531e-01	3.493e-01
3.852e-01	3.597e-01	4.090e-01	3.338e-01	3.552e-01	3.097e-01
4.997e-01	2.966e-01	3.966e-01	3.293e-01	3.459e-01	3.534e-01
3.866e-01	3.372e-01	3.748e-01	3.552e-01	3.386e-01	3.455e-01
3.679e-01	3.659e-01	3.917e-01	3.483e-01	3.400e-01	3.276e-01
4.141e-01	3.328e-01	3.710e-01	3.386e-01	3.534e-01	3.390e-01
3.686e-01	4.307e-01	3.934e-01	3.321e-01	3.341e-01	3.307e-01
3.586e-01	3.745e-01	3.562e-01	3.369e-01	3.214e-01	3.338e-01
3.983e-01	3.872e-01	4.472e-01	3.462e-01	3.524e-01	3.307e-01
4.900e-01	4.717e-01	3.645e-01	3.407e-01	3.286e-01	3.045e-01
