_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
2.845e-01	3.314e-01	3.954e-01	3.414e-01	3.357e-01	3.513e-01
3.485e-01	2.418e-01	3.513e-01	3.841e-01	3.001e-01	3.656e-01
3.613e-01	3.627e-01	3.072e-01	3.414e-01	3.229e-01	3.257e-01
5.234e-01	3.044e-01	2.816e-01	2.973e-01	3.485e-01	2.959e-01
2.219e-01	3.613e-01	1.067e-01	3.044e-01	3.158e-01	2.731e-01
3.841e-01	4.125e-01	2.077e-01	2.930e-01	2.489e-01	3.300e-01
2.461e-01	4.068e-01	3.670e-01	2.660e-01	3.243e-01	3.769e-01
3.257e-01	2.262e-01	2.731e-01	3.101e-01	3.784e-01	2.774e-01
3.115e-01	2.859e-01	4.011e-01	3.229e-01	3.414e-01	3.343e-01
3.641e-01	3.954e-01	4.210e-01	3.072e-01	3.684e-01	2.930e-01
3.826e-01	3.542e-01	3.016e-01	3.343e-01	4.097e-01	3.456e-01
4.281e-01	3.869e-01	3.328e-01	3.428e-01	2.816e-01	3.272e-01
3.357e-01	4.139e-01	2.432e-01	3.385e-01	3.257e-01	3.769e-01
3.826e-01	3.812e-01	3.741e-01	3.328e-01	2.831e-01	3.272e-01
3.613e-01	3.016e-01	4.395e-01	3.471e-01	3.328e-01	3.158e-01
3.016e-01	3.044e-01	3.016e-01	3.357e-01	3.357e-01	2.831e-01
2.020e-01	4.395e-01	3.115e-01	3.556e-01	3.101e-01	2.987e-01
2.603e-01	4.893e-01	1.536e-01	3.243e-01	2.646e-01	3.442e-01
4.068e-01	2.973e-01	3.300e-01	3.314e-01	3.897e-01	3.385e-01
2.802e-01	3.314e-01	2.276e-01	3.371e-01	3.016e-01	3.599e-01
3.627e-01	2.304e-01	4.310e-01	3.300e-01	3.954e-01	2.831e-01
3.044e-01	3.599e-01	3.058e-01	2.888e-01	3.713e-01	3.485e-01
2.944e-01	3.542e-01	4.125e-01	3.030e-01	3.599e-01	3.001e-01
4.025e-01	2.788e-01	2.020e-01	3.044e-01	3.471e-01	3.172e-01
3.328e-01	2.759e-01	2.816e-01	3.528e-01	3.215e-01	3.371e-01
2.319e-01	3.954e-01	3.001e-01	2.745e-01	2.916e-01	3.300e-01
3.841e-01	9.957e-02	1.949e-01	3.769e-01	3.101e-01	2.489e-01
3.741e-01	4.054e-01	3.428e-01	3.286e-01	3.058e-01	2.944e-01
2.845e-01	5.334e-01	1.963e-01	2.759e-01	3.129e-01	3.328e-01
4.253e-01	1.394e-01	3.542e-01	3.215e-01	3.428e-01	3.129e-01
