_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
4.130e-01	4.700e-01	5.052e-01	3.658e-01	3.527e-01	3.718e-01
3.958e-01	3.939e-01	3.742e-01	3.752e-01	4.255e-01	3.755e-01
4.615e-01	3.936e-01	3.679e-01	3.785e-01	3.670e-01	3.724e-01
3.948e-01	4.064e-01	4.152e-01	3.676e-01	3.633e-01	3.885e-01
3.421e-01	4.779e-01	3.367e-01	3.448e-01	3.779e-01	3.694e-01
4.233e-01	4.727e-01	3.803e-01	3.627e-01	3.842e-01	3.921e-01
4.282e-01	4.733e-01	3.885e-01	3.752e-01	3.676e-01	3.918e-01
4.291e-01	3.564e-01	2.815e-01	3.603e-01	3.836e-01	3.624e-01
4.485e-01	4.288e-01	3.870e-01	3.461e-01	3.809e-01	3.630e-01
3.667e-01	3.848e-01	4.703e-01	3.515e-01	3.803e-01	3.845e-01
4.542e-01	4.067e-01	3.809e-01	3.706e-01	3.882e-01	3.818e-01
3.558e-01	4.164e-01	4.070e-01	3.724e-01	3.624e-01	3.706e-01
3.455e-01	4.236e-01	4.464e-01	3.800e-01	3.703e-01	3.730e-01
4.491e-01	3.585e-01	4.082e-01	3.818e-01	3.591e-01	3.479e-01
3.161e-01	3.442e-01	4.361e-01	3.936e-01	3.721e-01	3.900e-01
4.333e-01	3.903e-01	3.839e-01	3.752e-01	3.815e-01	3.539e-01
4.018e-01	4.367e-01	4.024e-01	3.679e-01	3.782e-01	3.742e-01
3.673e-01	4.464e-01	3.167e-01	3.797e-01	3.779e-01	3.852e-01
4.100e-01	4.533e-01	4.476e-01	3.806e-01	3.418e-01	3.855e-01
3.618e-01	3.948e-01	3.955e-01	3.727e-01	4.112e-01	3.779e-01
4.061e-01	3.245e-01	4.970e-01	3.885e-01	3.985e-01	3.745e-01
4.058e-01	4.170e-01	4.276e-01	3.606e-01	3.948e-01	3.494e-01
5.048e-01	3.376e-01	4.373e-01	3.609e-01	3.839e-01	3.806e-01
4.264e-01	3.606e-01	3.724e-01	3.827e-01	3.779e-01	3.782e-01
4.148e-01	3.827e-01	4.076e-01	3.888e-01	3.706e-01	3.621e-01
4.148e-01	3.773e-01	3.985e-01	3.606e-01	3.791e-01	3.727e-01
4.067e-01	4.152e-01	4.148e-01	3.767e-01	3.679e-01	3.488e-01
3.958e-01	4.182e-01	3.882e-01	3.752e-01	3.548e-01	3.652e-01
4.118e-01	4.542e-01	4.373e-01	3.721e-01	3.852e-01	3.655e-01
5.252e-01	4.545e-01	4.158e-01	3.715e-01	3.673e-01	3.385e-01
