_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	2.500e-01	2.500e-01	2.500e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2.500e-01	0.000e+00	2.500e-01	0.000e+00	2.500e-01	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01
5.000e-01	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00
2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00
2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	2.500e-01	2.500e-01	0.000e+00	2.500e-01	0.000e+00
2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2.500e-01	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	2.500e-01	2.500e-01	2.500e-01	2.500e-01
0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01
0.000e+00	2.500e-01	5.000e-01	0.000e+00	0.000e+00	0.000e+00
