_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
4.138e-01	4.138e-01	4.483e-01	3.448e-01	3.448e-01	3.103e-01
3.793e-01	3.793e-01	3.103e-01	3.448e-01	5.172e-01	3.793e-01
5.517e-01	2.069e-01	3.103e-01	2.759e-01	3.448e-01	4.138e-01
3.448e-01	3.793e-01	4.483e-01	4.138e-01	2.414e-01	4.483e-01
3.103e-01	4.483e-01	3.793e-01	3.793e-01	3.793e-01	3.103e-01
3.103e-01	4.138e-01	4.483e-01	2.759e-01	3.793e-01	3.793e-01
4.828e-01	4.828e-01	3.103e-01	2.759e-01	3.103e-01	4.138e-01
3.448e-01	3.448e-01	2.069e-01	2.759e-01	3.793e-01	3.103e-01
4.483e-01	3.793e-01	3.793e-01	1.724e-01	2.414e-01	2.759e-01
3.793e-01	3.103e-01	5.172e-01	3.793e-01	2.759e-01	3.103e-01
4.138e-01	3.793e-01	3.103e-01	3.793e-01	3.103e-01	3.793e-01
2.759e-01	3.448e-01	3.448e-01	3.448e-01	4.138e-01	3.448e-01
3.103e-01	4.138e-01	3.793e-01	3.103e-01	3.793e-01	3.103e-01
4.828e-01	2.759e-01	3.448e-01	3.793e-01	4.138e-01	1.724e-01
3.793e-01	2.414e-01	4.138e-01	2.759e-01	3.103e-01	4.483e-01
3.793e-01	3.103e-01	3.103e-01	3.448e-01	2.759e-01	3.793e-01
3.793e-01	3.448e-01	3.103e-01	2.759e-01	3.103e-01	3.793e-01
4.483e-01	3.448e-01	3.103e-01	3.793e-01	3.793e-01	3.103e-01
3.448e-01	4.483e-01	5.172e-01	3.793e-01	2.759e-01	3.103e-01
2.414e-01	3.793e-01	3.103e-01	3.448e-01	3.448e-01	3.103e-01
3.103e-01	3.793e-01	4.138e-01	4.138e-01	3.793e-01	3.448e-01
3.793e-01	3.793e-01	3.793e-01	2.069e-01	3.793e-01	3.103e-01
5.172e-01	3.103e-01	4.483e-01	4.483e-01	4.138e-01	4.138e-01
4.483e-01	3.448e-01	3.448e-01	3.103e-01	2.759e-01	3.103e-01
3.793e-01	4.138e-01	4.138e-01	3.448e-01	2.069e-01	2.759e-01
5.172e-01	2.759e-01	3.793e-01	3.793e-01	3.793e-01	2.414e-01
4.138e-01	4.483e-01	3.793e-01	3.103e-01	3.448e-01	3.448e-01
3.103e-01	3.103e-01	3.793e-01	2.759e-01	3.103e-01	2.759e-01
3.793e-01	4.483e-01	4.828e-01	3.103e-01	3.793e-01	3.448e-01
4.138e-01	4.828e-01	2.414e-01	4.483e-01	3.448e-01	3.103e-01
