_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
2.845e-01	4.267e-01	4.267e-01	2.845e-01	5.690e-01	2.845e-01
4.267e-01	2.845e-01	4.267e-01	2.845e-01	2.845e-01	5.690e-01
1.422e-01	2.845e-01	4.267e-01	4.267e-01	4.267e-01	1.422e-01
5.690e-01	2.845e-01	2.845e-01	2.845e-01	4.267e-01	5.690e-01
1.422e-01	5.690e-01	1.422e-01	1.422e-01	2.845e-01	2.845e-01
4.267e-01	4.267e-01	2.845e-01	4.267e-01	1.422e-01	4.267e-01
4.267e-01	5.690e-01	2.845e-01	1.422e-01	2.845e-01	4.267e-01
5.690e-01	2.845e-01	2.845e-01	4.267e-01	1.422e-01	5.690e-01
2.845e-01	2.845e-01	4.267e-01	4.267e-01	5.690e-01	2.845e-01
2.845e-01	2.845e-01	4.267e-01	4.267e-01	4.267e-01	2.845e-01
4.267e-01	4.267e-01	2.845e-01	4.267e-01	4.267e-01	2.845e-01
4.267e-01	4.267e-01	0.000e+00	2.845e-01	1.422e-01	2.845e-01
4.267e-01	2.845e-01	2.845e-01	2.845e-01	2.845e-01	4.267e-01
1.422e-01	4.267e-01	5.690e-01	2.845e-01	2.845e-01	4.267e-01
2.845e-01	2.845e-01	4.267e-01	4.267e-01	4.267e-01	2.845e-01
2.845e-01	1.422e-01	4.267e-01	1.422e-01	2.845e-01	1.422e-01
1.422e-01	4.267e-01	4.267e-01	4.267e-01	2.845e-01	2.845e-01
2.845e-01	5.690e-01	1.422e-01	5.690e-01	1.422e-01	4.267e-01
2.845e-01	4.267e-01	2.845e-01	4.267e-01	4.267e-01	4.267e-01
4.267e-01	2.845e-01	1.422e-01	1.422e-01	4.267e-01	4.267e-01
2.845e-01	2.845e-01	5.690e-01	4.267e-01	5.690e-01	4.267e-01
5.690e-01	4.267e-01	2.845e-01	1.422e-01	5.690e-01	4.267e-01
2.845e-01	4.267e-01	2.845e-01	4.267e-01	2.845e-01	2.845e-01
4.267e-01	2.845e-01	1.422e-01	2.845e-01	5.690e-01	5.690e-01
2.845e-01	1.422e-01	0.000e+00	4.267e-01	4.267e-01	4.267e-01
1.422e-01	5.690e-01	1.422e-01	2.845e-01	4.267e-01	4.267e-01
2.845e-01	1.422e-01	2.845e-01	2.845e-01	2.845e-01	0.000e+00
4.267e-01	1.422e-01	1.422e-01	2.845e-01	4.267e-01	4.267e-01
1.422e-01	5.690e-01	1.422e-01	1.422e-01	2.845e-01	1.422e-01
5.690e-01	2.845e-01	2.845e-01	1.422e-01	2.845e-01	4.267e-01
