_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
1.496e-02	4.704e-03	1.284e-03	4.805e-03	6.795e-03	1.593e-02
2.474e-02	5.557e-03	3.795e-02	1.217e-02	2.876e-03	7.466e-03
8.740e-03	4.288e-02	1.426e-01	6.015e-03	2.914e-03	9.617e-03
7.939e-03	2.840e-03	4.286e-03	9.778e-03	5.664e-03	8.624e-03
2.626e-02	5.652e-03	2.314e-03	2.041e-02	8.962e-03	1.483e-02
2.007e-02	7.452e-03	1.276e-02	1.452e-02	1.300e-03	2.346e-02
5.804e-03	3.059e-02	2.186e-02	9.501e-03	2.025e-02	8.770e-03
1.035e-02	1.526e-02	7.412e-03	7.853e-03	2.315e-03	3.777e-03
3.102e-03	1.590e-03	2.412e-02	2.057e-03	7.947e-03	3.085e-04
9.182e-02	4.320e-02	2.888e-02	9.729e-04	5.292e-03	1.249e-02
4.236e-02	2.286e-03	7.673e-02	4.212e-03	2.496e-03	7.010e-03
9.750e-03	3.574e-03	7.545e-02	8.461e-03	1.357e-02	7.208e-03
7.759e-02	6.416e-03	4.088e-02	2.811e-03	8.907e-03	7.162e-03
2.228e-02	3.016e-02	1.466e-02	9.661e-03	5.293e-03	1.170e-02
6.444e-03	1.719e-02	1.497e-02	1.299e-03	1.333e-02	6.827e-03
3.003e-02	6.835e-03	1.136e-02	4.060e-03	7.318e-03	1.704e-03
7.053e-03	3.235e-03	1.692e-02	1.400e-02	4.457e-03	8.670e-03
3.991e-02	4.880e-03	2.087e-02	1.066e-03	6.479e-03	1.294e-02
1.359e-03	2.462e-03	1.197e-03	4.517e-03	5.163e-03	5.344e-03
1.785e-02	2.731e-02	2.000e-02	2.415e-03	5.817e-03	2.938e-03
7.696e-03	2.396e-02	3.874e-03	7.801e-04	6.470e-03	9.290e-03
1.095e-02	8.971e-03	3.016e-03	3.757e-03	2.021e-02	1.133e-03
1.862e-03	3.694e-03	1.222e-02	1.744e-03	7.346e-03	7.580e-03
2.114e-02	1.008e-01	7.197e-03	1.251e-02	6.978e-03	1.308e-02
2.319e-02	1.089e-02	8.645e-02	1.155e-02	8.334e-03	6.491e-03
9.297e-03	1.508e-03	1.015e-01	1.978e-02	4.201e-03	4.977e-03
1.915e-02	3.066e-03	5.636e-03	8.319e-03	2.426e-03	2.148e-03
1.248e-02	1.691e-02	1.404e-02	7.225e-03	7.321e-03	7.776e-03
2.901e-02	7.387e-03	5.805e-04	8.218e-03	1.635e-02	8.616e-03
1.132e-02	1.626e-02	4.490e-02	3.823e-03	4.753e-03	4.038e-03
