_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
4.242e-01	4.545e-01	5.152e-01	3.636e-01	4.242e-01	3.636e-01
4.242e-01	3.939e-01	3.636e-01	3.636e-01	5.152e-01	4.545e-01
5.152e-01	2.424e-01	3.636e-01	3.333e-01	3.939e-01	4.242e-01
4.242e-01	3.939e-01	4.545e-01	4.242e-01	3.030e-01	5.152e-01
3.030e-01	5.152e-01	3.636e-01	3.939e-01	4.242e-01	3.636e-01
3.636e-01	4.545e-01	4.545e-01	3.333e-01	3.939e-01	4.242e-01
5.152e-01	5.455e-01	3.333e-01	2.727e-01	3.333e-01	4.545e-01
4.242e-01	3.636e-01	2.424e-01	3.333e-01	3.636e-01	3.939e-01
4.545e-01	4.242e-01	4.242e-01	2.424e-01	3.333e-01	3.030e-01
3.939e-01	3.333e-01	5.758e-01	4.242e-01	3.636e-01	3.333e-01
4.545e-01	4.242e-01	3.333e-01	4.242e-01	3.636e-01	4.242e-01
3.333e-01	3.939e-01	3.030e-01	3.636e-01	3.939e-01	3.636e-01
3.939e-01	4.242e-01	4.242e-01	3.333e-01	4.242e-01	3.636e-01
4.545e-01	3.333e-01	4.242e-01	3.939e-01	4.242e-01	2.424e-01
3.939e-01	2.727e-01	4.545e-01	3.333e-01	3.636e-01	4.848e-01
4.545e-01	3.030e-01	3.636e-01	3.333e-01	3.333e-01	3.636e-01
3.939e-01	3.939e-01	3.636e-01	3.333e-01	3.333e-01	3.939e-01
4.545e-01	4.242e-01	3.030e-01	4.545e-01	3.939e-01	3.636e-01
3.939e-01	4.848e-01	5.152e-01	4.242e-01	3.333e-01	3.636e-01
3.030e-01	4.242e-01	3.333e-01	3.333e-01	4.242e-01	3.636e-01
3.636e-01	3.939e-01	4.848e-01	4.545e-01	4.545e-01	3.939e-01
4.545e-01	4.545e-01	3.939e-01	2.121e-01	4.545e-01	3.636e-01
5.152e-01	3.636e-01	4.545e-01	4.848e-01	4.545e-01	4.242e-01
4.848e-01	3.636e-01	3.333e-01	3.333e-01	3.636e-01	3.939e-01
4.242e-01	3.939e-01	3.636e-01	4.242e-01	2.727e-01	3.333e-01
4.848e-01	3.636e-01	3.636e-01	3.939e-01	4.242e-01	3.030e-01
4.242e-01	4.242e-01	4.242e-01	3.636e-01	3.939e-01	3.333e-01
3.636e-01	3.030e-01	3.636e-01	3.333e-01	3.636e-01	3.333e-01
3.636e-01	5.152e-01	4.545e-01	3.333e-01	3.939e-01	3.636e-01
4.848e-01	5.152e-01	3.333e-01	4.242e-01	3.636e-01	3.636e-01
