_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
2.487e-02	6.782e-02	9.523e-02	1.165e-01	1.134e-01	1.000e-01
8.408e-02	4.899e-02	1.139e-01	1.110e-01	4.899e-02	9.601e-02
5.937e-02	6.379e-02	7.500e-02	1.036e-01	8.675e-02	1.000e-01
0.000e+00	3.500e-02	0.000e+00	8.124e-02	7.500e-02	1.244e-01
4.265e-02	7.155e-02	0.000e+00	1.122e-01	9.605e-02	1.207e-01
1.125e-01	7.500e-02	8.675e-02	1.219e-01	1.250e-01	1.000e-01
1.234e-01	5.449e-02	3.500e-02	6.379e-02	9.391e-02	8.927e-02
8.292e-02	4.265e-02	2.487e-02	1.068e-01	1.000e-01	1.258e-01
5.449e-02	6.910e-02	2.487e-02	8.124e-02	1.078e-01	8.675e-02
6.495e-02	3.500e-02	1.293e-01	8.675e-02	1.152e-01	9.823e-02
5.449e-02	8.408e-02	4.899e-02	8.408e-02	9.165e-02	7.500e-02
6.782e-02	3.500e-02	5.449e-02	8.124e-02	6.782e-02	8.927e-02
9.605e-02	3.500e-02	3.500e-02	7.155e-02	1.018e-01	7.500e-02
4.899e-02	8.124e-02	4.899e-02	1.052e-01	1.312e-01	5.449e-02
3.500e-02	3.500e-02	6.379e-02	1.318e-01	9.165e-02	8.408e-02
2.104e-01	6.782e-02	0.000e+00	1.061e-01	1.018e-01	8.124e-02
1.125e-01	3.500e-02	9.605e-02	6.782e-02	1.018e-01	1.052e-01
8.408e-02	6.379e-02	0.000e+00	1.000e-01	1.217e-01	1.110e-01
6.379e-02	1.110e-01	3.500e-02	9.808e-02	8.675e-02	1.346e-01
1.299e-01	1.264e-01	1.192e-01	7.822e-02	1.270e-01	8.675e-02
1.018e-01	0.000e+00	3.500e-02	9.165e-02	9.121e-02	1.068e-01
6.782e-02	1.061e-01	7.500e-02	9.808e-02	8.124e-02	7.500e-02
7.500e-02	5.449e-02	4.265e-02	1.052e-01	7.822e-02	1.000e-01
4.265e-02	9.165e-02	0.000e+00	9.808e-02	1.078e-01	1.052e-01
1.166e-01	6.782e-02	7.822e-02	1.139e-01	7.822e-02	6.782e-02
5.449e-02	3.500e-02	1.503e-01	9.601e-02	1.078e-01	9.601e-02
4.265e-02	1.250e-01	7.155e-02	1.023e-01	1.110e-01	9.391e-02
4.265e-02	7.155e-02	6.379e-02	1.146e-01	1.068e-01	1.436e-01
4.899e-02	2.487e-02	6.782e-02	1.199e-01	1.289e-01	8.408e-02
8.408e-02	1.236e-01	1.333e-01	9.539e-02	9.605e-02	8.675e-02
