_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
3.770e-02	4.985e-02	3.446e-02	6.597e-02	6.307e-02	6.207e-02
4.006e-02	6.907e-02	6.908e-02	4.737e-02	1.111e-01	5.954e-02
6.314e-02	9.810e-02	4.859e-02	5.722e-02	5.902e-02	6.377e-02
2.598e-02	4.062e-02	3.684e-02	5.489e-02	6.155e-02	6.825e-02
2.864e-02	2.844e-02	4.691e-02	9.328e-02	6.135e-02	5.126e-02
5.194e-02	2.671e-02	5.525e-02	4.755e-02	6.155e-02	5.025e-02
6.129e-02	5.191e-02	6.199e-02	6.346e-02	6.356e-02	5.553e-02
5.493e-02	3.517e-02	4.986e-02	5.217e-02	6.264e-02	4.840e-02
5.305e-02	3.045e-02	6.126e-02	8.108e-02	5.558e-02	5.218e-02
4.152e-02	3.886e-02	6.946e-02	1.072e-01	7.718e-02	6.748e-02
7.056e-02	3.307e-02	7.365e-02	5.525e-02	6.666e-02	6.419e-02
3.495e-02	3.307e-02	6.050e-02	6.742e-02	6.497e-02	6.313e-02
7.250e-02	3.789e-02	9.162e-02	5.958e-02	5.914e-02	7.685e-02
3.812e-02	5.738e-02	5.791e-02	4.888e-02	5.613e-02	7.422e-02
1.050e-01	4.963e-02	3.773e-02	7.359e-02	7.144e-02	7.451e-02
4.309e-02	8.336e-02	5.146e-02	6.955e-02	6.358e-02	6.115e-02
3.573e-02	2.649e-02	3.994e-02	6.097e-02	6.898e-02	7.083e-02
5.446e-02	5.399e-02	3.767e-02	4.558e-02	6.362e-02	6.774e-02
2.671e-02	5.150e-02	5.796e-02	5.830e-02	7.084e-02	5.250e-02
8.353e-02	4.750e-02	6.245e-02	7.006e-02	5.291e-02	5.408e-02
5.719e-02	3.685e-02	8.004e-02	6.325e-02	5.071e-02	6.277e-02
3.518e-02	3.016e-02	3.007e-02	7.215e-02	5.149e-02	6.226e-02
6.101e-02	4.828e-02	3.600e-02	8.577e-02	6.677e-02	7.386e-02
6.692e-02	4.717e-02	4.041e-02	8.065e-02	5.006e-02	5.872e-02
4.926e-02	3.445e-02	8.999e-02	5.056e-02	6.488e-02	5.241e-02
4.265e-02	5.170e-02	7.414e-02	6.458e-02	6.365e-02	5.299e-02
5.618e-02	5.080e-02	3.126e-02	6.239e-02	6.977e-02	5.793e-02
6.488e-02	4.252e-02	5.388e-02	5.578e-02	5.747e-02	5.558e-02
4.532e-02	3.512e-02	5.148e-02	6.089e-02	4.963e-02	9.006e-02
7.105e-02	6.108e-02	5.235e-02	6.345e-02	6.605e-02	8.792e-02
