_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
1.120e-01	8.060e-02	8.901e-02	1.334e-01	1.603e-01	1.415e-01
1.090e-01	1.199e-01	1.341e-01	1.713e-01	1.222e-01	1.368e-01
1.091e-01	1.127e-01	1.040e-01	1.492e-01	1.221e-01	1.178e-01
7.219e-02	6.974e-02	2.831e-02	1.140e-01	1.385e-01	1.374e-01
8.610e-02	1.128e-01	1.162e-01	1.408e-01	1.094e-01	1.096e-01
1.578e-01	4.718e-02	1.197e-01	1.152e-01	1.278e-01	1.517e-01
1.657e-01	1.951e-01	1.009e-01	1.403e-01	1.336e-01	1.145e-01
1.803e-01	1.047e-01	1.501e-01	1.262e-01	1.561e-01	1.413e-01
8.462e-02	4.715e-02	9.727e-02	1.117e-01	1.224e-01	1.179e-01
1.032e-01	1.075e-01	1.100e-01	1.528e-01	1.409e-01	1.237e-01
7.969e-02	8.414e-02	7.602e-02	1.497e-01	1.536e-01	1.244e-01
8.170e-02	7.548e-02	1.368e-01	1.452e-01	1.364e-01	1.055e-01
1.458e-01	8.070e-02	1.178e-01	1.152e-01	1.261e-01	1.162e-01
1.039e-01	1.118e-01	1.314e-01	1.307e-01	9.107e-02	1.280e-01
1.341e-01	8.116e-02	8.070e-02	1.293e-01	1.307e-01	1.130e-01
9.059e-02	1.288e-01	1.468e-01	1.147e-01	1.265e-01	1.485e-01
1.105e-01	7.552e-02	6.263e-02	1.215e-01	1.213e-01	1.264e-01
1.046e-01	1.144e-01	7.163e-02	1.320e-01	1.240e-01	1.337e-01
6.974e-02	5.723e-02	7.219e-02	1.493e-01	1.095e-01	1.236e-01
1.386e-01	1.084e-01	1.138e-01	1.329e-01	9.059e-02	1.371e-01
9.726e-02	9.170e-02	8.642e-02	1.081e-01	1.297e-01	1.771e-01
9.001e-02	1.311e-01	5.463e-02	1.415e-01	1.421e-01	1.355e-01
8.110e-02	7.659e-02	7.391e-02	1.501e-01	1.498e-01	1.205e-01
1.174e-01	7.505e-02	7.575e-02	1.423e-01	1.523e-01	1.681e-01
7.848e-02	1.434e-01	1.532e-01	1.092e-01	1.445e-01	1.403e-01
1.283e-01	1.233e-01	1.118e-01	1.338e-01	1.278e-01	1.205e-01
1.182e-01	8.652e-02	7.156e-02	1.340e-01	1.072e-01	1.803e-01
1.374e-01	8.385e-02	1.452e-01	1.404e-01	1.563e-01	1.353e-01
1.634e-01	7.076e-02	7.191e-02	1.434e-01	1.288e-01	1.561e-01
1.264e-01	1.240e-01	1.215e-01	1.514e-01	1.351e-01	1.190e-01
