_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.e_maze.ga.pleiotropy.1.0	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique	_.vs.4.nav.y_maze.ga.pleiotropy.1.0	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential
3.338e-02	3.986e-02	3.209e-02	5.849e-02	5.530e-02	5.050e-02
3.632e-02	5.071e-02	6.318e-02	5.030e-02	1.017e-01	5.553e-02
5.858e-02	1.028e-01	3.712e-02	5.884e-02	5.334e-02	5.974e-02
2.162e-02	3.210e-02	3.221e-02	4.823e-02	5.292e-02	6.081e-02
2.884e-02	2.705e-02	3.146e-02	9.007e-02	5.677e-02	4.013e-02
6.741e-02	2.308e-02	6.754e-02	5.151e-02	5.123e-02	5.418e-02
4.384e-02	7.911e-02	6.561e-02	5.262e-02	5.398e-02	5.459e-02
3.553e-02	2.910e-02	5.021e-02	4.493e-02	5.558e-02	3.855e-02
3.402e-02	2.655e-02	6.497e-02	7.237e-02	5.147e-02	4.960e-02
3.986e-02	3.845e-02	8.046e-02	1.121e-01	6.260e-02	5.364e-02
6.407e-02	3.716e-02	6.375e-02	4.430e-02	5.550e-02	6.385e-02
2.731e-02	2.663e-02	6.019e-02	5.706e-02	5.700e-02	5.747e-02
7.606e-02	2.874e-02	6.974e-02	5.772e-02	4.934e-02	7.167e-02
4.461e-02	3.929e-02	4.143e-02	4.264e-02	4.818e-02	6.755e-02
1.070e-01	4.032e-02	3.426e-02	8.381e-02	5.285e-02	6.565e-02
4.782e-02	7.645e-02	4.350e-02	6.162e-02	6.444e-02	5.194e-02
3.418e-02	2.714e-02	3.906e-02	5.336e-02	6.618e-02	6.533e-02
3.981e-02	5.795e-02	2.887e-02	4.876e-02	5.660e-02	7.072e-02
2.162e-02	3.855e-02	5.795e-02	5.609e-02	6.107e-02	5.862e-02
6.058e-02	5.239e-02	5.787e-02	6.038e-02	5.625e-02	5.836e-02
3.402e-02	3.864e-02	7.197e-02	5.675e-02	5.708e-02	5.613e-02
3.505e-02	3.323e-02	2.707e-02	6.492e-02	5.428e-02	5.360e-02
4.738e-02	3.881e-02	3.068e-02	8.636e-02	5.766e-02	7.085e-02
6.302e-02	4.566e-02	3.694e-02	8.184e-02	4.742e-02	5.007e-02
4.610e-02	3.365e-02	7.303e-02	5.108e-02	5.384e-02	4.207e-02
2.700e-02	3.595e-02	6.644e-02	5.169e-02	6.392e-02	4.989e-02
4.852e-02	4.339e-02	2.928e-02	5.305e-02	6.225e-02	5.327e-02
4.671e-02	4.391e-02	5.840e-02	4.825e-02	4.948e-02	5.561e-02
5.439e-02	3.361e-02	3.791e-02	6.182e-02	4.521e-02	8.843e-02
5.054e-02	5.034e-02	4.179e-02	5.329e-02	5.559e-02	8.720e-02
