n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.max
1.000e+02	5.883e-02	5.565e-02	6.146e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.883e-02	5.565e-02	6.146e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2.000e+02	6.060e-02	5.743e-02	6.233e-02	1.653e-01	1.627e-01	1.686e-01	1.680e-01	1.605e-01	1.716e-01	5.934e-02	5.674e-02	6.253e-02	1.668e-01	1.656e-01	1.685e-01	1.667e-01	1.630e-01	1.704e-01
3.000e+02	5.994e-02	5.751e-02	6.379e-02	1.639e-01	1.617e-01	1.664e-01	1.647e-01	1.600e-01	1.680e-01	6.061e-02	5.717e-02	6.241e-02	1.645e-01	1.617e-01	1.671e-01	1.651e-01	1.609e-01	1.677e-01
4.000e+02	5.996e-02	5.584e-02	6.188e-02	1.573e-01	1.527e-01	1.607e-01	1.555e-01	1.509e-01	1.609e-01	5.974e-02	5.730e-02	6.269e-02	1.560e-01	1.543e-01	1.586e-01	1.561e-01	1.510e-01	1.631e-01
5.000e+02	6.028e-02	5.558e-02	6.329e-02	1.502e-01	1.442e-01	1.532e-01	1.485e-01	1.413e-01	1.565e-01	6.057e-02	5.797e-02	6.380e-02	1.501e-01	1.426e-01	1.528e-01	1.484e-01	1.412e-01	1.566e-01
6.000e+02	5.941e-02	5.778e-02	6.210e-02	1.433e-01	1.356e-01	1.480e-01	1.431e-01	1.343e-01	1.532e-01	6.137e-02	5.784e-02	6.341e-02	1.431e-01	1.376e-01	1.476e-01	1.416e-01	1.356e-01	1.512e-01
7.000e+02	6.018e-02	5.776e-02	6.284e-02	1.391e-01	1.299e-01	1.418e-01	1.369e-01	1.302e-01	1.480e-01	6.079e-02	5.829e-02	6.337e-02	1.360e-01	1.311e-01	1.429e-01	1.355e-01	1.293e-01	1.468e-01
8.000e+02	5.941e-02	5.687e-02	6.304e-02	1.349e-01	1.286e-01	1.378e-01	1.337e-01	1.225e-01	1.410e-01	6.195e-02	5.834e-02	6.420e-02	1.312e-01	1.235e-01	1.370e-01	1.298e-01	1.220e-01	1.369e-01
9.000e+02	6.000e-02	5.703e-02	6.358e-02	1.294e-01	1.218e-01	1.324e-01	1.278e-01	1.200e-01	1.339e-01	6.131e-02	5.875e-02	6.437e-02	1.268e-01	1.195e-01	1.358e-01	1.253e-01	1.186e-01	1.374e-01
1.000e+03	6.049e-02	5.590e-02	6.277e-02	1.240e-01	1.183e-01	1.305e-01	1.231e-01	1.139e-01	1.318e-01	6.101e-02	5.921e-02	6.272e-02	1.202e-01	1.177e-01	1.342e-01	1.247e-01	1.168e-01	1.317e-01
