n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.cross.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.cross.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.cross.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.cross.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.cross.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.cross.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.cross.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.cross.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.cross.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.cross.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.cross.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.cross.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.cross.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.cross.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.cross.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.cross.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.cross.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.cross.pleiotropy.sd.max
1.000e+02	1.373e-01	1.298e-01	1.409e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.373e-01	1.298e-01	1.409e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2.000e+02	1.389e-01	1.277e-01	1.417e-01	1.810e-01	1.733e-01	1.843e-01	1.849e-01	1.773e-01	1.903e-01	1.348e-01	1.307e-01	1.395e-01	1.808e-01	1.765e-01	1.877e-01	1.837e-01	1.765e-01	1.887e-01
3.000e+02	1.350e-01	1.267e-01	1.432e-01	1.879e-01	1.813e-01	1.957e-01	1.888e-01	1.827e-01	1.912e-01	1.370e-01	1.302e-01	1.404e-01	1.871e-01	1.826e-01	1.911e-01	1.857e-01	1.810e-01	1.922e-01
4.000e+02	1.366e-01	1.293e-01	1.427e-01	1.861e-01	1.822e-01	1.903e-01	1.849e-01	1.789e-01	1.870e-01	1.364e-01	1.305e-01	1.430e-01	1.822e-01	1.757e-01	1.880e-01	1.826e-01	1.764e-01	1.867e-01
5.000e+02	1.370e-01	1.308e-01	1.438e-01	1.813e-01	1.752e-01	1.875e-01	1.796e-01	1.756e-01	1.843e-01	1.374e-01	1.305e-01	1.398e-01	1.772e-01	1.711e-01	1.803e-01	1.814e-01	1.720e-01	1.844e-01
6.000e+02	1.377e-01	1.300e-01	1.420e-01	1.794e-01	1.742e-01	1.842e-01	1.773e-01	1.735e-01	1.810e-01	1.357e-01	1.298e-01	1.401e-01	1.754e-01	1.667e-01	1.787e-01	1.769e-01	1.663e-01	1.808e-01
7.000e+02	1.352e-01	1.309e-01	1.418e-01	1.758e-01	1.700e-01	1.799e-01	1.746e-01	1.675e-01	1.789e-01	1.336e-01	1.304e-01	1.420e-01	1.719e-01	1.623e-01	1.775e-01	1.728e-01	1.650e-01	1.789e-01
8.000e+02	1.368e-01	1.329e-01	1.426e-01	1.738e-01	1.664e-01	1.777e-01	1.719e-01	1.650e-01	1.750e-01	1.351e-01	1.292e-01	1.412e-01	1.695e-01	1.620e-01	1.773e-01	1.688e-01	1.610e-01	1.750e-01
9.000e+02	1.383e-01	1.307e-01	1.438e-01	1.701e-01	1.657e-01	1.747e-01	1.677e-01	1.639e-01	1.713e-01	1.357e-01	1.329e-01	1.394e-01	1.696e-01	1.622e-01	1.740e-01	1.655e-01	1.592e-01	1.713e-01
1.000e+03	1.383e-01	1.293e-01	1.424e-01	1.700e-01	1.646e-01	1.741e-01	1.667e-01	1.546e-01	1.707e-01	1.369e-01	1.331e-01	1.408e-01	1.633e-01	1.591e-01	1.748e-01	1.655e-01	1.582e-01	1.699e-01
1.100e+03	1.401e-01	1.307e-01	1.449e-01	1.703e-01	1.613e-01	1.762e-01	1.614e-01	1.533e-01	1.686e-01	1.372e-01	1.339e-01	1.427e-01	1.650e-01	1.580e-01	1.734e-01	1.631e-01	1.583e-01	1.695e-01
1.200e+03	1.383e-01	1.310e-01	1.451e-01	1.671e-01	1.589e-01	1.712e-01	1.585e-01	1.510e-01	1.677e-01	1.382e-01	1.330e-01	1.428e-01	1.655e-01	1.553e-01	1.718e-01	1.616e-01	1.548e-01	1.650e-01
1.300e+03	1.383e-01	1.288e-01	1.435e-01	1.651e-01	1.572e-01	1.699e-01	1.592e-01	1.526e-01	1.659e-01	1.389e-01	1.347e-01	1.454e-01	1.621e-01	1.524e-01	1.696e-01	1.610e-01	1.544e-01	1.659e-01
1.400e+03	1.398e-01	1.286e-01	1.449e-01	1.648e-01	1.550e-01	1.696e-01	1.589e-01	1.504e-01	1.676e-01	1.376e-01	1.329e-01	1.466e-01	1.618e-01	1.483e-01	1.665e-01	1.592e-01	1.519e-01	1.630e-01
1.500e+03	1.376e-01	1.275e-01	1.452e-01	1.595e-01	1.493e-01	1.670e-01	1.609e-01	1.518e-01	1.668e-01	1.376e-01	1.317e-01	1.455e-01	1.582e-01	1.488e-01	1.670e-01	1.552e-01	1.490e-01	1.597e-01
1.600e+03	1.350e-01	1.281e-01	1.427e-01	1.584e-01	1.503e-01	1.642e-01	1.556e-01	1.483e-01	1.659e-01	1.395e-01	1.313e-01	1.460e-01	1.582e-01	1.474e-01	1.630e-01	1.537e-01	1.500e-01	1.585e-01
1.700e+03	1.349e-01	1.274e-01	1.441e-01	1.576e-01	1.506e-01	1.635e-01	1.550e-01	1.472e-01	1.650e-01	1.388e-01	1.339e-01	1.472e-01	1.573e-01	1.474e-01	1.658e-01	1.535e-01	1.468e-01	1.601e-01
1.800e+03	1.340e-01	1.280e-01	1.434e-01	1.589e-01	1.499e-01	1.625e-01	1.566e-01	1.451e-01	1.650e-01	1.401e-01	1.324e-01	1.451e-01	1.570e-01	1.464e-01	1.614e-01	1.543e-01	1.463e-01	1.616e-01
1.900e+03	1.368e-01	1.292e-01	1.449e-01	1.567e-01	1.499e-01	1.637e-01	1.545e-01	1.457e-01	1.635e-01	1.403e-01	1.333e-01	1.463e-01	1.554e-01	1.458e-01	1.612e-01	1.552e-01	1.471e-01	1.598e-01
2.000e+03	1.363e-01	1.289e-01	1.446e-01	1.563e-01	1.479e-01	1.600e-01	1.543e-01	1.460e-01	1.632e-01	1.419e-01	1.330e-01	1.463e-01	1.546e-01	1.435e-01	1.607e-01	1.564e-01	1.478e-01	1.584e-01
2.100e+03	1.368e-01	1.283e-01	1.417e-01	1.542e-01	1.490e-01	1.589e-01	1.540e-01	1.415e-01	1.613e-01	1.416e-01	1.327e-01	1.468e-01	1.528e-01	1.444e-01	1.603e-01	1.541e-01	1.462e-01	1.577e-01
2.200e+03	1.367e-01	1.251e-01	1.422e-01	1.527e-01	1.499e-01	1.560e-01	1.530e-01	1.420e-01	1.608e-01	1.423e-01	1.340e-01	1.479e-01	1.525e-01	1.459e-01	1.584e-01	1.541e-01	1.437e-01	1.582e-01
2.300e+03	1.366e-01	1.261e-01	1.413e-01	1.509e-01	1.474e-01	1.563e-01	1.528e-01	1.413e-01	1.622e-01	1.422e-01	1.320e-01	1.471e-01	1.506e-01	1.437e-01	1.592e-01	1.541e-01	1.386e-01	1.580e-01
2.400e+03	1.363e-01	1.241e-01	1.416e-01	1.501e-01	1.437e-01	1.548e-01	1.515e-01	1.409e-01	1.613e-01	1.406e-01	1.305e-01	1.471e-01	1.493e-01	1.435e-01	1.575e-01	1.507e-01	1.417e-01	1.578e-01
2.500e+03	1.363e-01	1.251e-01	1.437e-01	1.506e-01	1.435e-01	1.547e-01	1.496e-01	1.393e-01	1.591e-01	1.408e-01	1.304e-01	1.470e-01	1.516e-01	1.418e-01	1.577e-01	1.505e-01	1.398e-01	1.576e-01
2.600e+03	1.371e-01	1.232e-01	1.426e-01	1.483e-01	1.423e-01	1.549e-01	1.496e-01	1.389e-01	1.609e-01	1.417e-01	1.339e-01	1.470e-01	1.503e-01	1.401e-01	1.571e-01	1.506e-01	1.395e-01	1.575e-01
2.700e+03	1.372e-01	1.228e-01	1.446e-01	1.497e-01	1.408e-01	1.583e-01	1.478e-01	1.406e-01	1.590e-01	1.415e-01	1.317e-01	1.470e-01	1.490e-01	1.386e-01	1.553e-01	1.478e-01	1.408e-01	1.567e-01
2.800e+03	1.378e-01	1.233e-01	1.440e-01	1.488e-01	1.399e-01	1.594e-01	1.462e-01	1.399e-01	1.571e-01	1.421e-01	1.330e-01	1.482e-01	1.470e-01	1.394e-01	1.537e-01	1.485e-01	1.395e-01	1.569e-01
2.900e+03	1.351e-01	1.267e-01	1.438e-01	1.514e-01	1.380e-01	1.579e-01	1.444e-01	1.367e-01	1.565e-01	1.409e-01	1.348e-01	1.483e-01	1.464e-01	1.410e-01	1.532e-01	1.454e-01	1.379e-01	1.557e-01
3.000e+03	1.357e-01	1.228e-01	1.442e-01	1.517e-01	1.375e-01	1.584e-01	1.441e-01	1.348e-01	1.577e-01	1.407e-01	1.331e-01	1.460e-01	1.451e-01	1.406e-01	1.519e-01	1.461e-01	1.392e-01	1.558e-01
