n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.max
1.000e+02	5.334e-02	5.104e-02	5.641e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.334e-02	5.104e-02	5.641e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2.000e+02	5.455e-02	5.152e-02	5.609e-02	1.816e-01	1.785e-01	1.842e-01	1.833e-01	1.795e-01	1.855e-01	5.380e-02	5.023e-02	5.605e-02	1.826e-01	1.804e-01	1.847e-01	1.817e-01	1.794e-01	1.843e-01
3.000e+02	5.246e-02	5.113e-02	5.717e-02	1.792e-01	1.756e-01	1.814e-01	1.785e-01	1.745e-01	1.825e-01	5.251e-02	5.021e-02	5.635e-02	1.787e-01	1.749e-01	1.831e-01	1.800e-01	1.760e-01	1.830e-01
4.000e+02	5.255e-02	4.944e-02	5.569e-02	1.716e-01	1.663e-01	1.744e-01	1.699e-01	1.653e-01	1.733e-01	5.418e-02	5.047e-02	5.641e-02	1.697e-01	1.652e-01	1.728e-01	1.691e-01	1.632e-01	1.752e-01
5.000e+02	5.421e-02	4.991e-02	5.819e-02	1.626e-01	1.568e-01	1.663e-01	1.625e-01	1.522e-01	1.692e-01	5.384e-02	5.185e-02	5.803e-02	1.602e-01	1.508e-01	1.649e-01	1.580e-01	1.532e-01	1.698e-01
6.000e+02	5.295e-02	5.102e-02	5.653e-02	1.532e-01	1.477e-01	1.601e-01	1.561e-01	1.466e-01	1.647e-01	5.323e-02	5.136e-02	5.677e-02	1.542e-01	1.459e-01	1.583e-01	1.520e-01	1.452e-01	1.646e-01
7.000e+02	5.282e-02	5.104e-02	5.697e-02	1.483e-01	1.410e-01	1.537e-01	1.475e-01	1.405e-01	1.589e-01	5.408e-02	5.096e-02	5.647e-02	1.463e-01	1.400e-01	1.525e-01	1.452e-01	1.377e-01	1.548e-01
8.000e+02	5.363e-02	5.059e-02	5.608e-02	1.435e-01	1.372e-01	1.481e-01	1.447e-01	1.315e-01	1.521e-01	5.418e-02	5.203e-02	5.747e-02	1.393e-01	1.338e-01	1.475e-01	1.366e-01	1.308e-01	1.447e-01
9.000e+02	5.446e-02	5.070e-02	5.716e-02	1.376e-01	1.302e-01	1.425e-01	1.378e-01	1.275e-01	1.442e-01	5.355e-02	5.220e-02	5.717e-02	1.341e-01	1.278e-01	1.446e-01	1.323e-01	1.266e-01	1.442e-01
1.000e+03	5.494e-02	5.040e-02	5.699e-02	1.341e-01	1.256e-01	1.396e-01	1.322e-01	1.190e-01	1.403e-01	5.467e-02	5.240e-02	5.570e-02	1.279e-01	1.254e-01	1.398e-01	1.319e-01	1.241e-01	1.402e-01
